Werk ID	Column	Narrative_Location	Wikidata ID	occurenceInText	Quantity	Property	LOC 2	Wikidata ID2	Quantity2	Property2	LOC3	Wikidata ID 3	Quantity3	narrative_location	LOC 4	Wikidata IDs 4	quantity	Property3	LOC 13	Wikidata ID 5	quantity2
Dorat_Malheurs.txt						narrative_location	Paris	Q90	18												
Loaisel_Comtesse.txt						narrative_location	Saint-Flour (kapital sa arrondissement)	Q49272229	15												
Retif_Paysanne.txt														narrative_location	Paris	Q90	72				
Diderot_Jacques.txt										narrative_location	Paris	Q90	19								
Merard_Bergeries.txt																		narrative_location	Silvérie		21
Morelly_Naufrage.txt	narrative_location	homeland	Q16513600	occurenceInText	46									narrative_location	Fadhilah		37				
Voisenon_Histoire.txt																					
Anonyme_Etourdi.txt	narrative_location	Paris	Q90	occurenceInText	14																
Loaisel_Lucile.txt						narrative_location	Saint-Flour (kapital sa arrondissement)	Q49272229	18												
Gerard_Comte.txt	narrative_location	Senneville		occurenceInText	55																
Dorat_Sacrifices.txt						narrative_location	Paris	Q90	20					narrative_location	Senanges		9				
Loaisel_Ainsi.txt										narrative_location	Paris	Q90	12	narrative_location	Strasbourg	Q6602	8				
Benouville_Pensees.txt																					
LaPlace_Lydia.txt														narrative_location	London	Q84	10				
Tiphaigne_Amilec.txt														narrative_location	Mars	Q111	4				
Mirabeau_Conversion.txt	narrative_location	Paris	Q90	occurenceInText	9																
Nerciat_Aphrodites.txt																					
Arnaud_Sentiment.txt						narrative_location	Nancy	Q40898	124	narrative_location	Sargines		86	narrative_location	Sélicourt		85				
Fourqueux_Zely.txt						narrative_location	Nassès		30												
Crebillon_Nuit.txt																					
Bernardin_Paul.txt										narrative_location	France		21	narrative_location	Bourdonnais		20	narrative_location	Europe	Q46	16
Diderot_Religieuse.txt	narrative_location	Paris	Q90	occurenceInText	30	narrative_location	Longchamp		22	narrative_location	Sainte-Thérèse		20	narrative_location	Sainte-Suzanne		19				
Beckford_Vathek.txt						narrative_location	Gulchenrouz		33	narrative_location	Morakanabad		13					narrative_location	Bababalouk		6
Duclos_Acajou.txt	narrative_location	Acajou		occurenceInText	65	narrative_location	Zirphile		35												
Arnaud_Matinees.txt	narrative_location	Dorneuil		occurenceInText	171					narrative_location	Blansey		79					narrative_location	Talmot		29
Jacquin_Parisiennes.txt						narrative_location	Paris	Q90	24									narrative_location	Gaudricour		15
Retif_AntiJustine.txt						narrative_location	Conquette		90					narrative_location	Minonne		29	narrative_location	Guaé		25
Puget_Periphas.txt	narrative_location	Phocide		occurenceInText	53	narrative_location	Athenes		45	narrative_location	Locriens		43	narrative_location	Phocéens		24	narrative_location	Atheniens		23
Rousseau_Emile.txt						narrative_location	Paris	Q90	33									narrative_location	Europe	Q46	11
Anonym_Suzon.txt	narrative_location	Couvent		occurenceInText	30	narrative_location	Paris	Q90	13					narrative_location	Cordelier		11	narrative_location	Minois		11
Beauharnais_Lettres.txt						narrative_location	Clarence		52	narrative_location	Rosemont		29								
Florian_Galatee.txt						narrative_location	Artidore		31					narrative_location	Mœris		15	narrative_location	Florise		14
Cazotte_Ollivier.txt						narrative_location	Barin		46	narrative_location	Fleur-De-Myrte		40	narrative_location	Tours	Q288	21	narrative_location	Alérie		13
Constant_Laure2.txt	narrative_location	Marville		occurenceInText	46	narrative_location	Flamacour		28												
Leonard_Clementine.txt	narrative_location	Seligny		occurenceInText	12									narrative_location	Mercourt		2				
Diderot_Neveu.txt						narrative_location	Paris	Q90	6					narrative_location	India	Q668	5				
Constant_Laure1.txt	narrative_location	Verseuil		occurenceInText	9	narrative_location	Orseuil		7												
Montesquieu_Arsace.txt	narrative_location	Ardasire		occurenceInText	29	narrative_location	Aspar		16	narrative_location	Médie		14	narrative_location	Bactriane		13	narrative_location	Hyrcanie		11
Genlis_Chevaliers.txt	narrative_location	Armoflède		occurenceInText	240	narrative_location	Nasuf		100	narrative_location	Abassa		86					narrative_location	Ordalie		58
Riccoboni_Histoire.txt						narrative_location	Cressy		38	narrative_location	Elmont		25	narrative_location	Hortense		14				
Senac_Emigre.txt																					
Berquin_Enfants.txt										narrative_location	Firmin		69								
Mirabeau_Rideau.txt														narrative_location	Courbelon		11				
Louvet_Fin.txt										narrative_location	Paris	Q90	30	narrative_location	La Marquise		24	narrative_location	Brumont		23
Lagrave_Zabeth.txt	narrative_location	Fermon		occurenceInText	107	narrative_location	Saint-Silvain		69					narrative_location	Boulogne		18				
Rosny_Firmin.txt	narrative_location	Paris	Q90	occurenceInText	17					narrative_location	Stainville		15	narrative_location	Thomassin		10				
Sade_Philosophie.txt						narrative_location	Dolmancé		63	narrative_location	Rome		12	narrative_location	Venus	Q313	10				
Laclos_Liaisons.txt						narrative_location	Paris	Q90	105												
Benoist_Elisabeth.txt														narrative_location	Paris	Q90	48				
Kimber_Thompson.txt	narrative_location	London	Q84	occurenceInText	110	narrative_location	Angleterre		69												
Voltaire_Princesse.txt	narrative_location	Sart-Babylone		occurenceInText	76	narrative_location	Égypte		29	narrative_location	Formosante		29					narrative_location	Aldée		14
Sacy_Amours.txt																					
Segur_Correspondance.txt	narrative_location	Paris	Q90	occurenceInText	182	narrative_location	Madrid		67					narrative_location	Coulanges		37	narrative_location	Pont-de-Vesle		35
Crebillon_Conte.txt														narrative_location	Isma		28				
Souza_Adele.txt	narrative_location	Sénange		occurenceInText	132	narrative_location	Neuilly		31	narrative_location	Paris	Q90	28	narrative_location	Mortagne		27				
Florian_Estelle.txt						narrative_location	Némorin		95	narrative_location	Massanne		24	narrative_location	Rose		20				
Doppet_Memoires.txt	narrative_location	Paris	Q90	occurenceInText	27	narrative_location	Annecy		26	narrative_location	Chambéry		13	narrative_location	Savoye		9				
