Werk ID	Column	Narrative_Location	Wikdata Id	occurenceInText	Quantity	Property	LOC 2	Wikidata ID2	Quantity2	Property2	LOC3	Wikidata ID 3	Quantity3	narrative_location	LOC 4	Wikidata ID 4	quantity	Property3	LOC 13	Wikidata ID 5	quantity2
Dorat_Malheurs.txt						narrative_location	Paris	Q90	18												
Abbes_Voyage.txt		palace	Q16560	occurenceInText	3	narrative_location	vestibule	Q301276	3					narrative_location	Pays		1	narrative_location	Région		1
Loaisel_Comtesse.txt						narrative_location	Saint-Flour	Q49272229	15												
Retif_Paysanne.txt														narrative_location	Paris	Q90	72				
Diderot_Jacques.txt										narrative_location	Paris	Q90	19								
Rousseau_Julie.txt																		narrative_location	Paris	Q90	67
Sade_Infortunes.txt		Dubois		occurenceInText	26	narrative_location	Paris	Q90	25	narrative_location	Dalville		24	narrative_location	Dubreuil		19	narrative_location	Lyon	Q456	18
Cottin_Claire.txt														narrative_location	Loire	Q1469	2	narrative_location	Loire	Q1469	2
Riccoboni_LettreJuliette.txt	narrative_location	London	Q84	occurenceInText	27	narrative_location	Vinchester		20	narrative_location	Erford		16					narrative_location	Montfort		8
Merard_Bergeries.txt																		narrative_location	Silvérie		21
Marmontel_Incas.txt						narrative_location	Quito	Q2900	36					narrative_location	Espagne		32	narrative_location	Las-Casas		20
Morelly_Naufrage.txt	narrative_location	Patrie	Q16513600	occurenceInText	46									narrative_location	Fadhilah		37				
Voisenon_Histoire.txt																					
Anonyme_Etourdi.txt	narrative_location	Paris	Q90	occurenceInText	14																
Loaisel_Lucile.txt						narrative_location	Saint-Flour (kapital sa arrondissement)	Q49272229	18												
Charriere_Femmes.txt										narrative_location	Altendorf		32	narrative_location	Paris	Q90	13	narrative_location	Lacroix		13
Gerard_Comte.txt	narrative_location	Senneville		occurenceInText	55																
Dorat_Sacrifices.txt						narrative_location	Paris	Q90	20					narrative_location	Senanges		9				
Tiphaigne_Galligenes.txt										narrative_location	République		27	narrative_location	Almont		22	narrative_location	Europe	Q46	19
Loaisel_Ainsi.txt										narrative_location	Paris	Q90	12	narrative_location	Strasbourg	Q6602	8				
Mercier_An.txt						narrative_location	Paris	Q90	14					narrative_location	Europe	Q46	8	narrative_location	England	Q21	7
Cazotte_Diable.txt						narrative_location	Venice and its Lagoon	Q11352141	13	narrative_location	Nueva Extremadura	Q677487	10	narrative_location	Portici		7	narrative_location	Naples	Q2634	7
Benouville_Pensees.txt																					
LaPlace_Lydia.txt														narrative_location	London	Q84	10				
Tiphaigne_Amilec.txt														narrative_location	Mars	Q111	4				
Mirabeau_Conversion.txt	narrative_location	Paris	Q90	occurenceInText	9																
Nerciat_Aphrodites.txt																					
Arnaud_Sentiment.txt						narrative_location	Nancy	Q40898	124	narrative_location	Sargines		86	narrative_location	Sélicourt		85				
Fourqueux_Zely.txt						narrative_location	Nassès		30												
Crebillon_Nuit.txt																					
Bernardin_Paul.txt										narrative_location	France		21	narrative_location	Bourdonnais		20	narrative_location	Europe	Q46	16
Diderot_Religieuse.txt	narrative_location	Paris	Q90	occurenceInText	30	narrative_location	Longchamp		22	narrative_location	Sainte-Thérèse		20	narrative_location	Sainte-Suzanne		19				
Lesuire_Aventurier.txt						narrative_location	Paris	Q90	54	narrative_location	Thérésine		42					narrative_location	Couvent		31
Beckford_Vathek.txt						narrative_location	Gulchenrouz		33	narrative_location	Morakanabad		13					narrative_location	Bababalouk		6
Sade_Aline.txt																		narrative_location	Paris	Q90	97
Lagrave_Sophie.txt						narrative_location	Auterive		31	narrative_location	Ormilly		21					narrative_location	Dijon	Q7003	20
Mercier_Jezennemours.txt						narrative_location	Paris	Q90	9	narrative_location	Strasbourg	Q6602	8	narrative_location	Chaterbaune		8	narrative_location	Europe	Q46	7
Duclos_Acajou.txt	narrative_location	Acajou		occurenceInText	65	narrative_location	Zirphile		35												
Arnaud_Matinees.txt	narrative_location	Dorneuil		occurenceInText	171					narrative_location	Blansey		79					narrative_location	Talmot		29
Jacquin_Parisiennes.txt						narrative_location	Paris	Q90	24									narrative_location	Gaudricour		15
Maistre_Voyage.txt						narrative_location	Alpes		4	narrative_location	Turin	Q495	3	narrative_location	Rome	Q220	2	narrative_location	Italy	Q38	2
Sade_120.txt	narrative_location																	narrative_location	Paris	Q90	40
Retif_AntiJustine.txt						narrative_location	Conquette		90					narrative_location	Minonne		29	narrative_location	Guaé		25
Puget_Periphas.txt	narrative_location	Phocide		occurenceInText	53	narrative_location	Athenes		45	narrative_location	Locriens		43	narrative_location	Phocéens		24	narrative_location	Atheniens		23
Rousseau_Emile.txt						narrative_location	Paris	Q90	33									narrative_location	Europe	Q46	11
Fievee_Dot.txt	narrative_location	Paris	Q90	occurenceInText	24	narrative_location	London	Q84	11	narrative_location	Saint-Domingue	Q861551	9	narrative_location	France		6	narrative_location	Philadelphie		5
Anonym_Suzon.txt	narrative_location	Couvent		occurenceInText	30	narrative_location	Paris	Q90	13					narrative_location	Cordelier		11	narrative_location	Minois		11
Beauharnais_Lettres.txt						narrative_location	Clarence		52	narrative_location	Rosemont		29								
Prevost_Monde.txt	narrative_location	Paris	Q90	occurenceInText	45	narrative_location	Vienna	Q1741	44	narrative_location	Hungary	Q28	35	narrative_location	Turkey	Q43	21	narrative_location	Constantinople	Q16869	21
Florian_Galatee.txt						narrative_location	Artidore		31					narrative_location	Mœris		15	narrative_location	Florise		14
Boufflers_Reine.txt						narrative_location	Paris	Q90	3	narrative_location	Dinazarde		1	narrative_location	Molinos		1	narrative_location	Georgia		1
Reveroni_Pauliska.txt										narrative_location	Russes		15	narrative_location	Ust		14	narrative_location	Bude		12
Diderot_Supplement.txt										narrative_location	Bougainville		13	narrative_location	Taïtiens		13	narrative_location	Taïti		6
