,LOC,PER
Dorat_Malheurs.txt,"[(('Adieu', 'LOC'), 37), (('Paris', 'LOC'), 18), (('Mirbelle', 'LOC'), 10), (('Syrcé', 'LOC'), 8), (('S', 'LOC'), 6)]","[(('Madame De Syrcé', 'PER'), 71), (('Sidley', 'PER'), 55), (('De Mirbelle', 'PER'), 38), (('De Gérac', 'PER'), 18), (('Madame De Thémines', 'PER'), 18)]"
Abbes_Voyage.txt,"[(('Palais', 'LOC'), 3), (('Vestibule', 'LOC'), 3), (('Maîtres', 'LOC'), 2), (('Pays', 'LOC'), 1), (('Région', 'LOC'), 1)]","[(('M.', 'PER'), 6), (('Corneille', 'PER'), 6), (('Racine', 'PER'), 5), (('Monsieur', 'PER'), 5), (('Moliere', 'PER'), 3)]"
Loaisel_Comtesse.txt,"[(('Milcourt', 'LOC'), 54), (('Saint-Flour', 'LOC'), 15), (('Mademoiselle de Saint-Flour', 'LOC'), 2), (('Cruel', 'LOC'), 2), (('Puisse', 'LOC'), 2)]","[(('Lucile', 'PER'), 95), (('madame de Courmill', 'PER'), 20), ((""comte d'Alibre"", 'PER'), 12), (('M. de Saint-Flour', 'PER'), 9), (('Madame de Courmill', 'PER'), 6)]"
Retif_Paysanne.txt,"[(('Ursule', 'LOC'), 151), (('Laure', 'LOC'), 106), (('Gaudet', 'LOC'), 74), (('Paris', 'LOC'), 72), (('Adieu', 'LOC'), 66)]","[(('Edmond', 'PER'), 587), (('Mme Parangon', 'PER'), 220), (('Fanchon', 'PER'), 69), (('Mme Canon', 'PER'), 67), (('M. Gaudet', 'PER'), 57)]"
Diderot_Jacques.txt,"[(('Desglands', 'LOC'), 35), (('Denise', 'LOC'), 20), (('Paris', 'LOC'), 19), (('JACQUES', 'LOC'), 17), (('Aisnon', 'LOC'), 16)]","[(('Jacques', 'PER'), 514), (('Mme de La Pommeraye', 'PER'), 79), (('Monsieur', 'PER'), 47), (('JACQUES Je', 'PER'), 46), (('MADAME DE', 'PER'), 29)]"
Rousseau_Julie.txt,"[(('l’', 'LOC'), 428), (('t’', 'LOC'), 300), (('qu’', 'LOC'), 263), (('m’', 'LOC'), 69), (('Paris', 'LOC'), 67)]","[(('n’', 'PER'), 1899), (('d’', 'PER'), 1002), (('m’', 'PER'), 562), (('Wolmar', 'PER'), 148), (('M.', 'PER'), 112)]"
Sade_Infortunes.txt,"[(('Dubois', 'LOC'), 26), (('Paris', 'LOC'), 25), (('Dalville', 'LOC'), 24), (('Dubreuil', 'LOC'), 19), (('Lyon', 'LOC'), 18)]","[(('Sophie', 'PER'), 51), (('Raphaël', 'PER'), 43), (('Omphale', 'PER'), 30), (('Mme de Lorsange', 'PER'), 26), (('Antonin', 'PER'), 24)]"
Cottin_Claire.txt,"[(('Adieu', 'LOC'), 16), (('Laure', 'LOC'), 6), (('Ô', 'LOC'), 3), (('Loire', 'LOC'), 2), (('la Loire', 'LOC'), 2)]","[(('Frédéric', 'PER'), 240), (('Claire', 'PER'), 137), (('Élise', 'PER'), 73), ((""M. d'Albe"", 'PER'), 71), (('Adèle', 'PER'), 29)]"
Riccoboni_LettreJuliette.txt,"[(('Londres', 'LOC'), 27), (('Vinchester', 'LOC'), 20), (('Erford', 'LOC'), 16), (('Adieu', 'LOC'), 15), (('Montfort', 'LOC'), 8)]","[(('Henriette', 'PER'), 39), (('Sir Henry', 'PER'), 27), (('Milord Carlile', 'PER'), 21), (('Sir James', 'PER'), 17), (('Erford', 'PER'), 15)]"
Merard_Bergeries.txt,"[(('Silvie', 'LOC'), 38), (('Lise', 'LOC'), 35), (('Amour', 'LOC'), 27), (('Philis', 'LOC'), 24), (('Silvérie', 'LOC'), 21)]","[(('Annette', 'PER'), 25), (('Tircis', 'PER'), 20), (('Philandre', 'PER'), 18), (('Amour', 'PER'), 16), (('Doris', 'PER'), 16)]"
