FR;;;
new;;;
LOCATION STRING (novel);Wikidata Label fr;coordonnées géographiques;Wikidata URL (P31)
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Altendorf;Altendorf;47.192222222222,8.83;https://www.wikidata.org/wiki/Q69625
Fleur-De-Myrte;Fleur-De-Myrte;;
Auterive;Auterive;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
etamp;etamp;;
Gange;Gange;22.0833,90.8333;https://www.wikidata.org/wiki/Q5089
;;30.1451,78.5974;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Verseuil;Verseuil;;https://www.wikidata.org/wiki/Q55038540
Venise;Venise;45.439722222222,12.331944444444;https://www.wikidata.org/wiki/Q641
Florizene;Florizene;;
Franval;Franval;;
Euphrosie;Euphrosie;;
Lamontette;Lamontette;;
Luzan;Luzan;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Célimene;;;
Nancy;Nancy;48.692777777778,6.1836111111111;https://www.wikidata.org/wiki/Q40898
Jezennemours;Jezennemours;;
Periphas;Periphas;;
Alpes;Alpes;46,10;https://www.wikidata.org/wiki/Q1286
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Paquans;Paquans;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Tibére;Tibéré;6.0666666666667,14.316666666667;https://www.wikidata.org/wiki/Q23663811
Belosane;Belosane;;
Verglan;Verglan;;
etamp;etamp;;
Taïtiens;Tahiti;-17.666666666667,-149.46666666667;https://www.wikidata.org/wiki/Q42000
Nouronihar;Nouronihar;;
Vienne;Vienne;48.20833,16.373064;https://www.wikidata.org/wiki/Q1741
Artidore;Artidore;;
Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
;;;
Russes;Russie;66.41666666666667,94.25;https://www.wikidata.org/wiki/Q159
Anglesey;Anglesey;53.293975,-4.376728;https://www.wikidata.org/wiki/Q168159
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Couvent;couvent;;https://www.wikidata.org/wiki/Q1128397
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Golconde;Golconde;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Armoflède;Armoflède;;
;;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Saint-Flour;Saint-Flour;;
;;;
etamp;etamp;;
Kermouth;Kermouth;;
Ardasire;Ardasire;;
Barville;Barville;;
;;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
;;;
Alménidore;Alménidore;;
Paris;Paris;48.856944444444,2.3513888888889;https://www.wikidata.org/wiki/Q90
Palais;palais;;https://www.wikidata.org/wiki/Q16560
Londres;Londres;51.507222222222,-0.1275;https://www.wikidata.org/wiki/Q84
État;État;;https://www.wikidata.org/wiki/Q7275
Nassès;Nassès;;
