FR								
new								
LOCATION STRING (novel)	Wikidata Label fr	coordonnées géographiques	Wikidata URL (P31)	Quelle 				
Europe	Europe	48.690959,9.14062	https://www.wikidata.org/wiki/Q46	NER				
 Aiglemont	Aiglemont	49.781388888889,4.7658333333333	https://www.wikidata.org/wiki/Q541738	NER				
 Albi	 Albi			NER				
 Alcine	 Alcine			NER				
 Alep	Alep	36.2,37.15	https://www.wikidata.org/wiki/Q41183	NER				
 Alibre	 Alibre			NER				
 Alibre	 Alibre			NER				
 Allemagne	Allemagne	51,10	https://www.wikidata.org/wiki/Q183	NER				
 Almont	 Almont			NER				
 Amand	 Amand			NER				
 Amazan	 Amazan			NER				
 Amiens	Amiens	49.891944444444,2.2977777777778	https://www.wikidata.org/wiki/Q41604	NER				
 Angleterre	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	NER				
 Annecy	Annecy	45.899166666667,6.1294444444444	https://www.wikidata.org/wiki/Q50189	NER				
 Arcis	 Arcis			NER				
 Armincourt	 Armincourt			NER				
 Arras	Arras	50.289166666667,2.78	https://www.wikidata.org/wiki/Q131329	NER				
 Athenes	Athènes	37.98416666666667,23.728055555555557	https://www.wikidata.org/wiki/Q1524	NER				
 Auxerre	Auxerre	47.7975,3.5669444444444	https://www.wikidata.org/wiki/Q167600	NER				
 Bactriane	Bactriane	36.758056,66.898889	https://www.wikidata.org/wiki/Q132646	NER				
 Barin	 Barin			NER				
 Baronnet	 Baronnet			NER				
 Bath	Bath	51.381389,-2.358611	https://www.wikidata.org/wiki/Q22889	NER				
 Beaumenard	 Beaumenard			NER				
 Belcour	 Belcour			NER				
 Belise	 Belise			NER				
 Bordeaux	Bordeaux	44.837777777778,-0.57944444444444	https://www.wikidata.org/wiki/Q1479	NER				
 Bougainville	 Bougainville			NER				
 Boulogne				NER				
 Branlinos	 Branlinos			NER				
 Bretagne	Bretagne	48,-3	https://www.wikidata.org/wiki/Q327	NER				
 Briceval	 Briceval			NER				
 Bruxelles	 Bruxelles			NER				
 Bude	 Bude			NER				
 Buenos-Ayres	Buenos Aires	-34.599722222222,-58.381944444444	https://www.wikidata.org/wiki/Q1486	NER				
 Bulgares	Bulgarie	42.75,25.5	https://www.wikidata.org/wiki/Q219	NER				
 Caen	Caen	49.182222222222,-0.37055555555556	https://www.wikidata.org/wiki/Q41185	NER				
 Calais	 Calais			NER				
 Cardoville	 Cardoville			NER				
 Cérès	Cérès		https://www.wikidata.org/wiki/Q596	NER				
 Chambery	Chambéry	45.566388888889,5.9208333333333	https://www.wikidata.org/wiki/Q165090	NER				
 Chelles	 Chelles			NER				
 Cidalise	 Cidalise			NER				
 Cieux	Cieux	45.991666666667,1.0452777777778	https://www.wikidata.org/wiki/Q597576	NER				
 Clarens	 Clarens			NER				
 Combe	 Combe			NER				
 Comminges	 Comminges			NER				
 Constantinople	Constantinople	41.01224,28.976018	https://www.wikidata.org/wiki/Q16869	NER				
 Corée	Corée	38.316666666667,127.23333333333	https://www.wikidata.org/wiki/Q18097	NER				
 Couvent	couvent		https://www.wikidata.org/wiki/Q1128397	NER				
 Cressy	 Cressy			NER				
 Cusco	Cuzco	-13.26,-72.11	https://www.wikidata.org/wiki/Q205057	NER				
 Dainville	 Dainville			NER				
 de France	France	47,2	https://www.wikidata.org/wiki/Q142	NER				
 Déterville	 Déterville			NER				
 Diaulas	 Diaulas			NER				
 Dijon	Dijon	47.323055555556,5.0419444444444	https://www.wikidata.org/wiki/Q7003	NER				
 Dinazarde	 Dinazarde			NER				
 Dolimon	 Dolimon			NER				
 Dorneuil	 Dorneuil			NER				
 Dorville	 Dorville			NER				
 Égypte	Égypte	27,29	https://www.wikidata.org/wiki/Q79	NER				
 Elmasie	 Elmasie			NER				
 Eranville	 Eranville			NER				
 espagnol	Espagne	40.2,-3.5	https://www.wikidata.org/wiki/Q29	NER				
 Est	est		https://www.wikidata.org/wiki/Q684	NER				
 Estrémadure	Estrémadure	38.708042,-9.139016	https://www.wikidata.org/wiki/Q742117	NER				
 Etat	État		https://www.wikidata.org/wiki/Q7275	NER				
 Europe	 Europe			NER				
 Fakreddin	 Fakreddin			NER				
 Fanchette	 Fanchette			NER				
 Fanchette	 Fanchette			NER				
 Fermon	 Fermon			NER				
 Fessinot	 Fessinot			NER				
 Flamacour	 Flamacour			NER				
 Florimonde	 Florimonde			NER				
 Florise	 Florise			NER				
 France	France	47,2	https://www.wikidata.org/wiki/Q142	NER				
