Column 1	bgrf	LOC1	Wikidata Label fr	coordonnées géographiques5	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	coordonnées géographiques6	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	coordonnées géographiques	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	coordonnées géographiques3	coordonnées géographiques2	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	coordonnées géographiques4	URL5	Quantity LOC5
Dulaurens_Compere	58.5	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 47 						 Rome	Rome	41.893055555556,12.482777777778	https://www.wikidata.org/wiki/Q220	 23	 état	État			https://www.wikidata.org/wiki/Q7275	 20	 espagnol	Espagne	40.2,-3.5	https://www.wikidata.org/wiki/Q29	 19
Loaisel_Ainsi	83.9	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 12 	 Strasbourg	Strasbourg	48.573333333333,7.7522222222222	https://www.wikidata.org/wiki/Q6602	 7																
Arnaud_Matinees	00.37						 Dorneuil	 Dorneuil			 127	 Dolimon	 Dolimon			 54	 Géminyile	 Géminyile				 52	 Sinderson	 Sinderson			 26
Charriere_Femmes	83.15	Altendorf	Altendorf	47.192222222222,8.83	https://www.wikidata.org/wiki/Q69625	 22 						 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 13							 Allemagne	Allemagne	51,10	https://www.wikidata.org/wiki/Q183	 7
Cazotte_Ollivier	99.43	Fleur-De-Myrte	Fleur-De-Myrte			 38 	 Zerbin					 Tours	Tours	47.392777777778,0.68833333333333	https://www.wikidata.org/wiki/Q288	 20	 Barin	 Barin				 20	 Inare	 Inare			 14
Lagrave_Sophie	70.21	Auterive	Auterive			 31 	 Dijon	Dijon	47.323055555556,5.0419444444444	https://www.wikidata.org/wiki/Q7003	 21	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 18	 Ormilly	 Ormilly				 16	 Armincourt	 Armincourt			 15
Fievee_Dot	88.27	Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 24 	 Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 11	 Senneterre	 Senneterre			 10	 Saint-Domingue	Saint-Domingue	19.1,-72.333333333333	19.1,-72.333333333333	https://www.wikidata.org/wiki/Q861551	 9	 France	France	47,2	https://www.wikidata.org/wiki/Q142	 5
Riccoboni_LettresFanni	78.1	Londres	Londres	51.507222222222,-0.1275	https://www.wikidata.org/wiki/Q84	 4 											 Grande-Bretagne	Royaume-Uni	54.6,-2	54.6,-2	https://www.wikidata.org/wiki/Q145	 2	 Angleterre	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	 2
Rousseau_Emile	78.12					 229 	 Paris	Paris	48.856944444444,2.3513888888889	https://www.wikidata.org/wiki/Q90	 34	 Etat	État		https://www.wikidata.org/wiki/Q7275	 33	" ""lEurope"""	Europe	48.690959,9.14062	48.690959,9.14062	https://www.wikidata.org/wiki/Q46	 13	 Sparte	Sparte	37.081944444444,22.423611111111	https://www.wikidata.org/wiki/Q5690	 10
Bernardin_Chaumiere	67.36	Gange	Gange	22.0833,90.8333	https://www.wikidata.org/wiki/Q5089	 13 	 Inde	Inde	22.8,83	https://www.wikidata.org/wiki/Q668	 12	 Indes	Inde	22.8,83	https://www.wikidata.org/wiki/Q668	 11	 Jagrenat	 Jagrenat				 10	 Angleterre	Angleterre	53,-1	https://www.wikidata.org/wiki/Q21	 8
