Column 1	bgrf	LOC1	Wikidata Label fr	URL	Quantity LOC1	LOC2	LOC_2 Wikidata Label fr	URL2	Quantity LOC2	LOC3	LOC2 Wikidata Label fr	URL3	Quantity LOC3	LOC4	LOC3 Wikidata fr	URL4	Quantity LOC4	Loc5 Wikidata fr	LOC5	URL5	Quantity LOC5
Dulaurens_Compere	58.5	Paris	Paris	https://www.wikidata.org/wiki/Q90	 47 					 Rome	Rome	https://www.wikidata.org/wiki/Q220	 23	 état	État	https://www.wikidata.org/wiki/Q7275	 20	 espagnol	Espagne	https://www.wikidata.org/wiki/Q29	 19
Loaisel_Ainsi	83.9	Paris	Paris	https://www.wikidata.org/wiki/Q90	 12 	 Strasbourg	Strasbourg	https://www.wikidata.org/wiki/Q6602	 7												
Arnaud_Matinees	00.37					 Dorneuil	 Dorneuil		 127	 Dolimon	 Dolimon		 54	 Géminyile	 Géminyile		 52	 Sinderson	 Sinderson		 26
Charriere_Femmes	83.15	Altendorf	Altendorf	https://www.wikidata.org/wiki/Q69625	 22 					 Paris	Paris	https://www.wikidata.org/wiki/Q90	 13					 Allemagne	Allemagne	https://www.wikidata.org/wiki/Q183	 7
Cazotte_Ollivier	99.43	Fleur-De-Myrte	Fleur-De-Myrte		 38 	 Zerbin				 Tours	Tours	https://www.wikidata.org/wiki/Q288	 20	 Barin	 Barin		 20	 Inare	 Inare		 14
Lagrave_Sophie	70.21	Auterive	Auterive		 31 	 Dijon	Dijon	https://www.wikidata.org/wiki/Q7003	 21	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 18	 Ormilly	 Ormilly		 16	 Armincourt	 Armincourt		 15
Fievee_Dot	88.27	Paris	Paris	https://www.wikidata.org/wiki/Q90	 24 	 Londres	Londres	https://www.wikidata.org/wiki/Q84	 11	 Senneterre	 Senneterre		 10	 Saint-Domingue	Saint-Domingue	https://www.wikidata.org/wiki/Q861551	 9	 France	France	https://www.wikidata.org/wiki/Q142	 5
Riccoboni_LettresFanni	78.1	Londres	Londres	https://www.wikidata.org/wiki/Q84	 4 									 Grande-Bretagne	Royaume-Uni	https://www.wikidata.org/wiki/Q145	 2	 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 2
Rousseau_Emile	78.12	etamp	etamp		 229 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 34	 Etat	État	https://www.wikidata.org/wiki/Q7275	 33	" ""lEurope"""	Europe	https://www.wikidata.org/wiki/Q46	 13	 Sparte	Sparte	https://www.wikidata.org/wiki/Q5690	 10
Bernardin_Chaumiere	67.36	Gange	Gange	https://www.wikidata.org/wiki/Q5089	 13 	 Inde	Inde	https://www.wikidata.org/wiki/Q668	 12	 Indes	Inde	https://www.wikidata.org/wiki/Q668	 11	 Jagrenat	 Jagrenat		 10	 Angleterre	Angleterre	https://www.wikidata.org/wiki/Q21	 8
Chevrier_Colporteur	87.25	Paris	Paris	https://www.wikidata.org/wiki/Q90	 65 					 Cléon	 Cléon		 21	 de France	France	https://www.wikidata.org/wiki/Q142	 11	 Beaumenard	 Beaumenard		 9
Constant_Laure1	66.11	Verseuil	Verseuil	https://www.wikidata.org/wiki/Q55038540	 6 	 Orseuil	 Orseuil		 4												
Cazotte_Diable	58.8	Venise	Venise	https://www.wikidata.org/wiki/Q641	 14 	 Estrémadure	Estrémadure	https://www.wikidata.org/wiki/Q742117	 10	 Olympia								 Naples	 Naples		 7
Beauharnais_Lettres	91.43	Florizene	Florizene		 157 									 Rosemont	 Rosemont		 74				
Merard_Bergeries	88101.0	Franval	Franval		 21 	 Méris	 Méris		 12	 Silvérie	Silvérie	https://www.wikidata.org/wiki/Q19232000	 11								
Sacy_Amours	82.14									 Vénus	Vénus	https://www.wikidata.org/wiki/Q313	 19	 Sylvanire	 Sylvanire		 17				
Mirabeau_Conversion	61.6	Euphrosie	Euphrosie		 19 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 10	 Branlinos	 Branlinos		 9	 Dorville	 Dorville		 8				
Bernardin_Paul	72.17									" ""lEurope"""	Europe	https://www.wikidata.org/wiki/Q46	 21	 France	 France		 21				
Retif_Sara	88.41	Lamontette	Lamontette		 41 	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 20	 palais-royal	Palais-Royal	https://www.wikidata.org/wiki/Q329948	 13					 Amiens	Amiens	https://www.wikidata.org/wiki/Q41604	 7
Benoist_Elisabeth	63.19	Luzan	Luzan		 103 	 Albi	 Albi		 54	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 48	 Saintré	 Saintré		 38				
Dorat_Sacrifices	96.18	Paris	Paris	https://www.wikidata.org/wiki/Q90	 20 	 Est	est	https://www.wikidata.org/wiki/Q684	 5									 Versenai	 Versenai		 3
Anonyme_Zoloe	85.24					 Volsange	 Volsange		 40	 Lauréda	Laurède	https://www.wikidata.org/wiki/Q1111777	 21	 Fessinot	 Fessinot		 13	 Mirval	 Mirval		 8
Leonard_Lettres	62.11	etamp	etamp		 32 																
Lesuire_Aventurier	86.27					 Paris	Paris	https://www.wikidata.org/wiki/Q90	 49	 Cieux	Cieux	https://www.wikidata.org/wiki/Q597576	 28	 Naples	Naples	https://www.wikidata.org/wiki/Q2634	 27	 France	France	https://www.wikidata.org/wiki/Q142	 24
Crebillon_Nuit	86.27	Célimene				 Cidalise	 Cidalise		 10					 Belise	 Belise		 5	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 4
Arnaud_Sentiment	99.62	Nancy	Nancy	https://www.wikidata.org/wiki/Q40898	 111 	 Sargines	 Sargines		 109	 Ménécrate	 Ménécrate		 99	 Syndham	 Syndham		 78				
Mercier_Jezennemours	71.23	Jezennemours	Jezennemours		 98 	 Florimonde	 Florimonde		 32	 Paris	Paris	https://www.wikidata.org/wiki/Q90	 9	 Strasbourg	 Strasbourg		 7	 Europe	 Europe		 6
Puget_Periphas	54.13	Periphas	Periphas		 69 	 Phocide	Phocide	https://www.wikidata.org/wiki/Q26915	 58	 Athenes	Athènes	https://www.wikidata.org/wiki/Q1524	 55	 Locriens	 Locriens		 42	 Phocus	 Phocus		 41
Maistre_Voyage	55.16	Alpes	Alpes	https://www.wikidata.org/wiki/Q1286	 4 	 Turin	Turin	https://www.wikidata.org/wiki/Q495	 3	 Rome	Rome	https://www.wikidata.org/wiki/Q220	 2	 soleil	Soleil	https://www.wikidata.org/wiki/Q525	 2				
Louvet_Fin	79.15	Paris	Paris	https://www.wikidata.org/wiki/Q90	 30 					 Fromonville	 Fromonville		 19					 Belcour	 Belcour		 12
Puttelange_Roi	97.21	Paquans	Paquans		 54 	 Paquantois	 Paquantois		 13	 Memphis	Memphis	https://www.wikidata.org/wiki/Q5715	 3								
Diderot_Religieuse	1.0	Paris	Paris	https://www.wikidata.org/wiki/Q90	 29 	 Longchamp	 Longchamp		 22					 Caen	Caen	https://www.wikidata.org/wiki/Q41185	 16				
