Column 1;bgrf;LOC1;Quantity LOC1;LOC2;Quantity LOC2;LOC3;Quantity LOC3;LOC4;Quantity LOC4;LOC5;Quantity LOC5
Dulaurens_Compere;58.5;Paris;47;;; Rome; 23; état; 20; espagnol; 19
Loaisel_Ainsi;83.9;Paris; 12 ; Strasbourg; 7;;;;;;
Arnaud_Matinees;00.37;;; Dorneuil; 127; Dolimon; 54; Géminyile; 52; Sinderson; 26
Charriere_Femmes;83.15;Altendorf; 22 ;;; Paris; 13;;; Allemagne; 7
Cazotte_Ollivier;99.43;Fleur-De-Myrte; 38 ; Zerbin; 27; Tours; 20; Barin; 20; Inare; 14
Lagrave_Sophie;70.21;Auterive; 31 ; Dijon; 21; Paris; 18; Ormilly; 16; Armincourt; 15
Fievee_Dot;88.27;Paris; 24 ; Londres; 11; Senneterre; 10; Saint-Domingue; 9; France; 5
Riccoboni_LettresFanni;78.1;Londres; 4 ;;;;; Grande-Bretagne; 2; Angleterre; 2
Rousseau_Emile;78.12;etamp; 229 ; Paris; 34; Etat; 33;" ""lEurope"""; 13; Sparte; 10
Bernardin_Chaumiere;67.36;Gange; 13 ; Inde; 12; Indes; 11; Jagrenat; 10; Angleterre; 8
Chevrier_Colporteur;87.25;Paris; 65 ; Brochure; 32; Cléon; 21; de France; 11; Beaumenard; 9
Constant_Laure1;66.11;Verseuil; 6 ; Orseuil; 4; Marville; 3;;;;
Cazotte_Diable;58.8;Venise; 14 ; Estrémadure; 10; Olympia; 8;;; Naples; 7
Beauharnais_Lettres_all_2_needs_to_be_corrected;91.43;Florizene; 157 ;;;;; Rosemont; 74;;
Merard_Bergeries;88101.0;Franval; 21 ; Méris; 12; Silvérie; 11;;;;
Sacy_Amours;82.14;;;;; Vénus; 19; Sylvanire; 17;;
Mirabeau_Conversion;61.6;Euphrosie; 19 ; Paris; 10; Branlinos; 9; Dorville; 8;;
Bernardin_Paul;72.17;;; Domingue; 30;" ""lEurope"""; 21; France; 21;;
Retif_Sara;88.41;Lamontette; 41 ; Paris; 20; palais-royal; 13;;; Amiens; 7
Benoist_Elisabeth;63.19;Luzan; 103 ; Albi; 54; Paris; 48; Saintré; 38;;
Dorat_Sacrifices;96.18;Paris; 20 ; Est; 5;;;;; Versenai; 3
Anonyme_Zoloe;85.24;;; Volsange; 40; Lauréda; 21; Fessinot; 13; Mirval; 8
Leonard_Lettres;62.11;etamp; 32 ;;;;;;;;
Lesuire_Aventurier;86.27;;; Paris; 49; Cieux; 28; Naples; 27; France; 24
Crebillon_Nuit;86.27;Célimene; 17 ; Cidalise; 10;;; Belise; 5; Paris; 4
Arnaud_Sentiment;99.62;Nancy; 111 ; Sargines; 109; Ménécrate; 99; Syndham; 78;;
Mercier_Jezennemours;71.23;Jezennemours; 98 ; Florimonde; 32; Paris; 9; Strasbourg; 7; Europe; 6
Puget_Periphas;54.13;Periphas; 69 ; Phocide; 58; Athenes; 55; Locriens; 42; Phocus; 41
Maistre_Voyage;55.16;Alpes; 4 ; Turin; 3; Rome; 2; soleil; 2;;
Louvet_Fin;79.15;Paris; 30 ;;; Fromonville; 19;;; Belcour; 12
Puttelange_Roi;97.21;Paquans; 54 ; Paquantois; 13; Memphis; 3;;;;
Diderot_Religieuse;1.0;Paris; 29 ; Longchamp; 22;;; Caen; 16;;
Loaisel_Lucile;97.22;;; Saint-Flour; 14; Milcourt; 7; Saint - Flour; 5; Alibre; 3
Marmontel_Belisaire;98.38;Tibére; 77 ; état; 40; Rome; 23;" ""l empire"""; 18; Italie; 17
Riccoboni_MylordRivers;86.32;Belosane; 62 ; Londres; 37; Paris; 23; Layrac; 14; Angleterre; 11
Marmontel_Contes;72.19;Verglan; 34 ; Corée; 22;;; Timante; 21; Paris; 20
Tiphaigne_Galligenes;71.25;etamp; 103 ; Galligènes; 90; Almont; 72; République; 51; Alcine; 38
Diderot_Supplement;61.R19;Taïtiens; 13 ; le Taïtien; 8; Bougainville; 5; Taïti; 5;;
Beckford_Vathek;99.76;Nouronihar; 40 ; Gulchenrouz; 21; Morakanabad; 18; Samarah; 13; Fakreddin; 13
Prevost_Monde;66.21;Vienne; 45 ; Paris; 43; Hongrie; 35; Tergowitz; 24;;
Florian_Galatee;65.21;Artidore; 38 ; Téolinde; 33; Mœris; 29; Nisida; 19; Florise; 16
Charriere_Lausanne;98.41;Londres; 28 ;;; Bath; 16; Lausanne; 15; Paris; 10
Sade_Philosophie;88.53;;; État; 15; Saint-Ange; 12; Rome; 11;;
Reveroni_Pauliska;83.26;Russes; 21 ; Ust; 17; Polonais; 16; Bude; 12; Francfort; 11
Riccoboni_MissJenny;86.34;Anglesey; 87 ; Londres; 82;;;;; Angleterre; 19
Rousseau_Julie;75.28;Paris; 65 ; Clarens; 26; Orbe; 26;;; Londres; 20
Anonym_Suzon;82.20;Couvent; 21 ; Paris; 13; État; 13; Minois; 12;;
Dulaurens_Imirce;95.20;Paris; 89 ; Tien; 24; Zéphyre; 19; France; 10;;
Boufflers_Reine;74.15;Golconde; 4 ; Paris; 3; état; 3; Dinazarde; 1; Molinos; 1
Loaisel_Dolbreuse;84.27;Paris; 11 ;;; état; 7;" ""l empire"""; 3;;
Doppet_Memoires;58.13;Paris; 27 ; Annecy; 26; Chambery; 22; Savoye; 9; Univers; 7
Genlis_Chevaliers;82.17;Armoflède; 280 ; Nasuf; 101; Vitikind; 65;;; Diaulas; 42
Retif_AntiJustine;99104.0;;;;; Timori; 36;;; Guaé; 32
Arnaud_Epoux;99105.0;Paris; 27 ; Lesseville; 19;;;;; état; 10
Loaisel_Comtesse;85.33;Saint-Flour; 21 ; Milcourt; 5; soleil; 2; jura; 2; Alibre; 2
Benouville_Pensees;74.20;;;;; Mérida; 10; Univers; 8; Peuple; 6
Popeliniere_Daira;83.31;etamp; 68 ;;; Alep; 37; Isle; 16; Sérail; 16
Gorjy_Voyage;82.27;Kermouth; 12 ; Paris; 5; Calais; 3; Bruxelles; 2; France; 2
Montesquieu_Arsace;89.81;Ardasire; 27 ; Isménie; 19; Bactriane; 17; Médie; 14; Hyrcanie; 11
Jacquin_Parisiennes;87.54bis;Barville; 53 ; Hortence; 50; Paris; 24; etamp; 22;;
Nerciat_Aphrodites;79.22;;;;; Paris; 59; Valcreux; 44; Baronnet; 33
Nerciat_Etourdi;83.33;Paris; 10 ; Montpellier; 6; Anglais; 6;;; Despras; 4
Diderot_Neveu;87.56;;;;; Paris; 5;;; Est; 4
Voisenon_Histoire;90.47;Alménidore; 27 ;;; Thémidore; 8; Elmasie; 6; Zélamire; 4
Genlis_Adele;94.8;Paris; 143 ; Lagaraye; 58; Rome; 44; Dainville; 33; Languedoc; 29
Abbes_Voyage;67.39;Palais; 3 ; Vestibule; 3; Anglois; 2; Pays; 1; Région; 1
Beaumont_Clarice;61.12;Londres; 51 ; Hariote; 38; Angleterre; 36; France; 31; Bordeaux; 27
Voltaire_Homme;77.50;État; 30 ; Paris; 22;" ""lEurope"""; 11; Rome; 7; la France; 6
Fourqueux_Zely;84.43;Nassès; 17 ;;; Ville; 5;;;;
Mirabeau_Rideau;71.36;Vernol; 29 ;;;;;;;;
Sade_Aline;76.36;Paris; 96 ; Zamé; 92; Léonore; 66; Déterville; 62;;
Lavaux_Eusebe;83.40;Frivolipolis; 10 ; Hiboumanes; 5; Etat; 5;;;;
Crebillon_Conte;86.51;Schah-Baham; 48 ; Tout-Ou-Rien; 42; état; 40; Manzaïde; 32; autruche; 26
Leonard_Clementine;83.42;Trénel; 3 ;;; état; 3; Murcé; 2; Vante; 1
Berquin_Enfants;53.26;S-Firmin; 61 ; Fanchette; 24; Saint-Firmin; 19; Amand; 8;;
Retif_Paysan;93.16;;; Arras; 105;;; Tiennete; 99;;
Cottin_Claire;84.50;;; Loire; 4;;; Lyon; 2; Paris; 2
Ducray_Cinquante;75.37;Paris; 86 ; Saint-Ange; 81; Eranville; 65; Briceval; 61;;
Laclos_Liaisons;60.21;Paris; 104 ;;;;; Opéra; 14; Gercourt; 12
Louvet_Annee;53.R34;;;;;;; Paris; 23; Varsovie; 22
Lesuire_Crime;60.28;Paris; 132 ;;; Lyon; 57; Couvent; 48;;
Voltaire_Princesse;61.17;Babylone; 77 ; Amazan; 48; Égypte; 33;;; Scythes; 19
Barthelemy_Voyage;91.44;Grèce; 440 ; Athènes; 280; athéniens; 206; Lacédémone; 135; Sicile; 104
Sade_Infortunes;98.84;;; Paris; 25;;; Lyon; 19;;
Riccoboni_Histoire;76.44;;; Cressy; 28;;; Chelles; 7; Gersay; 6
Riccoboni_LettreJuliette;84.58;Erford; 34 ; Vinchester; 29; Londres; 27; Montfort; 9; Mosès; 6
Rosny_Firmin;83.48;Stainville; 21 ; Paris; 17; Thomill; 10; Liège; 7; Orl; 6
Voltaire_Micromegas;79.31;Saturne; 13 ; Micromégas; 10; Sirius; 4; Jupiter; 4; mer Baltique; 3
Sade_120;98.85;;; Paris; 39; Zélamir; 38; Michette; 38;;
Retif_Paysanne;58.17;;; Paris; 69; Fanchette; 56; Lagouache; 47; Parangon; 39
Constant_Laure2;59.22;Marville; 43 ;;; Flamacour; 14; Paris; 12; Taninge; 10
Sade_Justine;67.44;Dubois; 49 ; Paris; 26; Lyon; 25; Cardoville; 21;;
Lagrave_Zabeth;57.12;Saint-Silvain; 120 ; Combe; 39; Fermon; 27; Wilton; 21; Boulogne; 17
Diderot_Jacques;64.39;Desglands; 27 ; Paris; 19; Arcis; 15; Merval; 13; Gaine; 9
Gerard_Comte;77.57;;; Senneville; 44;;; Est; 8; Rome; 8
Florian_Numa;98.88;Rome; 98 ; Hersilie; 52; romains; 51; Cérès; 25;;
Riccoboni_LettresAdelaide;62.33;Mondelis; 41 ; Paris; 38; Sancerre; 32; Comminges; 10; Thémines; 8
Senac_Emigre;61.18;Français; 47 ; Paris; 37; Francfort; 33; France; 33; la France; 25
Dorat_Malheurs;61.19;Paris; 18 ; Sidley; 15;;;;; Italie; 4
Florian_Estelle;1.0;Némorin; 43 ; Massanne; 26;;; Languedoc; 13; Nismes; 12
Denon_Point;95.36;;;;; sauvai; 1;;; Seine; 1
Souza_Adele;1.0;Mortagne; 34 ; Paris; 29; Neuilly; 15; Angleterre; 10; Londres; 3
Marmontel_Incas;91.42;Pizarre; 122 ; indiens; 52; incas; 51; Cusco; 45; soleil; 44
Morelly_Naufrage;95.37;etamp; 75 ; Univers; 40; Zeinzemin; 37; Isles; 34; Pays; 30
Beauharnais_Lettres;89104.0;Florizene; 50 ;;;;;;;;
Nerciat_Felicia;97.74;Sydney; 87 ; Aiglemont; 78; Paris; 51;;;;
Voltaire_Candide;94.13;;; Venise; 25; Bulgares; 21; Constantinople; 12; Buenos-Ayres; 12
Retif_Vie;54.33;Paris; 27 ; Nitri; 23; Auxerre; 14; état; 7; Noyers; 6
Crebillon_Atheniennes;65.5;Axiochus; 77 ;;; Thrazylle; 47;;; état; 37
Tiphaigne_Amilec;51.42;;; la Terre; 7;;;;;;
Segur_Correspondance;59.25;Paris; 71 ; Villarceaux; 11;;;;;;
Cazotte_Honneur;68.55;Bazilette; 39 ; Primrose; 17;;; Guaiziek; 8; Bretagne; 5
Mercier_An;52.43;État; 26 ; Paris; 15;" ""lEurope"""; 8; Angleterre; 6; poète(s; 6
;68.55;;;;;;;;;;
