,LOC,PER
Dulaurens_Compere.txt,"[(('Paris', 385), 47), (('Vitulos', 385), 47), (('Rome', 385), 23), (('état', 385), 20), (('espagnol', 385), 19)]","[(('Jean', 4317129024397789502), 181), (('Diégo', 4317129024397789502), 132), (('Jésus-Christ', 4317129024397789502), 47), (('Mathieu', 4317129024397789502), 44), (('Adam', 4317129024397789502), 44)]"
Loaisel_Ainsi.txt,"[(('Paris', 385), 12), (('Strasbourg', 385), 7), (('Gur', 385), 3), (('zéphir', 385), 3), (('Gurc', 385), 3)]","[(('Madame De V', 4317129024397789502), 69), (('Eugénie', 4317129024397789502), 65), (('Madame De V.', 4317129024397789502), 9), (('Comte De P.', 4317129024397789502), 5), (('Marquis De R', 4317129024397789502), 5)]"
Arnaud_Matinees.txt,"[(('Virginie', 385), 145), (('Dorneuil', 385), 127), (('Dolimon', 385), 54), (('Géminyile', 385), 52), (('Sinderson', 385), 26)]","[(('Elisabeth', 4317129024397789502), 103), (('Stéphanie', 4317129024397789502), 56), (('Dorneuil', 4317129024397789502), 45), (('mistriss Habert', 4317129024397789502), 38), (('Lindley', 4317129024397789502), 37)]"
Charriere_Femmes.txt,"[(('Altendorf', 385), 22), (('Emilie', 385), 15), (('Paris', 385), 13), (('Mademoiselle', 385), 8), (('Allemagne', 385), 7)]","[(('Emilie', 4317129024397789502), 186), (('Théobald', 4317129024397789502), 146), (('Joséphine', 4317129024397789502), 144), (('Henri', 4317129024397789502), 75), (('Mme de Vaucourt', 4317129024397789502), 54)]"
Cazotte_Ollivier.txt,"[(('Fleur-De-Myrte', 385), 38), (('Zerbin', 385), 27), (('Tours', 385), 20), (('Barin', 385), 20), (('Inare', 385), 14)]","[(('Ollivier', 4317129024397789502), 82), (('Enguerrand', 4317129024397789502), 78), (('Barin', 4317129024397789502), 47), (('Sigismond', 4317129024397789502), 37), (('Agnès', 4317129024397789502), 37)]"
Lagrave_Sophie.txt,"[(('Auterive', 385), 31), (('Dijon', 385), 21), (('Paris', 385), 18), (('Ormilly', 385), 16), (('Armincourt', 385), 15)]","[(('M. de Beauregard', 4317129024397789502), 79), (('madame de Beauregard', 4317129024397789502), 61), (('Sophie de Beauregard', 4317129024397789502), 36), (('Monrose', 4317129024397789502), 33), (('Saint-Hilaire', 4317129024397789502), 31)]"
Fievee_Dot.txt,"[(('Paris', 385), 24), (('Londres', 385), 11), (('Senneterre', 385), 10), (('Saint-Domingue', 385), 9), (('France', 385), 5)]","[(('Suzette', 4317129024397789502), 117), (('Adolphe', 4317129024397789502), 46), (('M Chenu', 4317129024397789502), 38), (('Madame Depréval', 4317129024397789502), 24), (('Augustine', 4317129024397789502), 19)]"
Riccoboni_LettresFanni.txt,"[(('Londres', 385), 4), (('ôtez', 385), 3), (('aimerais', 385), 3), (('Grande-Bretagne', 385), 2), (('Angleterre', 385), 2)]","[(('Charles', 4317129024397789502), 16), (('Thomas', 4317129024397789502), 13), (('Sir Thomas', 4317129024397789502), 10), (('miss Betzi', 4317129024397789502), 9), (('milord', 4317129024397789502), 6)]"
Rousseau_Emile.txt,"[(('etamp', 385), 229), (('Paris', 385), 34), (('Etat', 385), 33), ((""l'Europe"", 385), 13), (('Sparte', 385), 10)]","[(('Emile', 4317129024397789502), 202), (('etamp', 4317129024397789502), 137), (('Sophie', 4317129024397789502), 133), (('Émile', 4317129024397789502), 86), (('etamp;', 4317129024397789502), 31)]"
Bernardin_Chaumiere.txt,"[(('Gange', 385), 13), (('Inde', 385), 12), (('Indes', 385), 11), (('Jagrenat', 385), 10), (('Angleterre', 385), 8)]","[(('frangui', 4317129024397789502), 3), (('Jagrenat', 4317129024397789502), 2), (('dieu Brama', 4317129024397789502), 2), (('Gemna', 4317129024397789502), 2), (('casys persans', 4317129024397789502), 1)]"
