,LOC,PER
Leonard_Lettres.txt,"[('Faldoni', 21), ('Thérese', 19), ('Curé', 14), ('Constance', 12), ('Paris', 10)]","[('Monsieur', 30), ('Faldoni', 20), ('Mademoiselle', 18), ('Thérese', 17), ('Madame de Saint-Cyran', 16)]"
Diderot_Jacques.txt,"[('Desglands', 27), ('Paris', 19), ('Arcis', 15), ('Merval', 13), ('Gaine', 9)]","[('Jacques', 535), ('Mme de La Pommeraye', 72), ('Denise', 44), ('MADAME DE', 34), ('Bigre', 31)]"
Lagrave_Sophie.txt,"[('Auterive', 31), ('Dijon', 21), ('Paris', 18), ('Ormilly', 16), ('Armincourt', 15)]","[('M. de Beauregard', 79), ('madame de Beauregard', 61), ('Sophie de Beauregard', 36), ('Monrose', 33), ('Saint-Hilaire', 31)]"
Denon_Point.txt,"[('Auriez', 1), ('providence', 1), ('sauvai', 1), ('étoisde', 1), ('Seine', 1)]","[('Madame De T', 16), ('madame', 5), ('Mme De T', 5), ('Madame De T.', 2), ('M De T', 2)]"
Constant_Laure.txt,"[('Marville', 200), ('Mde', 99), ('Paris', 75), ('Hausse', 69), ('Germosan', 56)]","[('Mr. de St. Ange', 367), ('Mlle. de Mirfor', 124), ('Mr.', 94), ('M. de St. Ange', 86), ('Henriette', 69)]"
Cottin_Claire.txt,"[('FRÉDÉRIC', 5), ('Loire', 4), ('Cher', 2), ('Lyon', 2), ('Paris', 2)]","[('Frédéric', 244), ('Claire', 150), ('Élise', 80), (""M. d'Albe"", 73), ('Adèle', 29)]"
Crebillon_Conte.txt,"[('Schah-Baham', 48), ('Tout-Ou-Rien', 42), ('état', 40), ('Manzaïde', 32), ('autruche', 26)]","[('Taciturne', 243), ('Schézaddin', 41), ('madame', 26), (""roi d' Isma"", 19), ('Moslem', 17)]"
Anonyme_Zoloe.txt,"[('Zoloé', 41), ('Volsange', 40), ('Lauréda', 21), ('Fessinot', 13), ('Mirval', 8)]","[('Fessinot', 21), ('Milord', 16), ('Pacôme', 12), ('Forbess', 11), ('madame', 4)]"
Morelly_Naufrage.txt,"[('Univers', 39), ('Zeinzemin', 35), ('Isles', 34), ('Pays', 29), ('Isle', 27)]","[('Zeinzemin', 112), ('Fadhilah', 56), ('Ami', 34), ('Prince', 29), ('Ciel', 29)]"
Beckford_Vathek.txt,"[('Nouronihar', 40), ('Gulchenrouz', 21), ('Morakanabad', 18), ('Samarah', 13), ('Fakreddin', 13)]","[('Carathis', 53), ('Bababalouk', 32), ('Gulchenrouz', 24), ('Mahomet', 13), ('Nouronihar', 12)]"
Gorjy_Voyage.txt,"[('Kermouth', 12), ('Paris', 5), ('Calais', 3), ('Bruxelles', 2), ('France', 2)]","[('Zeinevill', 18), ('Justine', 16), ('Artémire', 15), ('Monsieur', 12), ('Dariolette', 10)]"
Maistre_Voyage.txt,"[('Alpes', 4), ('Turin', 3), ('Rome', 2), ('soleil', 2), ('»--Il', 2)]","[('Joannetti', 18), ('Aspasie', 8), ('Rosine', 7), ('Raphaël', 6), ('Platon', 5)]"
Benouville_Pensees.txt,"[('Religion', 13), ('Bérénice', 11), ('Mérida', 10), ('Univers', 8), ('Peuple', 6)]","[('Titus', 21), ('Dom César', 17), ('Dom Alphonse', 16), ('Ciel', 13), ('Ferdinand', 10)]"
Abbes_Voyage.txt,"[('Palais', 3), ('Vestibule', 3), ('Anglois', 2), ('Pays', 1), ('Région', 1)]","[('Corneille', 6), ('Monsieur', 5), ('Racine', 4), ('M.', 3), ('Virgile', 3)]"
Loaisel_Dolbreuse.txt,"[('Paris', 11), ('volupté', 7), ('état', 7), (""l' empire"", 3), ('allais', 3)]","[('La comtesse', 9), ('Jean-Jacques', 7), ('La marquise', 6), ('Voltaire', 5), ('Ajoutoit', 4)]"
Cazotte_Ollivier.txt,"[('Fleur-De-Myrte', 38), ('Zerbin', 27), ('Tours', 20), ('Barin', 20), ('Inare', 14)]","[('Ollivier', 82), ('Enguerrand', 78), ('Barin', 47), ('Sigismond', 37), ('Agnès', 37)]"
Rousseau_Emile.txt,"[('Paris', 32), ('Etat', 29), (""l'Europe"", 11), ('Sparte', 10), ('Rome', 9)]","[('Emile', 200), ('Sophie', 119), ('Émile', 86), ('Locke', 13), ('Alexandre', 13)]"
Charriere_Lausanne.txt,"[('Londres', 28), ('Caliste', 20), ('Bath', 16), ('Lausanne', 15), ('Paris', 10)]","[('Cécile', 131), ('Caliste', 40), ('lady Betty', 17), ('Fanny', 14), ('James', 11)]"
Marmontel_Contes.txt,"[('Verglan', 34), ('Corée', 22), ('émilie', 21), ('Timante', 21), ('Paris', 20)]","[('Lucile', 93), ('Alcibiade', 75), ('Hortense', 64), ('Bélise', 51), ('Agathe', 47)]"
Arnaud_Epoux.txt,"[('Paris', 27), ('Lesseville', 19), ('Agathe', 16), ('Mademoiselle', 10), ('état', 10)]","[('Agathe', 362), ('Laurence', 61), ('Monsieur', 47), ('Marianne', 28), ('Mademoiselle', 26)]"
