PER;LOC;PER but no NE;LOC but no NE;No NE (PER);No NE (LOC);Categorised PER, is LOC;Categorised LOC, is PER;Categorised PER, is LOC (no NE);Categorised LOC, is PER (no NE)
Adèle;Abligny;;;;;;;;
Thérèse;Montfort;;;;;;;;
Hyacinthe;Rouen;;;;;;;;
;Amiens;Monsieur;;;;;;;
Duval;Alleville;;;;;;;;
Hé;Paris;;;;;;;;
mademoiselle Duval;Lyon;;;;;;;;
Godwin;Marseille;;;;;;;;
Adélaïde;le Centaure;;;;;;;;
lord Selby;France;;;;;;;;
Edouard;Londres;;;;;;;;
madame Purvis;Zurich;;;;;;;;
Clara;Suisse;;;;;;;;
Mr Trumann;Adélaïde;;;;;;;;
Auguste;Hambourg;;;;;;;;
Roussel;Angleterre;;;;;;;;
Adriène;Berne;;;;;;;;
Madame De Syrcé;de France;;;;;;;;
De Mirbelle;Sidley;;;;;;;;
De Gérac;ladi;;;;;;;;
Madame De Thémines;;;Est;;;;;;
Madame De Sancerre;Mirbelle;;;;;;;;
Billet;Italie;;;;;;;;
M De Syrcé;hymen;;;;;;;;
Sophie;état;;;;;;;;
Ladi Sidley;;;;;Cher;;;;
Sidley;femmes-de-chambre;;;;;;;;
louis;la Haye;;;;;;;;
Voltaire;Hollande;;;;;;;;
;;Mme;Etat;;;;;;
madame Valcœur;Lille;;;;;;;;
Soliman;la France;;;;;;;;
;Sirius;;;Me;;;;;
Jésus;Vénus;;;;;;;;
Cicéron;Rotterdam;;;;;;;;
Gordon;Bababec;;;;;;;;
Omri;Bénarès;;;;;;;;
Brama;Gange;;;;;;;;
Mahomet;Gavani;;;;;;;;
Corneille;Veidam;;;;;;;;
Racine;Croyez;;;;;;;;
Virgile;Brama;;;;;;;;
François;;;Palais;;;;;;
;;M.;Pays;;;;;;
;;Maître;Région;;;;;;
M. Despréaux;;;;;IL;;;;
M. de la Motte;Bossuets;;;;;;;;
;Fénelons;Roi;;;;;;;
;Corneilles;Sire;;;;;;;
Louis XIV;Rousseaux;;;;;;;;
Mme la M. de N.;;;;;;;Montesquieux;;
;Fontenelles;Ministres;;;;;;;
Madame la M;Français;;;;;;;;
Roi de Prusse;Allemagne;;;;;;;;
Prince Henri;;;Nation;;;;;;
La Fontaine;Hôtel-Dieu;;;;;;;;
Lucile;Milcourt;;;;;;;;
madame de Courmill;Saint-Flour;;;;;;;;
Alibre;;;;;O;;;;
M. de Saint-Flour;jura;;;;;;;;
O Lucile;charue;;;;;;;;
;beche;Madame;;;;;;;
;;Souverain;;;laisserlà;;;;
Mademoiselle de Saint-Flour;forêt de Fontainebleau;;;;;;;;
Edmond;Lagouache;;;;;;;;
Mme Parangon;;;;;;;Ursule;;
Ursule;Parangon;;;;;;;;
Laure;;;;;Réponse;;;;
Gaudet;Fanchette;;;;;;;;
M. Gaudet;;;;;Italien;;;;
Fanchon;Trémoussée;;;;;;;;
Mme Canon;;;;;Opéra;;;;
Mlle Fanchette;;;;;;;Zéphire;;
Edmée;Sélicourt;;;;;;;;
Madame De Menneville;Menneville;;;;;;;;
Madame Darmilli;Sinville;;;;;;;;
Sélicourt;;;;;démentirez;;;;
Monsieur De Menneville;;;;;mot.-Je;;;;
;Charmante Menneville;;;Seroit;;;;;
Darmilli;;;;;exigerai;;;;
Madame DeMenneville;Hâtez;;;;;;;;
chevalier de Sélicourt;Thémire;;;;;;;;
MadameDarmilli;;;;;Amour;;;;
;Sylphes;;;Amour;;;;;
Thémire;;;Isle;;;;;;
Vénus;;;;;Nymphes;;;;
;Egerie;Dieux;;;;;;;
;Rossignols;Amant;;;;;;;
Fils de Vénus;;;;;;;;;Petit-Maitre
Sylphides;Desglands;;;;;;;;
Venus;Arcis;;;;;;;;
Irois;Hudson;;;;;;;;
Jacques;Merval;;;;;;;;
Mme de La Pommeraye;Gaine;;;;;;;;
;;;;LE MAÎTRE;;;Suzon;;
;château de Desglands;;;Bigre;;;;;
Denise;;;;;Bigre;;;;
Le Brun;;;;;;;Batilde;;
Agathe;;;;;;;Ranulphe;;
Nicole;Neustrie;;;;;;;;
Archambaud;Galsonte;;;;;;;;
Batilde;;;;;;;Aega;;
Emma;;;;;seigneur.-Je;;;;
Clovis;;;;;vivacité?-Elle;;;;
Plectrude;appartement de Batilde;;;;;;;;
Ranulphe;Saint-Preux;;;;A;;;;
Ercombert;;;;;;;;;
Ethelbert;Orbe;;;;;;;;
Julie;Rome;;;;;;;;
M. de Wolmar;Dalville;;;;;;;;
;Grenoble;;;;;Ciel;;;
Milord Edouard;Venise;;;;;;;;
Wolmar;Dauphiné;;;;;;;;
Claire;Auxerre;;;;;;;;
;Florette;Milord;;;;;;;
M. d’Orbe;;;;;;;FRÉDÉRIC;;
Madame de Wolmar;Loire;;;;;;;;
Raphaël;Tours;;;;;;;;
Omphale;rivière du Cher;;;;;;;;
Bressac;;;;;;;Émilie;;
Mme de Lorsange;Mylady;;;;;;;;
Antonin;;;;;;;Peggi;;
Dubois;;;;;Pretty-Lilly;;;;
Dubreuil;Rochester;;;;;;;;
Justine;;;;;Raimbow;;;;
M. de Corville;;;;;;;;;Grand-papa
Frédéric;;;;;;;Émilie Ridge;;
Élise;Agathée;;;;;;;;
Adolphe;Ménécrate;;;;;;;;
BILLLET;Cydipe;;;;;;;;
;;Mylady;;;;;;;romains
;Péranus;Mylord;;;;;;;
;Éphèse;Mère;;;;;;;
;Grèce;Père;;;;;;;
;Gaule narbonnoise;Époux;;;;;;;
Anna Rose-Tree;;;;;;;Mosès;;
Amie;Vinchester;;;;;;;;
Mylady Ridge;;;;;étiez;;;;
Andrew;;;;;;;Polinska;;
;Blonie;Fils;;;;;;;
Zénothémis;la Pologne;;;;;;;;
Ménécrate;Munich;;;;;;;;
Mysias;Palatins;;;;;;;;
Hermogène;Pologne;;;;;;;;
Eudimaque;Sobieski;;;;;;;;
Eumène;Varsovie;;;;;;;;
Diane;Polonais;;;;;;;;
César;Turcs;;;;;;;;
Coman;Franval;;;;;;;;
Cydipe;Méris;;;;;;;;
Henriette;;;;;;;Silvérie;;
Erford;Alcidon;;;;;;;;
Sir Henry;Pizarre;;;;;;;;
Vinchester;Las-Casas;;;;;;;;
Milord Carlile;;;;;incas;;;;
Sir James;castillans;;;;;;;;
Abraham;Cusco;;;;;;;;
Milady Catesby;Quito;;;;;;;;
Métusko;;;;;indiens;;;;
Sobieski;Amazili;;;;;;;;
Polinska;Espagne;;;;;;;;
Clotilde;Mexique;;;;;;;;
Wilfrid;Zeinzemin;;;;;;;;
Polinski;;;Isles;;;;;;
Rodolphe;;;;;Univers;;;;
Ragotzi;;;;;;;Amans;;
Palatin;;;;;;;;;Concitoyens
Jagellon;;;Dives;;;;;;
;;;Empire;;;villebrun;;;
Silvie;;;;;;;Célénie;;
Colin;Alménidore;;;;;;;;
Philis;Zélamire;;;;;;;;
alcidas;Elmasie;;;;;;;;
Lise;usa;;;;;;;;
Tircis;;;;;abuserai;;;;
Philandre;;;;;affligeasse;;;;
Doris;;;;;souciasse;;;;
annette;;;;;possédai;;;;
Alonzo;St Chrysostôme;;;;;;;;
Ataliba;;;;;;;Emilie;;
Cora;Altendorf;;;;;;;;
Cortès;Stolzheim;;;;;;;;
Orozimbo;;;;;Française;;;;
Montezume;Osnabruck;;;;;;;;
Valverde;Senneville;;;;;;;;
Huascar;Valmont;;;;;;;;
Davila;Jérusalem;;;;;;;;
Palmore;Israël;;;;;;;;
;;Prince;;;haîne;;;;
Fadhilah;Lausanne;;;;;;;;
;bron;;;Ami;;;;;
Seigneur;Allons;;;;;;;;
Zavaher;Polichinel;;;;;;;;
;;Pere;;;F;;;;
Adel;Parisiens;;;;;;;;
Sage;;;;;;;;;
Alménidore;Daignerez;;;;;;;;
Thémidore;Senanges;;;;;;;;
Aldine;Combien;;;;;;;;
Zélamire;Armide;;;;;;;;
Alcipe;Galligènes;;;;;;;;
pluson;Almont;;;;;;;;
;;;;débutai;;;Alcine;;
;Montmor;;;conduisisse;;;;;
Emilie;Europe;;;;;;;;
Joséphine;;;;;Conjurés;;;;
Théobald;;;République;;;;;;
Henri;Galligène;;;;;;;;
Mme de Vaucourt;Dorville;;;;;;;;
