original,modernisé,commentaire
te,te,correct
écrié,écrié,correct
ont,ont,correct
allait,allait,correct
barcelonnette,barcelonnette,correct
tragi,tragi,correct
corbleu,corbleu,correct
volsques,volsques,correct
main,main,correct
vestins,vestins,correct
baronet,baronet,correct
herniques,herniques,correct
selictar,selictar,correct
rhéates,rhéates,correct
maltôtiers,maltôtiers,correct
mlles,mlles,correct
céleres,céleres,correct
hirpins,hirpins,correct
connichon,connichon,correct
alla,alla,correct
égaré,égaré,correct
arétin,arétin,correct
samiens,samiens,correct
moinesse,moinesse,correct
baillive,baillive,correct
colonistes,colonistes,correct
auronces,auronces,correct
allah,allah,correct
rapsodies,rapsodies,correct
pardine,pardine,correct
cavette,cavette,correct
vertabiet,vertabiet,correct (https://fr.wikisource.org/wiki/L%E2%80%99Encyclop%C3%A9die/1re_%C3%A9dition/VERTABIET)
catinisme,catinisme,correct (https://fr.wiktionary.org/wiki/catinisme)
simplesse,simplesse,correct https://fr.wiktionary.org/wiki/simplesse
