original,modernisé,commentaire
ceilcour,ceilcour,nom propre
limours,limours,nom propre
celtas,celtas,nom propre
nasuf,nasuf,nom propre
gratien,gratien,nom propre
franlo,franlo,nom propre
desglinières,desglinières,nom propre
raunai,raunai,nom propre
zemni,zemni,nom propre
echelettes,echelettes,nom propre
parisatis,parisatis,nom propre
lonchamps,lonchamps,nom propre
melro,melro,nom propre
folaise,folaise,nom propre
balahac,balahac,nom propre
candehar,candehar,nom propre
diaulas,diaulas,nom propre
flonsel,flonsel,nom propre
grancise,grancise,nom propre
astie,astie,nom propre
réclif,réclif,nom propre
lazzaro,lazzaro,nom propre
topal,topal,nom propre
faussin,faussin,nom propre
goé,goé,nom propre
verquin,verquin,nom propre
bénine,bénine,nom propre
popinel,popinel,nom propre
labrie,labrie,nom propre
bousinière,bousinière,nom propre
destanges,destanges,nom propre
doctorin,doctorin,nom propre
chède,chède,nom propre
prât,prât,nom propre
gensac,gensac,nom propre
loando,loando,nom propre
colbac,colbac,nom propre
raimbow,raimbow,nom propre
udal,udal,nom propre
dumba,dumba,nom propre
duperrier,duperrier,nom propre
barrito,barrito,nom propre
servoz,servoz,nom propre
noirville,noirville,nom propre
dallainval,dallainval,nom propre
saintsilvain,saintsilvain,nom propre
nazomega,nazomega,nom propre
retel,retel,nom propre
passy,passy,nom propre
weis,weis,nom propre
berlits,berlits,nom propre
boiscaré,boiscaré,nom propre
gomès,gomès,nom propre
rosimont,rosimont,nom propre
sapi,sapi,nom propre
saget,saget,nom propre
paquante,paquante,nom propre
tomans,tomans,nom propre
losval,losval,nom propre
nephes,nephes,nom propre
mountain,mountain,nom propre
slope,slope,nom propre
aurèle,aurèle,nom propre
dieppe,dieppe,nom propre
venuzi,venuzi,nom propre
caillet,caillet,nom propre
rarup,rarup,nom propre
arpennaz,arpennaz,nom propre
oromasis,oromasis,nom propre
gotton,gotton,nom propre
loutraille,loutraille,nom propre
taxile,taxile,nom propre
bossière,bossière,nom propre
éginard,éginard,nom propre
vernouillet,vernouillet,nom propre
lestal,lestal,nom propre
browne,browne,nom propre
emouchets,emouchets,nom propre
poulitte,poulitte,nom propre
lauroi,lauroi,nom propre
forbess,forbess,nom propre
amalberge,amalberge,nom propre
benk,benk,nom propre
thieul,thieul,nom propre
kesra,kesra,nom propre
visnou,visnou,nom propre
sême,sême,nom propre
brioude,brioude,nom propre
rustigraphe,rustigraphe,nom propre
lebon,lebon,nom propre
plorman,plorman,nom propre
ambussieres,ambussieres,nom propre
aslan,aslan,nom propre
métomba,métomba,nom propre
zirca,zirca,nom propre
omrahs,omrahs,nom propre
frécour,frécour,nom propre
gerseuil,gerseuil,nom propre
nilevar,nilevar,nom propre
corréa,corréa,nom propre
despêches,despêches,nom propre
orrery,orrery,nom propre
salked,salked,nom propre
gaëte,gaëte,nom propre
basseroche,basseroche,nom propre
morton,morton,nom propre
montoni,montoni,nom propre
tauris,tauris,nom propre
joset,joset,nom propre
rustigràphe,rustigràphe,nom propre
caffre,caffre,nom propre
bâle,bâle,nom propre
bellegarde,bellegarde,nom propre
dascourt,dascourt,nom propre
paray,paray,nom propre
norpéen,norpéen,nom propre
candahar,candahar,nom propre
lastic,lastic,nom propre
motassem,motassem,nom propre
chonchon,chonchon,nom propre
maruces,maruces,nom propre
bellemare,bellemare,nom propre
vanidor,vanidor,nom propre
liger,liger,nom propre
ryding,ryding,nom propre
carnay,carnay,nom propre
pentido,pentido,nom propre
cailleau,cailleau,nom propre
naincy,naincy,nom propre
wapping,wapping,nom propre
cémelli,cémelli,nom propre
murwell,murwell,nom propre
cadishé,cadishé,nom propre
thirlestaine,thirlestaine,nom propre
mortane,mortane,nom propre
janna,janna,nom propre
lunez,lunez,nom propre
dorens,dorens,nom propre
pressy,pressy,nom propre
bruhier,bruhier,nom propre
litthe,litthe,nom propre
allinges,allinges,nom propre
michon,michon,nom propre
duterrier,duterrier,nom propre
iliska,iliska,nom propre
mainotes,mainotes,nom propre
morneck,morneck,nom propre
lurcé,lurcé,nom propre
rutules,rutules,nom propre
riviolle,riviolle,nom propre
pandects,pandects,nom propre
fanchonnette,fanchonnette,nom propre
astrea,astrea,nom propre
pannonie,pannonie,nom propre
gelna,gelna,nom propre
brudner,brudner,nom propre
sesnes,sesnes,nom propre
muscheid,muscheid,nom propre
longchamps,longchamps,nom propre
roviri,roviri,nom propre
phosphorine,phosphorine,nom propre
mester,mester,nom propre
delimours,delimours,nom propre
condorcet,condorcet,nom propre
garonne,garonne,nom propre
pirée,pirée,nom propre
bandino,bandino,nom propre
massillon,massillon,nom propre
ichtemadeulet,ichtemadeulet,nom propre
blesac,blesac,nom propre
maronda,maronda,nom propre
sesne,sesne,nom propre
prothée,prothée,nom propre
basle,basle,nom propre
sangatte,sangatte,nom propre
lulli,lulli,nom propre
gontier,gontier,nom propre
viterbe,viterbe,nom propre
lidde,lidde,nom propre
vivarais,vivarais,nom propre
cinna,cinna,nom propre
edouart,edouart,nom propre
hermengarde,hermengarde,nom propre
schédoni,schédoni,nom propre
espagnes,espagnes,nom propre
abassi,abassi,nom propre
épicure,épicure,nom propre
maduré,maduré,nom propre
calaate,calaate,nom propre
kembley,kembley,nom propre
frioul,frioul,nom propre
javane,javane,nom propre
hazerai,hazerai,nom propre
thuringe,thuringe,nom propre
pélage,pélage,nom propre
williska,williska,nom propre
mithrane,mithrane,nom propre
piguet,piguet,nom propre
nalgas,nalgas,nom propre
eblis,eblis,nom propre
