,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Meissner_Histoire1,Merard_Bergeries,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Sacy_Amours,Sade_120,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Homme,Voltaire_Princesse,sum
étoit,15,124,69,15,51,41,0,0,74,124,0,0,0,0,0,94,75,0,0,0,0,82,89,0,0,91,52,176,130,0,237,417,87,56,0,171,73,57,58,59,26,0,68,59,0,0,114,63,43,87,0,53,124,18,0,0,0,0,41,28,0,0,3241
avoit,8,128,61,13,52,29,0,0,77,150,0,0,0,0,0,103,58,1,1,0,0,62,50,1,0,112,51,190,161,0,208,468,88,25,0,182,58,95,95,51,17,0,71,51,2,0,52,24,44,79,0,46,87,20,0,0,0,0,50,30,0,0,3151
tems,8,6,23,0,0,0,0,0,22,45,0,0,0,0,0,54,17,72,0,0,0,61,0,38,26,0,0,123,101,2,88,0,0,0,0,0,0,55,53,60,0,0,51,46,140,0,2,0,21,26,74,41,54,8,0,0,0,0,40,43,0,0,1400
pere,0,34,103,13,11,11,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,27,6,0,40,7,100,89,0,0,4,8,55,0,69,0,93,0,34,0,0,41,32,31,0,133,66,16,15,0,0,7,0,0,0,0,0,16,4,0,0,1117
j'avois,1,68,12,0,5,17,0,0,35,32,0,0,0,0,0,56,1,0,0,0,0,4,10,0,0,69,35,65,51,0,13,221,41,35,0,73,40,5,5,2,5,0,5,3,0,0,43,19,10,2,0,12,49,0,0,0,0,0,1,1,0,0,1046
mad,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,979
durut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872
ame,2,6,47,0,28,20,0,0,20,8,0,0,0,0,0,30,0,4,0,0,0,22,9,0,3,39,15,15,19,36,23,17,4,45,0,12,10,64,64,25,24,0,18,16,16,0,54,20,26,42,17,1,18,5,0,0,0,0,6,8,0,0,858
j'étois,5,56,16,1,16,7,0,0,26,20,0,0,0,0,0,33,1,0,0,0,0,9,18,0,0,53,21,36,55,0,18,117,42,47,0,69,44,0,0,2,6,1,6,6,0,0,46,18,2,0,0,7,39,1,0,0,0,0,0,0,0,0,844
mme,0,0,0,0,0,0,1,0,1,0,2,87,1,23,0,0,0,0,2,167,5,0,0,0,1,0,0,0,0,0,2,0,0,0,15,4,2,0,0,0,2,0,0,0,0,106,0,0,0,0,0,0,0,0,0,45,54,276,0,0,3,0,799
étoient,11,32,10,2,6,10,0,0,24,26,0,0,0,0,0,25,10,0,0,0,0,23,29,0,0,21,11,31,35,0,40,72,18,16,0,17,21,6,6,12,6,0,43,42,0,0,23,9,30,24,0,3,32,5,0,0,0,0,21,15,0,0,767
seroit,3,2,54,1,48,28,0,0,17,23,0,0,0,0,0,15,7,0,0,0,0,11,9,0,0,21,14,13,22,0,25,67,4,17,0,12,18,12,12,28,7,0,19,15,2,0,14,7,19,6,0,51,87,4,0,0,0,0,10,5,0,0,729
c'étoit,0,20,11,2,5,12,0,0,15,36,0,0,0,0,0,20,13,0,0,0,0,19,14,0,0,21,21,32,24,0,19,53,13,13,0,43,29,14,14,3,9,0,20,3,0,0,34,15,17,12,1,10,25,0,0,0,0,0,10,3,0,0,625
sentimens,3,0,32,0,1,16,0,0,20,29,0,0,0,0,0,7,3,8,0,0,0,6,0,15,1,52,33,9,28,21,3,104,27,18,0,6,4,11,11,7,0,3,14,23,15,0,14,3,2,4,5,0,8,0,0,0,0,0,5,5,0,0,576
n'étoit,1,20,14,1,7,17,0,0,8,13,0,0,0,0,0,18,16,0,0,0,0,20,9,0,0,17,13,28,16,0,23,57,17,4,0,32,16,11,11,8,5,0,19,13,0,0,15,6,9,14,0,12,44,3,0,0,0,0,6,8,0,0,551
pouvoit,0,8,17,1,2,5,0,0,15,15,0,0,0,0,0,13,12,0,0,0,0,21,11,0,0,17,16,17,17,0,47,85,19,15,0,20,7,12,12,11,5,0,11,9,0,0,21,7,5,10,0,8,26,1,0,0,0,0,7,9,0,0,534
chere,1,12,34,8,106,0,0,0,0,0,0,0,0,0,0,14,6,0,0,0,0,0,7,0,0,0,5,0,47,0,0,0,2,38,0,67,0,5,0,14,14,0,20,19,70,0,23,14,1,1,0,0,4,0,0,0,0,0,0,2,0,0,534
enfans,0,18,1,0,0,3,0,0,8,1,0,0,0,0,0,6,4,37,0,0,0,14,0,0,2,3,1,13,9,5,11,14,1,12,0,2,7,3,3,3,0,11,32,9,20,0,12,8,17,12,19,118,6,0,0,0,0,0,44,10,0,0,499
