,Abbes_Voyage,Anonym_Suzon,Beauharnais_Lettres,Beaumont_Clarice,Benoist_Elisabeth3,Benouville_Pensees,Bernardin_Paul,Bernardin_Paul[1],Constant_Laure1,Constant_Laure2,Diderot_Bijoux[1],Diderot_Jacques,Diderot_Neveu,Diderot_Religieuse,Diderot_Supplement[1],Doppet_Memoires,Duclos_Acajou,Ducray_Cinquante1,Dulaurens_Imirce,Duras_Edouard,Duras_Ourika,Florian_Estelle,Florian_Galatee,Fourqueux_Zely,Gorjy_Voyage,Jacquant_Lettres,Jacquin_Parisiennes2,Kimber_Thompson1,Kimber_Thompson2,Laclos_Liaisons,Lagrave_Sophie1,Lagrave_Zabeth1,LaPlace_Collection,LaPlace_Lydia,Leonard_Lettres1,Lesage_Histoire[1],Lesuire_Aventurier1,Lesuire_Crime1,Loaisel_Comtesse,Loaisel_Lucile,Maistre_Voyage,Meissner_Histoire1,Merard_Bergeries,Mercier_An,Mirabeau_Conversion,Morelly_Naufrage1,Morelly_Naufrage2,Nerciat_Aphrodites,Nerciat_Felicia,Popeliniere_Daira1,Popeliniere_Daira2,Puget_Periphas1,Puget_Periphas2,Retif_AntiJustine,Retif_Paysanne,Reveroni_Pauliska,Rousseau_Emile1,Rousseau_Emile2,Rousseau_Julie,Sacy_Amours,Sade_120,Sade_Aline,Sade_Infortunes,Sade_Justine,Sade_Philosophie,Senac_Emigre,Tiphaigne_Galligenes1,Tiphaigne_Galligenes2,Voltaire_Candide,Voltaire_Homme,Voltaire_Princesse,sum
mme,0,0,0,0,0,0,1,0,1,0,2,87,1,23,0,0,0,0,2,167,5,0,0,0,1,0,0,0,0,153,0,2,0,0,0,15,4,2,0,0,2,0,2,0,0,0,0,0,106,0,0,0,0,69,314,0,0,0,0,0,0,0,45,54,276,0,0,0,0,3,0,1337
mad,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,914,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,984
durut,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,872
julie,0,0,0,0,26,0,0,0,4,1,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,13,19,0,0,18,0,0,0,0,2,11,2,3,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,6,2,80,0,0,534,0,49,28,0,7,0,6,0,0,0,0,0,854
sophie,0,0,0,0,0,0,0,0,2,4,16,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,13,40,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,5,1,0,0,277,0,0,89,179,55,0,0,0,0,0,0,0,0,698
france,1,8,4,1,0,2,42,26,0,3,6,1,1,4,1,5,0,3,26,4,1,20,0,0,2,0,0,0,6,2,0,12,7,0,0,2,5,9,1,1,0,4,0,7,3,1,0,6,3,2,0,0,0,0,4,12,3,7,16,0,12,52,12,15,8,84,4,1,10,13,0,485
edmond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,463
thérèse,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,0,0,0,0,0,0,0,37,0,0,237,0,5,0,0,0,0,0,412
duclos,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,281,0,0,0,0,0,0,0,0,0,0,408
paul,0,0,0,0,0,0,205,178,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,1,2,0,0,10,0,1,0,0,0,0,0,0,0,405
