filename	au-name	au-birth	au-death	title	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	vols_count	size	bgrf	author_wikidata	author_MiMoText-ID	title_wikidata	title_MiMoText-ID	lang	publisher	distributor	distribution_date	copyright_status	digitalSource_Title	digitalSource_Ref	digitalSource_Publisher	digitalSource_Date	printSource_title	printSource_author	printSource_pubPlace	printSource_publisher	printSource_date	resp_datacapture	resp_encoding
Abbes_Voyage	Guillaume d'Abbes de Cabreroles	1718	1802	Voyage dans les espaces	M	1758	1758	autodiegetic	historical	double keying	5601	1	short	58.5	Q3120241	Q43	Q123012186	Q1019	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Voyage dans les espaces , par d'Abbes de Cabreroles	https://gallica.bnf.fr/ark:/12148/bpt6k1025108x	Bibliothèque nationale de France	2013	Voyage dans les espaces , par d'Abbes de Cabreroles	Abbes de Cabreroles	London	unknown	1758	"double keying by ""Jiangsu"", China"	Julia Dudar, Christof Schöch
AndreSerieys_Comte	Jean-François André, Antoine Sérieys	unknown, 1755	unknown, 1819	Le comte d'A*** ou les aventures d'un jeune voyageur sorti de la cour de France en 1789	M	1800	1800	autodiegetic	historical	semi-automatic transcription	68838	2	medium	00.39	0, Q2856749	Q54, Q921	Q123012235	Q1165	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Comte D'A**** Ou Les Aventures D'Un Jeune Voyageur.	https://www.digitale-sammlungen.de/de/view/bsb10089564, https://www.digitale-sammlungen.de/de/view/bsb10089565	Bayerische Staatsbibliothek	2008, 2008	Le comte d'A*** ou les aventures d'un jeune voyageur	Jean-François André, Antoine Sérieys	Paris	Monory	1800	Münchener Digitalisierungszentrum	Johanna Konstanciak
Anonym_Enfant	Anonymous	unknown	unknown	L'enfant du bordel	U	1800	1800	autodiegetic	modern	semi-automatic transcription	31195	2	short	00.16	Q4233718	NA	Q123246161	Q1148	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	L’Enfant du bordel	https://fr.wikisource.org/wiki/L%E2%80%99Enfant_du_bordel	Wikisource	2019	L'Enfant du bordel	anonymous (attribué à Pigault-Lebrun)	Paris	unknown	1800	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Anonym_Histoire	Anonymous	unknown	unknown	Histoire d'un peuple nouveau	U	1757	1757	heterodiegetic	historical	semi-automatic transcription	42919	2	short	57.1	Q4233718	NA	Q123246162	Q1367	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	"Histoire d'un peuple nouveau ou Découverte d'une isle à 43 degrés 14                        minutes de latitude méridionale par David Tompson, capitaine du vaisseau le                        ""Boston"", à son retour de Chine en 1756...."	https://gallica.bnf.fr/ark:/12148/bpt6k6448r, https://gallica.bnf.fr/ark:/12148/bpt6k11604f	Bibliothèque national de France	2014, 2014	Histoire d'un peuple nouveau	anonymous	Londres	aux dépens d'une société de libraires	1757	gallica	Johanna Konstanciak
Anonym_Suzon	Anonymous	unknown	unknown	Mémoires de Suzon, soeur de Dom Bougre	U	1778	1778	autodiegetic	modern	semi-automatic transcription	29294	1	short	83.9	Q4233718	NA	Q123246163	Q1061	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Mémoires de Suzon sœur de D. B., éd. 1778	https://fr.wikisource.org/wiki/M%C3%A9moires_de_Suzon_s%C5%93ur_de_D._B.,_%C3%A9d._1778	Wikisource	2021	Mémoires de Suzon sœur de D. B., éd. 1778	anonymous	London	unknown	1778	Wikisource contributors	Julia Dudar
Anonyme_Venus	Anonymous	unknown	unknown	Vénus en rut ou Vie d'une célèbre libertine	U	1770	1880	autodiegetic	modern	semi-automatic transcription	41766	2	short	70.18	Q4233718	NA	Q123246165	Q1723	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Vénus en rut ou Vie d’une célèbre libertine	https://fr.wikisource.org/wiki/V%C3%A9nus_en_rut	Wikisource	2019	Vénus en rut ou Vie d'une célèbre libertine	anonymous	Interlaken (Bruxelles)	chez William Tell	1880	Wikisource contributors	Henning Gebhard, Johanna Konstanciak
Anonyme_Zoloe	Anonymous	unknown	unknown	Zoloé et ses deux acolythes	U	1800	1800	heterodiegetic	modern	semi-automatic transcription	18089	1	short	00.37	Q4233718	NA	Q123246166	Q1009	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Zoloé et ses deux acolythes	https://fr.wikisource.org/wiki/Zolo%C3%A9_et_ses_deux_acolythes	Wikisource	2019	Zoloé et ses deux acolythes, ou Quelques décades de la vie de trois                        jolies femmes ; Histoire véritable du siècle dernier : Par un contemporain.	anonymous	Paris	De l'imprimerie de l'auteur	1800	Wikisource contributors	Amelie Probst
Arnaud_Adelson	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Adelson et Salvini, anecdote anglaise	M	1772	1773	heterodiegetic	historical	semi-automatic transcription	26438	1	short	72.10	Q548610	Q68	Q123072732	Q1791	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2020	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Anne	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Anne Bell, histoire anglaise	M	1769	1773	heterodiegetic	modern	semi-automatic transcription	18699	1	short	69.12	Q548610	Q68	Q123070523	Q1674	fr	https://mimotext.uni-trier.de	https://github.com/MiMoText/roman18	2021	https://creativecommons.org/publicdomain/zero/1.0/deed.en	LesSacrificesDeLAmour	https://txtlab.org/2016/01/txtlab450-a-data-set-of-multilingual-novels-for-teaching-and-research/	txtlab	2016	Épreuves du sentiment	François-Thomas-Marie de Baculard d'Arnaud	Paris	Le Jay	1773	unknown	Amelie Probst
Arnaud_Bal	François-Thomas-Marie de Baculard d'Arnaud	1718	1805	Le Bal de Venise	M	1751	1751	homodiegetic	historical	semi-automatic transcription	17326	1	medium	51.9	Q548610	Q68	Q123068141	Q1241	fr	https://mimotext.uni-trier.de	https://github.com/mimotext/roman18	2022	https://creativecommons.org/publicdomain/zero/1.0/deed.en	Le Bal de Venise: Nouvelle historique	https://books.google.de/books?id=6bM5AAAAcAAJ	Google Books	2009	Le Bal de Venise: Nouvelle historique	François-Thomas-Marie de Baculard d'Arnaud	Avignon	Girard	1751	google books	Johanna Konstanciak
