id,author,gender,year,decade,narration
Abbes_Voyage,Abbes,male,1758,1750s,nan
Anonym_Suzon,Anonym,nan,nan,nan,nan
Beauharnais_Lettres,Beauharnais,female,1778,1770s,nan
Beaumont_Clarice,Beaumont,female,1766,1760s,epistolary
Benoist_Elisabeth3,Benoist,female,1766,1760s,nan
Benouville_Pensees,Benouville,female,1758,1750s,nan
Bernardin_Paul,Bernardin,male,1788,1780s,heterodiegetic
Constant_Laure1,Constant,male,1787,1780s,nan
Constant_Laure2,Constant,male,1787,1780s,nan
Diderot_Bijoux[1],Diderot,male,nan,nan,nan
Diderot_Jacques,Diderot,male,1780,1780s,dialoge novel
Diderot_Neveu,Diderot,male,1762,1760s,
Diderot_Religieuse,Diderot,male,1782,1780s,autodiegetic
Diderot_Supplement[1],Diderot,male,nan,nan,nan
Doppet_Memoires,Doppet,male,1786,1780s,nan
Duclos_Acajou,Duclos,male,nan,nan,nan
Ducray_Cinquante1,Ducray,male,1798,1790s,nan
Dulaurens_Imirce,Dulaurens,male,1765,1760s,autodiegetic
Duras_Edouard,Duras,female,nan,nan,nan
Duras_Ourika,Duras,female,nan,nan,nan
Florian_Estelle,Florian,male,1788,1780s,nan
Florian_Galatee,Florian,male,1783,1780s,nan
Fourqueux_Zely,Fourqueux,female,nan,nan,nan
Gorjy_Voyage,Gorjy,male,1791,1790s,nan
Jacquant_Lettres,Jacquant,male,1758,1750s,nan
Jacquin_Parisiennes2,Jacquin,male,1758,1750s,nan
Kimber_Thompson1,Kimber,male,1762,1760s,nan
Kimber_Thompson2,Kimber,male,1762,1760s,nan
LaPlace_Collection,LaPlace,male,1788,1780s,nan
LaPlace_Lydia,LaPlace,male,1772,1770s,nan
Laclos_Liaisons,Laclos,male,1782,1780s,epistolary
Lagrave_Sophie1,Lagrave,female,1798,1780s,nan
Lagrave_Zabeth1,Lagrave,female,1798,1780s,nan
Leonard_Lettres1,Leonard,male,1783,1780s,epistolary
Lesage_Histoire[1],Lesage,male,nan,nan,nan
Lesuire_Aventurier1,Lesuire,male,1782,1780s,autodiegetic
Lesuire_Crime1,Lesuire,male,1789,1780s,epistolary
Loaisel_Comtesse,Loaisel,male,1779,1770s,nan
Loaisel_Lucile,Loaisel,male,1794,1790s,nan
Maistre_Voyage,Maistre,male,1794,1790s,nan
Meissner_Histoire1,Meissner,male,1790,1790s,heterodiegetic
Merard_Bergeries,Merard,female,1784,1780s,mixed
Mercier_An,Mercier,male,1771,1770s,autodiegetic
Mirabeau_Conversion,Mirabeau,male,1783,1780s,autodiegetic
Morelly_Naufrage1,Morelly,male,1753,1750s,heterodiegetic
Morelly_Naufrage2,Morelly,male,1753,1750s,heterodiegetic
Nerciat_Aphrodites,Nerciat,male,1764,1760s,nan
Nerciat_Felicia,Nerciat,male,1775,1770s,mixed
Popeliniere_Daira1,Popeliniere,male,1761,1760s,nan
Popeliniere_Daira2,Popeliniere,male,1761,1760s,nan
Puget_Periphas1,Puget,male,1761,1760s,nan
Puget_Periphas2,Puget,male,1761,1760s,nan
Retif_AntiJustine,Retif,male,1798,1790s,autodiegetic
Retif_Paysanne,Retif,male,1784,1780s,epistolary
Reveroni_Pauliska,Reveroni,male,1798,1790s,autodiegetic
Rousseau_Emile1,Rousseau,male,1762,1760s,nan
Rousseau_Emile2,Rousseau,male,1762,1760s,nan
Rousseau_Julie,Rousseau,male,1761,1760s,epistolary
Sacy_Amours,Sacy,male,1761,1760s,heterodiegetic
Sade_Aline,Sade,male,1795,1790s,epistolary
Sade_120,Sade,male,1785,1780s,heterodiegetic
Sade_Infortunes,Sade,male,nan,nan,nan
Sade_Justine,Sade,male,1791,1790s,heterodiegetic
Sade_Philosophie,Sade,male,1795,1790s,nan
Senac_Emigre,Senac,male,1797,1760s,epistolary
Tiphaigne_Galligenes1,Tiphaigne,male,1765,1760s,heterodiegetic
Tiphaigne_Galligenes2,Tiphaigne,male,1765,1760s,nan
Voltaire_Candide,Voltaire,male,1759,1750s,nan
Voltaire_Homme,Voltaire,male,1768,1760s,nan
Voltaire_Princesse,Voltaire,male,1768,1760s,nan
