,Merard_Bergeries,Lesuire_Crime1,Ducray_Cinquante1,Constant_Laure2,Loaisel_Lucile,Kimber_Thompson2,LaPlace_Lydia,Puget_Periphas_1,Florian_Estelle,Morelly_Naufrage2,Kimber_Thompson,Puget_Periphas_2,Fourqueux_Zély,Beauharnais_Lettres,Florian_Galatée,Jacquant_Lettres,Benouville_Pensees,Gorjy_Voyage,Abbes_Voyage,Leonard_Lettres1,Popeliniere_Daira_2,Benoist_Elisabeth3,Lagrave_Sophie1,Sacy_Amours,Lagrave_Zabeth1,Tiphaigne_Galligenes_1,Constant_Laure,Beaumont_Clarice,Jacquin_Parisiennes2,Popeliniere_Daira_1,Lesuire_Aventurier1,Morelly_Naufrage,Meissner_Histoire1,Doppet_Memoires,Loaisel_Comtesse,LaPlace_Collection,Tiphaigne_Galligenes_2,sum
pere,0,0,0,0,0,89,8,16,0,32,100,15,6,103,27,40,11,0,0,55,66,11,0,0,0,16,0,13,7,133,69,41,34,52,93,4,4,1045
j'avois,5,40,0,32,5,51,41,10,4,3,65,2,0,12,10,69,17,0,1,35,19,5,0,0,13,1,35,0,35,43,73,5,2,56,5,221,1,916
tems,0,0,51,29,31,83,0,18,41,34,102,18,28,18,0,0,0,19,5,0,0,0,1,3,68,30,21,0,0,2,0,41,36,43,33,0,37,792
j'étois,6,44,0,20,0,55,42,2,9,6,36,0,0,16,18,53,7,0,5,47,18,16,0,1,18,0,26,1,21,46,69,6,2,33,0,117,0,740
étoient,6,21,0,26,6,35,18,30,23,42,31,24,0,10,29,21,10,0,11,16,9,6,0,5,40,21,24,2,11,23,17,43,12,25,6,72,15,690
seroit,7,18,0,23,12,22,4,19,11,15,13,6,0,54,9,21,28,0,3,17,7,48,0,4,25,10,17,1,14,14,12,19,28,15,12,67,5,580
sentimens,0,4,8,29,11,28,27,2,6,23,9,4,15,32,0,52,16,1,3,18,3,1,21,0,3,5,20,0,33,14,6,14,7,7,11,104,5,542
pouvoit,5,7,0,15,12,17,19,5,21,9,17,10,0,17,11,17,5,0,0,15,7,2,0,1,47,7,15,1,16,21,20,11,11,13,12,85,9,480
chere,14,0,0,0,0,47,2,1,0,19,0,1,0,34,7,0,0,0,1,38,14,106,0,0,0,0,0,8,5,23,67,20,14,14,5,0,2,442
mere,8,0,0,0,0,41,1,7,0,15,29,6,1,21,21,20,13,0,0,65,9,10,0,0,0,7,0,7,23,11,15,28,5,16,9,0,1,389
disoit,7,15,0,20,32,10,5,3,6,3,9,3,0,7,7,6,8,0,2,12,4,4,0,1,18,11,6,0,7,8,21,12,0,12,32,41,6,338
devoit,0,14,0,11,10,12,1,4,10,3,12,4,0,13,11,10,7,0,0,1,8,5,0,1,13,7,10,4,4,14,18,2,5,13,10,68,3,308
enfans,0,7,37,1,3,9,1,17,14,9,13,12,0,1,0,3,3,2,0,12,8,0,5,0,11,44,8,0,1,12,2,32,3,6,3,14,10,303
connoître,5,6,0,13,6,5,9,4,2,20,11,4,0,16,7,18,7,1,1,6,10,9,0,4,5,3,18,1,6,31,6,13,5,5,6,36,2,301
venoit,4,6,0,12,11,12,3,0,6,7,10,9,0,16,10,17,2,0,1,6,4,2,0,2,23,4,7,1,12,7,12,9,3,12,11,47,3,291
periphas,0,0,0,0,0,0,0,91,0,0,0,195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286
mr,0,0,0,197,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,1,0,0,0,275
pourroit,2,7,0,6,1,10,11,14,3,10,8,8,1,17,2,7,10,0,1,4,2,13,0,0,8,4,13,0,11,7,13,5,22,5,1,38,6,270
loix,6,2,0,1,3,1,5,16,0,44,1,11,3,5,0,0,14,1,0,15,5,3,0,1,0,38,1,0,2,9,1,21,2,8,5,13,21,258
déja,10,0,0,0,6,0,12,5,9,16,1,0,9,1,17,1,13,0,3,9,0,7,0,26,2,1,0,0,0,20,5,28,10,1,29,5,5,251
reconnoissance,8,2,0,1,1,13,8,4,9,15,9,5,3,18,8,18,6,0,0,2,4,2,0,0,1,7,4,0,20,8,11,14,0,7,1,39,2,250
laqu,0,4,10,0,5,0,0,6,7,20,9,2,0,0,0,37,0,9,0,0,3,0,0,0,21,6,13,0,14,9,12,12,0,0,0,48,2,249
cécile,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,246
zabeth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0,0,0,0,0,0,238
grace,9,23,5,0,2,7,6,2,15,2,5,2,2,8,1,12,7,9,3,15,5,0,6,1,10,1,0,0,10,9,23,8,8,5,2,12,2,237
stéphanie,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236
vouloit,4,15,0,14,5,9,0,1,7,3,6,6,0,6,7,4,8,0,0,1,6,6,0,0,27,3,6,0,3,12,21,6,5,11,5,22,3,232
pouvois,3,11,0,8,1,12,9,0,3,0,8,0,0,6,6,18,5,1,1,7,4,9,0,1,4,1,10,0,8,11,18,4,2,18,1,33,0,223
paroît,4,24,0,10,6,4,1,4,4,12,3,2,0,15,4,3,18,0,2,3,4,14,0,5,3,2,11,0,11,6,10,6,5,5,6,11,3,221
lucile,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,219
j'aurois,2,8,0,17,3,8,8,2,0,2,6,4,0,8,5,12,17,0,0,9,3,8,0,0,5,1,12,0,13,7,4,3,3,9,3,34,2,218
n'avois,1,11,0,21,0,13,5,1,1,0,15,0,0,6,3,13,8,0,0,8,7,3,0,0,1,0,14,0,7,10,23,0,0,7,0,38,0,216
parens,0,14,8,26,2,8,1,2,9,3,24,0,3,3,0,9,1,2,0,2,3,0,3,0,8,7,22,0,5,3,0,13,3,4,2,24,0,214
alloit,0,9,0,15,6,6,7,5,10,1,5,10,0,8,8,1,1,0,1,7,2,3,0,2,15,4,8,0,5,5,18,2,2,6,6,33,1,212
sembloit,1,3,0,7,5,12,6,11,5,1,4,10,0,5,11,10,3,0,1,9,2,8,0,1,1,4,7,0,4,10,19,6,4,7,5,22,5,209
falloit,0,12,0,11,3,9,6,2,4,2,13,5,0,8,9,12,5,0,1,7,4,3,0,0,13,6,6,0,4,5,20,5,1,12,3,16,1,208
foible,3,3,0,5,12,7,3,7,7,14,3,4,0,8,4,3,3,0,0,12,3,8,0,7,17,2,2,1,4,7,5,16,4,4,12,10,2,202
serois,2,15,0,16,4,10,2,0,1,1,3,1,0,12,4,15,7,0,0,10,1,16,0,0,5,0,7,0,6,2,8,6,5,6,4,30,2,201
bianca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,196,0,0,0,0,196
zeinzemin,0,0,0,0,0,0,0,0,0,124,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,0,192
paroissoit,2,14,0,5,4,9,2,1,2,11,6,1,0,3,2,15,2,0,1,6,1,0,0,0,5,0,5,0,7,7,29,10,3,4,4,28,2,191
bonaventuri,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,182,0,0,0,0,182
graces,11,3,0,1,2,5,5,10,3,7,4,8,4,8,0,13,2,2,1,4,9,0,0,12,2,4,0,0,7,19,8,12,4,3,2,4,1,180
premiere,6,0,0,1,0,17,12,10,0,0,16,9,3,11,7,0,5,0,0,8,3,11,0,0,0,6,0,5,0,11,11,2,12,7,4,0,2,179
silvain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,174,0,0,0,0,0,0,0,0,0,0,0,0,175
némorin,0,0,0,0,0,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171
foiblesse,0,1,0,1,14,6,6,2,2,2,2,4,0,4,2,5,7,0,1,13,1,10,0,1,16,3,2,0,3,8,4,5,3,6,14,20,2,170
rougeon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,169
avois,1,7,0,11,0,11,5,0,0,1,10,2,0,3,3,9,2,0,2,6,1,7,0,0,3,0,8,0,4,9,11,2,4,8,0,38,0,168
mouvemens,0,0,2,2,4,8,11,10,2,19,8,14,2,6,0,4,1,2,1,10,2,0,1,3,0,2,0,0,3,10,0,10,2,2,4,20,2,167
mlle,18,5,0,112,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,1,0,0,10,0,1,0,163
fermon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,0,0,0,0,0,0,0,0,0,0,0,161
voudrois,2,10,0,30,2,4,0,2,5,0,2,0,0,5,3,3,6,0,0,17,1,6,0,0,3,1,19,1,2,3,5,5,3,6,2,9,0,157
