,Text in Anonyme_Etourdi,Text in B,Location in Anonyme_Etourdi,Location in B
Arnaud_Matinees_0,"es, je goûterais des plaisirs BIEN AU DESSUS DE TOUT CE QUE j'avais jusques ici éprouvé. ","ue ces mots, à voix basse, à sON AMI:-NON, ASSURÉMENT VOUS ne m'en avez point imposé, et ","(156064, 156093)","(342625, 342654)"
Arnaud_Sentiment_0,"désigner également le plaisir LE PLUS VIF ET LE PLUS VRAI, et la colère la mieux caract","deux cœurs réunis par l'amour LE PLUS VIF ET LE PLUS TENDRE, et que lie encore davantage ","(96333, 96360)","(795750, 795779)"
Beauharnais_Lettres_0,"re, on les croirait confident DE LA VILLE ET DE LA COUR. Rien ne se fait pour eux der","xions qu'au milieu du tumulte DE LA VILLE ET DE LA COUR, j'étais si loin de faire. In","(153855, 153880)","(54981, 55006)"
Beckford_Vathek_0," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(62685, 62716)","(77351, 77382)"
bible_0,"c avidité tous les instans où SON MARI N'ÉTAIT POINT AVEC ELLE, POUR la fixer avec ardeur. Mais da"," dans un champ ; mais Manoah, SON MARI
N’ÉTAIT POINT AVEC ELLE.

10 ET la femme courut vite le rappo","(18951, 18989)","(1054728, 1054768)"
Charriere_Lausanne_0," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE ELLE a mal passé la nuit, et je la","(62685, 62721)","(88751, 88787)"
Constant_Laure1_0,"me pour elles, mais seulement DE LA POLITESSE ET DE L'USAGE DU MONDE. Conclusion : il faut les mép",i se sont ruinés ont toujours DE LA POLITESSE ET DE L'USAGE DU MONDE; on voit à leur air triste et,"(50951, 50989)","(37359, 37397)"
Cottin_Claire_0," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba"," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva","(62685, 62716)","(46177, 46208)"
Crebillon_Atheniennes_0,"nécessaire aux désirs ; Ils n'ONT JAMAIS ÉTÉ POUR MOI QU'UN ENCOURAGEMENT DE PLUS ; QUELQUEFOIS MÊME POUR ME FAIRE UNE PASSION D'UN MOUVEMENT QUI, S'IL N'EÛT PAS ÉTÉ CONTRARIÉ, AURAIT ÉTÉ AUSSI PASSAGER QU'IL ÉTAIT FAIBLE DANS SA NAISSANCE ; IL A SUFFI QU'ON M'EN SUSCITÂT. 
Enfin apercevant que je ne ","oppôser; mais les obstacles n'ONT JAMAIS ÉTÉ POUR MOI QU'UN ENCOURAGEMENT DE PLUS. QUELQUEFOIS MÊME, POUR ME FAIRE UNE PASSION D'UN MOUVEMENT QUI, S'IL N'EÛT PAS ÉTÉ CONTRARIÉ, AURAIT ÉTÉ AUSSI PASSAGER QU'IL ÉTAIT FAIBLE DANS SA NAISSANCE, IL A SUFFI QU'ON M'EN SUSCITÂT. Jamais je n'en ai trouvés do","(152757, 152999)","(219433, 219674)"
Crebillon_Atheniennes_1,"e : et j'ai toujours conservé AUPRÈS DES FEMMES, MÊME AUPRÈS DE CELLES QUI ONT LE plus pris sur moi, assez de s","roid que je conserve toujours AUPRÈS DES FEMMES, MÊME AUPRÈS DE CELLES QUI PRENNENT LE plus sur moi, ne me permêt pa","(178246, 178297)","(219433, 219674)"
