,Text in Beckford_Vathek,Text in B,Location in Beckford_Vathek,Location in B
Anonyme_Etourdi_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(77351, 77382)","(62685, 62716)"
Benouville_Pensees_0,"a tête, répliqua Carathis. Je NE DEMANDE PAS MIEUX QUE DE RENDRE mes hommages à Suleïman le pr"," qu'à le mettre sur la voie, iL NE DEMANDE PAS MIEUX QUE DE FAIre des Prosélites, et l'envie ","(192180, 192214)","(203254, 203287)"
Charriere_Lausanne_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE elle a mal passé la nuit, et ","(77351, 77382)","(88751, 88782)"
Cottin_Claire_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i"," Frédéric éprouve de l'amitié POUR LA PREMIÈRE FOIS DE SA VIE, et doit l'exprimer avec viva","(77351, 77382)","(46177, 46208)"
Crebillon_Conte_0,"ns plutôt que par des femmes, IL PRIT LE PARTI DE NE PLUS tâtonner et de rester tristem","es terreurs qui l'occupaient, IL PRIT LE PARTI DE NE PLUS répondre. La grue n'en parla ","(93669, 93696)","(261537, 261564)"
Genlis_Adele_0,acrifice. Pendant le repas on ENTENDIT DE GRANDS ÉCLATS DE RIRE QUI retentissaient dans l'atmosph,"rtement; avant d'entrer, j'ai ENTENDU DE GRANDS ÉCLATS DE RIRE QUI m'ont un peu rassurée sur l'é","(63023, 63060)","(449101, 449137)"
Genlis_Adele_1,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","t la solitude, me fuyait, et, POUR LA PREMIÈRE FOIS DE SA VIE, paraissait craindre de se tr","(77351, 77382)","(449101, 449137)"
Genlis_Chevaliers_0,"tout est merveilleux et digne DU PLUS GRAND PRINCE DE LA TERRE."" Oh! Tu as parfaitement bien","voir su résister à la passion DU PLUS GRAND PRINCE DE LA TERRE... comment, interrompit Isamb","(16024, 16056)","(556892, 556924)"
Kimber_Thompson_0,"onnettes d'argent, et chargés DE TOUT CE QU'IL Y AVAIT DE MEILLEUR DANS LE pays. Ils présentèrent leurs ","l'York, où nous fumes régalés DE TOUT CE QU'IL Y AVAIT DE MEILLEUR DANS LE vaisseau. Prim le Capitaine C","(165932, 165976)","(563007, 563051)"
Lagrave_Zabeth_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","(77351, 77382)","(46741, 46772)"
Lagrave_Zabeth_1," profonde où elle se trouvait POUR LA PREMIÈRE FOIS DE SA VIE, le calme imposant de la nuit","mais d'autre qu'elle. Zabeth, POUR LA PREMIÈRE FOIS DE SA VIE, rougit, et sentit palpiter s","(111760, 111791)","(46741, 46772)"
Lesuire_Crime_0,"e ce pleureur de Morakanabad, NOUS VERRONS CE QU'IL Y AURA DE MIEUX À FAIRE. 
Vathek ne répondit pas un s","“dant le repas, nous causerons; NOUS “VERRONS CE QU'IL Y AURA DE MIEUX À “FAIre, nous prendrons nos mesures","(42988, 43033)","(792076, 792123)"
Loaisel_Ainsi_0,erçu le calife qu'il dit: ah! JE VOIS BIEN QUE VOUS N'ÊTES PAS brûlé; je m'en doutais.-Que n,"et escalier? Ah! Me dit-elle, JE VOIS BIEN QUE VOUS N'ÊTES PAS au fait; il n'y a que lui qui","(55576, 55608)","(226681, 226713)"
Louvet_Annee_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","(77351, 77382)","(567848, 567879)"
Marmontel_Contes_0,"à merveille. Carathis faisait SEMBLANT DE NE PAS S'EN APERCEVOIR, ET personne n'osait bouger. Lors","lus vive émotion. Sa mère fit SEMBLANT DE NE PAS S'EN APERCEVOIR, ET lui dit:-oh ça, ma fille, c'e","(58621, 58659)","(403770, 403808)"
Mercier_Jezennemours_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","r de l'homme; elle aimait, et POUR LA PREMIÈRE FOIS DE SA VIE: elle voulait donc s'attacher","(77351, 77382)","(75551, 75582)"
Mercier_Jezennemours_1," profonde où elle se trouvait POUR LA PREMIÈRE FOIS DE SA VIE, le calme imposant de la nuit","s mouvement de son cœur, sut, POUR LA PREMIÈRE FOIS DE SA VIE, leur en imposer, parce qu'il","(111760, 111791)","(75551, 75582)"
Nerciat_Aphrodites_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i",s'avise de prendre la chose de TRAVERS; POUR LA PREMIÈRE FOIS de sa vie il vient à s'imagin,"(77351, 77382)","(500530, 500561)"
Nerciat_Etourdi_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(77351, 77382)","(62685, 62716)"
Prevost_Manon_0,upart des gens de Vathek; ils SE REGARDAIENT LES UNS LES AUTRES AVEC effroi. Dès la nuit même pres,", qui en ignoraient la cause, SE REGARDAIENT LES UNS LES AUTRES AVEC autant de frayeur que de surp","(172418, 172456)","(127237, 127275)"
Riccoboni_LettresAdelaide_0,"proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i"," prétend en savoir la raison. POUR LA PREMIÈRE FOIS DE SA VIE elle se tait, elle est impéné","(77351, 77382)","(11531, 11562)"
Rousseau_Julie_0," dans le souterrain qui n'est CONNU QUE DE VOUS ET DE MOI, et gagnerons la tour, où, av"," cette épreuve ne soit jamais CONNU QUE DE VOUS, ET DE MOI. Au surplus, ne leur cachez r","(42686, 42713)","(1354730, 1354758)"
Sade_Aline_0,"dant que tout dormait encore, ET, APRÈS LUI AVOIR DONNÉ UN BAISER, elle suivit le bord du lac, "," nous avions cassé la veille, ET APRÈS LUI AVOIR DONNÉ UN BAISER…. Baiser délicieux, dont l’ef","(134877, 134912)","(311884, 311918)"
Sade_Justine_0,"é la tête, répliqua Carathis. JE NE DEMANDE PAS MIEUX QUE DE RENDRE mes hommages à Suleïman le pr","ler, monsieur ? répondis-je ; JE NE DEMANDE PAS MIEUX QUE DE RENDRE ceux que la décence et mon âg","(192177, 192214)","(28904, 28941)"
