,Text in Benouville_Pensees,Text in B,Location in Benouville_Pensees,Location in B
Arnaud_Epoux_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au",faible somme de cent louis: c'EST TOUT CE QUE JE PUIS FAIRE; vous me les rendrez aussitot,"(1115, 1144)","(408980, 409009)"
Arnaud_Matinees_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au","miss, est à quelques pas d'ici AVEC UNE VOITURE TOUTE PRÊTE...-Portez-lui cette lettre...","(1115, 1144)","(293907, 293936)"
Arnaud_Sentiment_0,"ne m'en point offenser, c'est TOUT CE QUE JE PUIS FAIRE POUR le service du Public. Au rest","ut des travailleurs... tenez, TOUT CE QUE JE PUIS FAIRE POUR vous, est de vous faire la ch","(1119, 1149)","(592347, 592377)"
Beaumont_Clarice_0,"prendre comme il nous le donne; CE QU'IL Y A DE SÛR, C'EST QUE PERSONNE ne serait la dupe d'un homme d","e est votre épouse ou prête à LE DEVENIR. NE VOUS ALAR-MEZ POINT, NOUS Dit-il, je ne suis pas le seul ","(84474, 84516)","(303759, 303801)"
Beckford_Vathek_0," qu'à le mettre sur la voie, iL NE DEMANDE PAS MIEUX QUE DE FAIre des Prosélites, et l'envie ","a tête, répliqua Carathis. Je NE DEMANDE PAS MIEUX QUE DE RENDRE mes hommages à Suleïman le pr","(203254, 203287)","(192180, 192214)"
bible_0," qui est tout-à-fait attrayantE POUR CEUX QUI ONT LE CŒUR DROit et vrai: en un mot, il sera","mée pour le juste, et la joie POUR CEUX QUI ONT LE
CŒUR DROIT.

12 Vous justes, réjouissez-","(120088, 120119)","(2350757, 2350788)"
Charriere_Femmes_0,rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES choses que l'on peut corriger,'a rien à lui reprocher; mais IL N'EN EST PAS DE MÊME DES auteurs de sa fortune; et qui,"(12824, 12851)","(121479, 121506)"
Crebillon_Atheniennes_0,le sans me rendre plus heureux; JE NE PUIS NI NE VEUX ÊTre son Sujet. Ainsi il faut do,"uissiez décider mon sort (car JE NE PUIS, NI NE VEUX ÊTRE toujours heureuse ou malheure","(155715, 155741)","(317359, 317386)"
Crebillon_Conte_0,"s discours nous font paraître CE QUE NOUS VOULONS QU'ON NOUS CROIE, mais nos actions nous montre","nt être, nous fassent oublier CE QUE NOUS VOULONS QU'ON NOUS CROIE, je me souvins, malgré mon tr","(5834, 5870)","(479043, 479079)"
Dorat_Malheurs_0,"de l'esprit et du discernement, MAIS CELA NE SUFFIT PAS, IL FAut mettre beaucoup dans la Soc","u'il soit possible de l'être; MAIS CELA NE SUFFIT PAS, IL FAUT être honnête, et ne point acc","(123535, 123567)","(97793, 97825)"
Ducray_Cinquante_0,s été une fort mauvaise Turque; ET JE BÉNIS LE CIEL DE M'AVOir fait naître dans un climat ,"herchée inutilement par-tout, ET JE BÉNIS LE CIEL DE T'AVOIR offerte à mes regards aujourd","(103816, 103846)","(228656, 228686)"
Fievee_Dot_0," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au","chargerai de son trousseau, c'EST TOUT CE QUE JE PUIS FAIRE.-On ne m'avait pas dit ça; ma","(1115, 1144)","(46932, 46961)"
Genlis_Adele_0,"un coup ce même homme hérite dE CINQUANTE MILLE LIVRES DE RENTE, ET QU'on lui donne un Régiment? autr","ment voulez-vous, lorsqu'on a CINQUANTE MILLE LIVRES DE RENTES, ET QU'ON en dépense quatre-vingt, qu'o","(78636, 78677)","(1224183, 1224225)"
Gerard_Comte_0,"rce de leur grandeur. 
J'aime CES PREMIERS TEMPS DE LA RÉPUBLIQUE, TOUT y respire la vertu, on oublie",i prenaient leur origine dans LES PREMIERS TEMPS DE LA RÉPUBLIQUE; TOUT servait à rappeler les événem,"(7996, 8037)","(591658, 591699)"
