,Text in Berquin_Enfants,Text in B,Location in Berquin_Enfants,Location in B
Abbes_Voyage_0," présente la main à Dorothée, QUI SE TROUVE LE PLUS PRÈS DE lui. Robert, d'un ton hargneu", d'un ton assuré à un de ceux QUI SE TROUVA LE PLUS PRÈS DE moi et qui me parut avoir la ,"(183789, 183818)","(1819, 1848)"
Arnaud_Sentiment_0,elle restât à la maison. Elle SE JETA EN PLEURANT DANS LES BRAS de sa mère. Ah! Ma chère mama,"riote? 
Salvini avec vivacité SE JETTE EN PLEURANT DANS LES BRAS du lord:-par-tout, par-tout o","(98743, 98776)","(836679, 836713)"
Benoist_Elisabeth_0,s pu en choisir de meilleurs. JE FERAI TOUT CE QUI SERA EN moi pour m'en faire aimer com,tachercher à moi. Comptez que JE FERAI TOUT CE QUI SERA EN mon pouvoir pour vous rendre ,"(130071, 130099)","(85585, 85613)"
bible_0,ttrape toujours quelqu'un qui NE SE TIENT PAS SUR SES GARDES. Mais quand on n'est que deux,"ayant bien ouï le son du cor, NE SE TIENT PAS SUR SES
GARDES, et qu’ensuite l’épée vienne,","(101729, 101759)","(3217248, 3217278)"
Crebillon_Atheniennes_0,"sieur Charles, une autre fois JE VOUS PRIE DE VOUS ÉPARGNER LA PEINE DE me servir. 
Sophie. Remettons","sité naturelle de vos désirs, JE VOUS PRIE DE VOUS ÉPARGNER LA PEINE DE m'en prescrire une moins mesu","(30136, 30177)","(739524, 739565)"
Diderot_Jacques_0," qu'à veiller dans le ménage, NE FAUT-IL PAS QUE JE SOIS gouverné comme les autres! Au","LA POMMERAYE Eh bien marquis, NE FAUT-IL PAS QUE JE SOIS bien bonne ? Trouvez-moi à Pa","(105290, 105316)","(247240, 247266)"
Fievee_Dot_0,notre santé que de la sienne. JE N'AI PAS ENCORE EU LE TEMPS de m'apercevoir qu'il me manq,"demoiselleDespeaux; pour moi, JE N'AI PAS ENCORE EU LE TEMPS d'y songer. Vous ne refuserez","(126244, 126274)","(88193, 88223)"
Fourqueux_Zely_0,"e vous assure. 
Le Médecin. À LA BONNE HEURE, JE NE VEUX PAS te contraindre; mais je vais "," m'affliger qui vous reste. A LA BONNE-HEURE, JE NE VEUX PAS vous faire violence: soyez pl","(159786, 159816)","(47509, 47539)"
Genlis_Adele_0,"e généreux enfant; il le prit DANS SES BRAS, LE SERRA CONTRE SON cœur, et lui dit: non, mon ch","'Anglures, saisissant Charles DANS SES BRAS, LE SERRA CONTRE SON sein, avec un transport qui m","(161519, 161553)","(435979, 436013)"
Genlis_Chevaliers_0,"itôt chercher le médecin, qui LUI FIT AVALER JE NE SAIS COMBIEN de drogues plus amères les un"," entières auprès de Robin; il LUI FIT AVALER JE NE SAIS COMBIEN d'herbes, et enfin il le guér","(63699, 63732)","(91885, 91918)"
Gerard_Comte_0," ne put en dire davantage: il LEVA LES YEUX VERS LE CIEL, ET se mit à pleurer. Ses enfants","ui, au moindre peril, me fait LEVER LES YEUX VERS LE CIEL, ET invoquer un être tout puissan","(158155, 158185)","(147858, 147889)"
Laclos_Liaisons_0,"bien eu le premier. Maurice. 
CE N'EST PAS QUE JE M'EN SOUCIE beaucoup. Frédéric. 
Oh! Non;","résent il me semble que non : CE N'EST PAS QUE JE M'EN SOUCIE, je vous assure ; mais vous, ","(2225, 2256)","(111951, 111982)"
Lagrave_Zabeth_0,je ne sais combien de drogues PLUS AMÈRES LES UNES QUE LES AUTRES. Le pauvre Henri les trouvait,"plongea dans mille réflexions PLUS AMÈRES LES UNES QUE LES AUTRES. 
Elle compta à ces bons dome","(63744, 63779)","(31061, 31096)"
Lagrave_Zabeth_1,"ver l'homme noir. 
Alors elle SE MIT À CRIER DE TOUTES SES FORCES: au secours! Au secours! 
Son","être. Zabeth, à son approche, SE MIT À CRIER DE TOUTES SES FORCES. Dupuis voulait la faire tair","(89384, 89419)","(31061, 31096)"
Lagrave_Zabeth_2,"n, Priscille, Agathe. Fabien, COURANT SE JETER DANS LES BRAS DE Prosper et de Casimir . 
Ah! ","le fit un cri de joie, et fut POUR SE JETER DANS LES BRAS DE cette digne fille, qui était ","(123750, 123783)","(31061, 31096)"
LaPlace_Collection_0,a le faire mourir de plaisir. JE NE PUIS RESTER PLUS LONG-TEMPS; il faut que je l'aille cherc,souffrez que je vous „quitte; JE NE PUIS RESTER PLUS LONG-TEMPS sans „que Duclos puisse ne pa,"(51635, 51668)","(295592, 295625)"
Lesuire_Aventurier_0,". 
Oui, c'est lui, c'est lui. JE PASSAIS LE SEUIL DE LA PORTE: voilà qu'il s'approche de mo","donnait sur le grand chemin. 
JE PASSAI LE SEUIL DE LA PORTE, pour regarder cette grande r","(43112, 43143)","(964389, 964419)"
Lesuire_Crime_0,"îné. 
Léonor. Mais, Frédéric, JE NE SAIS PAS TROP SI JE dois permettre... Adélaïde. E","e Perlencour. 
MA foi, mon ami, JE NE SAIS PAS TROP SI je pourrai te tenir parole, à ","(192235, 192260)","(505886, 505911)"
Mirabeau_Rideau_0," dans sa chambre en souriant, LA PRIT DANS SES BRAS, ET LUI dit: bonjour, ma chère Fanche",", je l'attirai sur le lit; il LA PRIT DANS SES BRAS ET LA mit à côté de moi; je la trou","(133283, 133312)","(74702, 74729)"
Mirabeau_Rideau_1," lui, je vous prie. 
Son père OUVRIT LA PORTE DE LA CHAMBRE OÙ sa mère était couchée. Il y a", ferma les verrous; elle vint OUVRIR LA PORTE DE LA CHAMBRE OÙ j'étais et fut à celle de l'e,"(133644, 133676)","(74702, 74729)"
Riccoboni_MylordRivers_0,it bientôt oublier les grâces DE SON ESPRIT ET LA BONTÉ DE SON CŒUR. La petite Léonor devint la p,vement d'orgueil. La justesse DE SON ESPRIT ET LA BONTÉ DE SON CŒUR lui firent priser la faveur p,"(95455, 95492)","(125594, 125631)"
Sade_120_0,s créatures ont quelque chose DE PLUS DÉLICAT ET DE PLUS PARFAIT QUE les grandes; que leur vue est,"l fut possible de faire, rien DE PLUS DÉLICAT ET DE PLUS HABILE QUE les cuisinières qu'ils avaien","(14303, 14341)","(151118, 151155)"
