,Text in Charriere_Femmes,Text in B,Location in Charriere_Femmes,Location in B
Arnaud_Epoux_0,"émoin que je l'aime, et que c'EST PARCE QUE JE L'AIME QUE JE l'ai fait pleurer. 
-Nous ven","u? Tout, répond mon épouse; c'EST PARCE QUE JE T'AIME, QUE JE me livre à des alarmes qui em","(55922, 55952)","(149721, 149752)"
Benouville_Pensees_0,'a rien à lui reprocher; mais IL N'EN EST PAS DE MÊME DES auteurs de sa fortune; et qui,rais espérer d'adoucissement. IL N'EN EST PAS DE MÊME DES choses que l'on peut corriger,"(121479, 121506)","(12824, 12851)"
bible_0," glacial. 
On se souvient que CE JOUR-LÀ ÉTAIT UN JOUR DE fête: le temps était fort bea"," lit et se mit à
marcher. Or, CE JOUR-LÀ ÉTAIT UN JOUR DE sabbat.

10 Alors les Juifs d","(29384, 29411)","(3945307, 3945334)"
Cazotte_Diable_0,"e sens jusqu'au fond de l'âme CE QUE VOUS AVEZ FAIT POUR MOI. 
Un jour, elle lui dit: -Il ",us avez même mis des grâces à CE QUE VOUS AVEZ FAIT POUR MOI ; mais comme vous étiez payé ,"(78217, 78247)","(24621, 24651)"
Cazotte_Ollivier_0," ma mère comme par une autre, JE SOIS LE PLUS HEUREUX DE TOUS LES HOMMES. 
-Vous ne m'en paraissez pas","nce: "" Facreddin, lui dit-il, JE SUIS LE PLUS HEUREUX DE TOUS LES HOMMES. J'ai trouvé... mais le temps","(99383, 99425)","(254517, 254559)"
Crebillon_Atheniennes_0, plus aimable! Mais je crains QUE CE NE SOIT AUX DÉPENS DE votre repos. Laissez-moi vous,"de donner tant à la légèreté, QUE CE NE SOIT AUX DÉPENS DE la justesse; et ceux qui save","(58582, 58610)","(614948, 614976)"
Crebillon_Conte_0,"rt prend la plume) Je ne vois DANS CE QUE JE VIENS DE DIRE que trois ou quatre articles,","iquement, répliqua-t-elle; et DANS CE QUE JE VIENS DE DIRE, il n'était nullement questio","(211545, 211573)","(262923, 262951)"
Doppet_Memoires_0,"end la plume) Je ne vois dans CE QUE JE VIENS DE DIRE QUE trois ou quatre articles, à s","us coûta la vie? 
On voit par CE QUE JE VIENS DE DIRE QUE la plus agréable promenade d'","(211550, 211577)","(55830, 55857)"
Dorat_Sacrifices_0,"eur nom. Quant à Voltaire, il NE SE DONNAIT PAS LA PEINE DE se tromper lui-même, il lui s",arts avec un embarras qu'elle NE SE DONNAIT PAS LA PEINE DE cacher; elle semblait implore,"(151379, 151408)","(6865, 6894)"
Genlis_Adele_0,"ni à moi que cela arriverait. CEPENDANT, PERMETTEZ-MOI DE VOUS DIRE QUE l'on pourrait vous chicaner s","vous en ferez un grand homme; CEPENDANT, PERMETTEZ-MOI DE VOUS DIRE QUE j'ai cru remarquer quelques c","(54222, 54263)","(115203, 115244)"
