,Text in Charriere_Lausanne,Text in B,Location in Charriere_Lausanne,Location in B
Anonyme_Etourdi_0,"a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE ELLE a mal passé la nuit, et je la"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE ELLE reçoit et donne mille baisers","(88751, 88787)","(62685, 62721)"
Arnaud_Epoux_0,"'aime par dessus toute chose. CE QUE JE PUIS VOUS DIRE, C'EST QUE la société, qui dispense les ","claireroit sur l'avenir? Tout CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","(70007, 70042)","(93945, 93980)"
Arnaud_Epoux_1,"'établit si bien chezCaliste, QUE JE NE LA TROUVAIS PLUS SEULE avec son nouvel amant. Il fut",souvent Laurence; il est vrai QUE JE NE LA TROUVAIS PLUS SEULE; son père ou sa sœur étaient ,"(208034, 208066)","(93945, 93980)"
Arnaud_Sentiment_0,"ot nous amènent des étrangers DE TOUS LES PAYS, DE TOUS LES ÂGES, de tous les caractères, mais","e de toutes les législations, DE TOUS LES PAYS, DE TOUS LES ÂGES; nous le sçavons: l'humanité ","(24472, 24506)","(1185521, 1185555)"
Beaumont_Clarice_0,sé de faire depuis le premier MOMENT OÙ J'AI EU LE BONHEUR DE VOUS voir. Plus silencieuse que vo,"entiments que vous m'avez inspIRÉS AU MOMENT OÙ J'AI EU LE BONHEUR de vous connaître. 
( Lady Ha","(156923, 156959)","(47940, 47976)"
Beckford_Vathek_0,"a l'air encore tout effrayée. POUR LA PREMIÈRE FOIS DE SA VIE elle a mal passé la nuit, et ","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(88751, 88782)","(77351, 77382)"
bible_0,"rte que vive, elle me raconta CE QUE JE VIENS DE VOUS DIRE.-Mais, maman, disait-elle, co","6 Or, mes frères, j’ai tourné CE QUE JE VIENS DE VOUS DIRE, sur moi et
sur Apollos, à ca","(90357, 90385)","(4251831, 4251859)"
Cazotte_Ollivier_0," ami, votre protecteur, à qui JE DOIS LE BONHEUR DE VOUS CONNAÎTRE, examine et juge avec vous si",heureuse rencontre à laquelle JE DOIS LE BONHEUR DE VOUS CONNAÎTRE; permettez que je reprenne ma,"(210808, 210844)","(58404, 58440)"
Constant_Laure1_0,"ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(141417, 141446)","(40664, 40693)"
Constant_Laure2_0,"ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e"," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(141417, 141446)","(78634, 78663)"
