,Text in Constant_Laure1,Text in B,Location in Constant_Laure1,Location in B
Anonyme_Etourdi_0,i se sont ruinés ont toujours DE LA POLITESSE ET DE L'USAGE DU MONDE; on voit à leur air triste et,"me pour elles, mais seulement DE LA POLITESSE ET DE L'USAGE DU MONDE. Conclusion : il faut les mép","(37359, 37397)","(50951, 50989)"
Arnaud_Epoux_0,"Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(40664, 40693)","(93940, 93969)"
Arnaud_Sentiment_0,"imagination devait y placer. 
JE NE VOUS AI PAS ENCORE DIT le nom de notre héros: il est",d entièrement de vous. Hélas! JE NE VOUS AI PAS ENCORE DIT à quel point je vous adorois.,"(130946, 130974)","(659717, 659745)"
Bernardin_Chaumiere_0," encore il ne m'a fait envie. DITES-MOI, JE VOUS PRIE, DE QUEL homme voudriez-vous être la f","rassure mieux que la science. DITES-MOI, JE VOUS PRIE, DE QUELLE secte vous êtes; car vous n'ê","(190061, 190093)","(32396, 32430)"
Bernardin_Paul_0,"ispositions à la coquetterie, CAR IL M'EST IMPOSSIBLE DE NE PAS y revenir: mais, dites-moi, j",à la haine ou à la fausseté ; CAR IL EST IMPOSSIBLE DE NE PAS haïr les hommes si on les cro,"(107577, 107610)","(178649, 178680)"
bible_0,nous allons toujours heurtant TOUT CE QUI EST AUTOUR DE NOUS. Je me suis donc seulement él,"enant cette multitude mangera
TOUT CE QUI EST AUTOUR DE NOUS, comme le bœuf lèche et brout","(129416, 129446)","(649703, 649733)"
Charriere_Femmes_0,"is que vous êtes loin de moi, JE NE SAIS COMMENT IL SE FAIT que je réfléchis beaucoup; je",avenue pour nous voir passer. JE NE SAIS COMMENT IL SE FIT que le moins malin des hommes,"(12134, 12163)","(115592, 115620)"
Charriere_Lausanne_0,"Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(40664, 40693)","(141417, 141446)"
Constant_Laure2_0,"plus jolie chose du monde, et JE COMPRENDS PAR CE QUE VOUS ME DITES, que vous vous laissez aller "," vous me jugez si sévèrement! JE COMPRENDS, PAR CE QUE VOUS ME DITES, ma chère amie, que le monde ","(28302, 28339)","(41860, 41898)"
Constant_Laure2_1,"Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que"," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(40664, 40693)","(41860, 41898)"
Constant_Laure2_2,"est aussi bien naïvement, que JE VOUS ASSURE QUE JE NE PENSE rien de tout cela: jamais l'i","onjure; quoique je vous parle DE MOI, JE VOUS ASSURE QUE JE ne pense qu'à vous; je suppose","(41192, 41222)","(41860, 41898)"
Crebillon_Atheniennes_0,des consolations. Cachons lui CE QUI VIENT DE SE PASSER ENTRE NOUS; qu'elle ne puisse pas s'en a,il est temps de vous raconter CE QUI VIENT DE SE PASSER ENTRE NOUS dans le conseil. Il y était q,"(95778, 95814)","(836559, 836595)"
Diderot_Jacques_0," des autres, et en conscience IL FAUT QUE JE VOUS DISE TOUT ce que je sais de cette nouve","RQUIS Je n'y puis plus tenir, IL FAUT QUE JE VOUS DISE TOUT. J'ai été vivement frappé de ","(68440, 68469)","(239070, 239099)"
Diderot_Jacques_1,"imagination devait y placer. 
JE NE VOUS AI PAS ENCORE DIT le nom de notre héros: il est"," ? 
--Assurément ; est-ce que JE NE VOUS L'AI PAS ENCORE DIT ? 
-- Non. Elle est bien aima","(130946, 130974)","(239070, 239099)"
