,Text in Crebillon_Conte,Text in B,Location in Crebillon_Conte,Location in B
Abbes_Voyage_0,"ensible, s'il n'eût pas pensé DE LA FAÇON DU MONDE LA PLUS extraordinaire, sur ce mouvem","e discours. Il continua ainsi DE LA FAÇON DU MONDE LA PLUS polie. 
Par ce que vous avez ","(2391, 2419)","(13503, 13531)"
Anonyme_Etourdi_0,"s doute, reprit Schézaddin; l'HOMME DU MONDE QUI AURAIT LE MOINS à perdre, serait désespéré de","e qu'on appelle le moment . L'HOMME DU MONDE QUI AURAIT LE MOINS connu les femmes, l'aurait ég","(266481, 266515)","(169966, 170000)"
Anonym_Suzon_0," cas, ne soit un peu étourdi; ET J'AVOUE, DE BONNE FOI, QUE JE le fus. Ce mouvement fut cepe","ais faire fort attentivement, ET J'AVOUE DE BONNE FOI QUE JE ne pouvais pas deviner son de","(328493, 328525)","(109322, 109352)"
Arnaud_Matinees_0,"es-là, elle n'avait pas aimé; ET IL NE LUI ÉTAIT PAS POSSIBLE DE penser, dans cette occasion, ","as un supplice moins violent : L'IINAGE D'ELISABETH ÉTAIT CONTINuellement devant ses yeux , et","(155523, 155557)","(278153, 278187)"
Arnaud_Matinees_1,"ns une si vive émotion, qu'il AVAIT TOUTES LES PEINES DU MONDE À SE tenir sur ses jambes; et l'oi","éance me défendt-elle d'écrire ? COMME JE LUI AUROIS ENVOYÉ TOUTE MOn âme ! Sinderson, à ces parol","(234886, 234923)","(278153, 278187)"
Arnaud_Sentiment_0,"uite par un si louable motif, ELLE NE METTAIT POINT DE BORNES À SA compassion. était-il donc pos","'état où se trouvait Mélanie; ELLE NE METTAIT POINT DE BORNES À SA douleur, et c'était, peut-êtr","(13796, 13832)","(163848, 163884)"
Arnaud_Sentiment_1,"ustice aux femmes de ma cour. IL Y AVAIT PLUS DE HUIT JOURS QUE MA VENGEANCE était commencée; et, si j'en ",u'elle communique à son fils. IL Y AVAIT PLUS DE HUIT JOURS QUE BENTLEY était éloigné de ces deux cré,"(443991, 444037)","(163848, 163884)"
Arnaud_Sentiment_2,"ta fort long-temps. Il me dit ENCORE, LE PLUS TENDREMENT, ET LE PLUS spirituellement du monde, qu'","eur; souvenez-vous que Clovis EST LE PLUS TENDRE, ET LE PLUS passionné des amants: mais n'","(469171, 469209)","(163848, 163884)"
Beauharnais_Lettres_0,s les expériences que je fis. JE N'AI PAS BESOIN DE VOUS DIRE qu'aucune me réussit; et je c,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE que le secret de Sidley est l","(427017, 427048)","(96636, 96667)"
Beaumont_Clarice_0,"juste de se laisser prévenir? JE NE FINIROIS PAS, SI JE VOULAIS VOUS redire tous les prétextes qui", et puis sa présence fait tout OUBLIER. JE NE FINIROIS PAS SI JE VOulais vous détailler la divers,"(446986, 447024)","(61524, 61561)"
Beckford_Vathek_0,"es terreurs qui l'occupaient, IL PRIT LE PARTI DE NE PLUS répondre. La grue n'en parla ","ns plutôt que par des femmes, IL PRIT LE PARTI DE NE PLUS tâtonner et de rester tristem","(261537, 261564)","(93669, 93696)"
