,Text in Doppet_Memoires,Text in B,Location in Doppet_Memoires,Location in B
Arnaud_Sentiment_0,on père; il lui avait suggeré QU'IL ÉTAIT DE LA PLUS GRANDE IMPORTANCE QUE sa fille s'adonnat sérieuseme, terme d'une année; il ajoûta QU'IL ÉTAIT DE LA PLUS GRANDE IMPORTANCE POUR sa tranquillité et son honneu,"(17816, 17860)","(391151, 391196)"
Benoist_Elisabeth_0,on abjuration dans le dessein DE PASSER LE RESTE DE MES JOURS au fond d'un cloître. La vie ,"e marier, que j'étais réfolue DE PASSER LE RESTE DE MES JOURS auprès de lui, et dans l'état","(42213, 42244)","(376845, 376876)"
Charriere_Femmes_0,"us coûta la vie? 
On voit par CE QUE JE VIENS DE DIRE QUE la plus agréable promenade d'","end la plume) Je ne vois dans CE QUE JE VIENS DE DIRE QUE trois ou quatre articles, à s","(55830, 55857)","(211550, 211577)"
Diderot_Jacques_0," tombeau: elle va vous ouvrir LES REPLIS LES PLUS SECRETS DE SON cœur, mais elle le fera sans ", de près ce qui se passe dans LES REPLIS LES PLUS SECRETS DE SON âme et à ne s'en imposer sur ,"(9407, 9441)","(189685, 189719)"
Genlis_Adele_0,"é vous coûta la vie? 
On voit PAR CE QUE JE VIENS DE DIRE QUE la plus agréable promenade d'","stion, vous devez comprendre, PAR CE QUE JE VIENS DE DIRE, QUE le spectacle de la mort est i","(55826, 55857)","(582712, 582744)"
Genlis_Chevaliers_0,"re maître. 
A ce discours qui FUT UN COUP DE FOUDRE POUR MOI, jugez de quel sentiment fut ","cette confidence. Ce discours FUT UN COUP DE FOUDRE POUR MOI, et dans cet instant me conva","(29834, 29864)","(376597, 376627)"
Kimber_Thompson_0,"enfaits, le citoyen de Geneve TIENT LE PREMIER RANG DANS LA CLASSE des malheureux avec lesquels ","t naturelles. En un mot, elle TIENT LE PREMIER RANG DANS LA LITTÉRATURE, donne à ses usages à ses loi","(11628, 11664)","(702717, 702758)"
Lagrave_Zabeth_0,"e de sang-froid en n'écoutant QUE LE CRI DE SA CONSCIENCE. 
VOUS la reconnaitrez à ce caractèr",larmes: elle lui fit entendre QUE LE CRI DE SA CONSCIENCE COMMENÇAIT à la tourmenter; qu'elle ne p,"(9940, 9974)","(57607, 57645)"
LaPlace_Collection_0,je faisais.... Sans me douter DE CE QUE JE VENAIS DE FAIRE... je fus l'épouse de M. de W," que je me félicitai moi-même DE CE QUE JE VENAIS DE FAIRE. “Le chevalier, „me disais-je","(31311, 31339)","(301799, 301827)"
LaPlace_Collection_1,"orce d'abandonner ma patrie. 
FIN DE LA PREMIÈRE PARTIE. 
MÉMOIRES DE MADAME DE WARENS. SECONDE PAR","t je viens de rendre compte. 
FIN DE LA PREMIÈRE PARTIE. 
MÉMOIRES DE CÉCILE.SECONDE PARTIE. 
Malgr","(40450, 40489)","(301799, 301827)"
Lesuire_Aventurier_0,faisais.... Sans me douter de CE QUE JE VENAIS DE FAIRE... JE fus l'épouse de M. de Warens:,"matin, quand je réfléchis sur CE QUE JE VENAIS DE FAIRE, JE me dis: „que penseroit-on de ","(31314, 31345)","(496800, 496829)"
Marmontel_Incas_0," PARTIE. 
ARrivée à Chambery, MON PREMIER SOIN FUT DE CHERCHER UNE maison assez commode, pour le","'horreur dont il était saisi. SON PREMIER SOIN FUT DE CHERCHER UNE colline, où la terre ne fût j","(83500, 83536)","(198725, 198761)"
Mirabeau_Rideau_0,"quables qui me consument. 
J'éTAIS DANS UN ÉTAT QUE JE NE pouvais comprendre; je m'en p", vif sentiment de plaisir. J'éTAIS DANS UN ÉTAT QUE JE NE concevais pas moi-même. Depui,"(22162, 22189)","(118821, 118848)"
Prevost_Monde_0," dans un genre de détails que JE NE CONNAISSAIS PAS ENCORE. A LA VUE des théâtres, je substituai c", nous alarmer pour elle: mais JE NE CONNAISSAIS PAS ENCORE LA SOURCE des vrais dangers; et je me s,"(67830, 67868)","(456309, 456347)"
Riccoboni_MissJenny_0,"otre tombeau de ses larmes“. 
APRÈS LA MORT DE MON PÈRE, LA maison changea bientôt de fac","ps, et me l'enleva quatre ans APRÈS LA MORT DE MON PÈRE. LA sincère amitié de Ladi Lattim","(36089, 36118)","(320308, 320337)"
Rousseau_Emile_0,"sans l'avoir connue; mon père AVAIT PASSÉ UNE PARTIE DE SA VIE au service, il était peu prop","pas mêler. Le sage Locke, qui AVAIT PASSÉ UNE PARTIE DE SA VIE à l'étude de la médecine, rec","(14839, 14871)","(56321, 56353)"
Rousseau_Emile_1,"humain. 
§ XII. 
Du bonheur. 
LE PLUS HEUREUX EST CELUI QUI SOUFFRE LE MOINS. 
(*) Peu de gens sont conten", mais en différentes mesures. LE PLUS HEUREUX EST CELUI QUI SOUFFRE LE MOINS de peines; le plus misérable ,"(119524, 119570)","(56321, 56353)"
Rousseau_Julie_0,"antôt les détestant, il était SANS CESSE EN CONTRADICTION AVEC LUI-MÊME; desirant aujourd'hui ce qu'i","plus; c’est que chacun se met SANS CESSE EN CONTRADICTION AVEC LUI-MÊME, sans qu’on s’avise de le tro","(101412, 101453)","(431389, 431430)"
Sade_Aline_0,je faisais.... Sans me douter DE CE QUE JE VENAIS DE FAIRE... je fus l'épouse de M. de W,"lors, je me repentis vivement DE CE QUE JE VENAIS DE FAIRE; la mort, sous mille formes, ","(31311, 31339)","(722153, 722181)"
Sade_Justine_0,"ce moment l'objet de ma haine JE NE VOYAIS PLUS EN LUI QU'UN MONSTRE, l'aurois-je haï sans l'affre","ible cœur osait concevoir, et JE NE VOYAIS PLUS EN LUI QU'UN MONSTRE... 
--Tu es la première femme","(29964, 30002)","(151491, 151529)"
Segur_Correspondance_0,"iminel de lese-humanité (*). 
JE SUIS ENCORE PLUS ÉLOIGNÉ DE ME RANGER de l'avis des prétendus philo"," vous êtes; mais, Dieu merci, JE SUIS ENCORE PLUS ÉLOIGNÉ DE L'ESPRIT de prosélytisme, et je trouve","(2118, 2158)","(615699, 615738)"
Voisenon_Histoire_0,"se foi, de l'odieuse conduite DE LA PLUPART DE CEUX QUI AVAIENT FAIT des affaires avec elle. 
Cett",onde. J'examinai les ouvrages DE LA PLUPART DE CEUX QUI AVAIENT EXAMINÉ mes actions; je fus recherché,"(153525, 153563)","(44321, 44362)"
