,Text in Florian_Estelle,Text in B,Location in Florian_Estelle,Location in B
Arnaud_Sentiment_0,"pas évanoui. Raimond accourt, LE PREND DANS SES BRAS, LE RAPPELLE À LA VIE. Le berger ouvre les yeux et ","tendri pour cet infortuné; il LE PREND DANS SES BRAS, LE RAPPELLE À LA VIE; James ouvre les yeux, pousse","(36622, 36666)","(55855, 55899)"
Arnaud_Sentiment_1,"s plus chère que la vie, mais JE MOURRAIS MILLE FOIS, PLUTÔT QUE DE résister au moindre désir de ", éperduement la divine Julie; JE MOURRAIS MILLE FOIS PLUTÔT QUE DE cesser de l'adorer; c'est un ,"(43070, 43107)","(55855, 55899)"
Arnaud_Sentiment_2," pierres posées dans l'eau, à PEU DE DISTANCE LES UNES DES AUTRES, étaient le seul chemin pour ","eurs petits villages situés à PEU DE DISTANCE LES UNS DES AUTRES,Adelson reprend ainsi: je sui","(63410, 63445)","(55855, 55899)"
Benoist_Elisabeth_0,"r même à oublier un sentiment QUI M'EST PLUS CHER QUE LA VIE, je vous tromperois, je me tr"," je sçais que j'asssige celui QUI M'EST PLUS CHER QUE LA VIE.... 
Il faut que la vertu ait","(35452, 35482)","(239278, 239308)"
Bernardin_Chaumiere_0,"eant ses pas vers la Mélouze, APRÈS DIX JOURS DE MARCHE, IL ARRIVA SUR LES BORDS DU faible Galaizon. 
C'était là ","eur raisonnait avec lui-même. APRÈS DIX JOURS DE MARCHE, IL ARRIVA SUR LES BORDS DU golfe du Bengale; il rencontr","(112623, 112676)","(11567, 11620)"
Constant_Laure1_0,ndre le jeune comte d'Assier; ET LA TENDRESSE QU'IL AVAIT POUR MOI est immolée à cette ambition*,mme d'un homme dont le mérite ET LA TENDRESSE QU'IL AVAIT POUR MOI m'ont fait trouver de la douc,"(144104, 144140)","(78488, 78524)"
Constant_Laure2_0,"le fut près de s'évanouir, au RÉCIT DE TOUT CE QUI S'ÉTAIT PASSÉ. Sa rougeur et son silence fu","consoler: alors, elle me fit lE RÉCIT DE TOUT CE QUI S'ÉTAIT PASsé; elle me dit que Mr. de Fla","(181201, 181235)","(108653, 108687)"
Crebillon_Conte_0," en se voyant, se précipitent DANS LES BRAS L'UN DE L'AUTRE; ILS restent long-temps embrassés ","aient déjà entretenus. Serrés DANS LES BRAS L'UN DE L'AUTRE, ILS soupiraient, et mêlaient à l'","(129976, 130010)","(121993, 122027)"
Diderot_Jacques_0,"es deux bergers en se voyant, SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE; ILS restent long-temps embrassés ","teur et courtier d'usure) qui SE PRÉCIPITENT DANS LES BRAS L'UN DE L'AUTRE... « EH c'est vous, monsieur le cheva","(129961, 130010)","(394387, 394439)"
Diderot_Religieuse_0,"s plus chère que la vie, mais JE MOURRAIS MILLE FOIS, PLUTÔT QUE DE résister au moindre désir de ","ut décidé, dans mon cœur, que JE MOURRAIS MILLE FOIS PLUTÔT QUE DE m'y exposer. On pressentit l'","(43070, 43107)","(33472, 33508)"
Dorat_Sacrifices_0,"ueux et sensibles, qui savent IMMOLER AU DEVOIR LA PASSION LA PLUS ARDENTE, et trouvent ensuite la récom","le reste de la vie. Vous avez IMMOLÉ AU DEVOIR LA PASSION LA PLUS TENDRE, et l'orgueil de cette victoi","(16286, 16330)","(350415, 350457)"
Ducray_Cinquante_0,"plutôt que de causer la ruine DE SA FEMME ET DE SA FILLE, en leur faisant savoir son i",onsoler dans la douce société DE SA FEMME ET DE SA FILLE: il méditait de sinistres pro,"(119421, 119447)","(89473, 89499)"
Florian_Galatee_0,"le fidèle Médor. A cette vue, DES LARMES DE JOIE COULENT DE SES YEUX; son cœur palpite avec tant d","au tout ce qu'elle contenait; DES LARMES DE JOIE COULENT DE SES YEUX: et la bergère, embarrassée d","(90242, 90280)","(29651, 29689)"
Genlis_Adele_0,"obéit, vient saluer son père, SE JETTE DANS LES BRAS DE SA mère qu'elle presse fortement","t, Cécile, baignée de pleurs, SE JETA DANS LES BRAS DE SA sœur, et la pressant contre s","(46402, 46430)","(151146, 151173)"
Genlis_Adele_1," l'instruire de ma naissance, JE NE LUI CACHAI PAS QUE JE n'avais plus d'asile, plus d'","i répondis avec franchise, et JE NE LUI CACHAI PAS QUE JE découvrais chaque jour, dans ","(140315, 140342)","(151146, 151173)"
Genlis_Chevaliers_0,"obéit, vient saluer son père, SE JETTE DANS LES BRAS DE SA MÈRE qu'elle presse fortement cont","t fini, le jeune homme courut SE JETER DANS LES BRAS DE SA MÈRE, qu'on avait déposée et attac","(46402, 46435)","(259802, 259835)"
Genlis_Chevaliers_1," de ses jours, lui dit adieu, ET POUR LA PREMIÈRE FOIS DEPUIS SON MALHEUR, Némorin put enfin pleurer. 
","n'était pas dénué de charmes, ET POUR LA PREMIÈRE FOIS DEPUIS SON MALHEUR, il éprouvait une émotion viv","(128212, 128255)","(259802, 259835)"
Kimber_Thompson_0,"l presse Gaston, et lui porte UN COUP SUR LA TÊTE, QUI FAIT chanceler le héros. Gaston re","e temps de répondre, je reçus UN COUP SUR LA TÊTE QUI ME FIT chanceler: je lâchai les rêne","(172777, 172806)","(617352, 617382)"
Laclos_Liaisons_0,"onnu. Je meurs, mon ami; mais JE SUIS BIEN SÛRE QUE JE NE mourrai point dans votre cœur",uvait plus s'en empêcher : or JE SUIS BIEN SÛRE QUE JE NE pourrai pas m'en empêcher plu,"(148805, 148832)","(116111, 116138)"
Lagrave_Sophie_0,"is de revenir à mes idées sur LA CAUSE DU FROID ACCUEIL QUE L'ON FAIT aux pastorales. 
Je pense que",ue je me suis adressé à M. DarCY POUR CONNAÎTRE LA CAUSE DU FROID ACCUEil que l'on a fait à ce cheval,"(3106, 3145)","(145703, 145744)"
Lagrave_Zabeth_0,"obéit, vient saluer son père, SE JETTE DANS LES BRAS DE SA mère qu'elle presse fortement","'un mouvement précipité, vint SE JETER DANS LES BRAS DE SA tante. Enneric s'avance promp","(46402, 46430)","(69949, 69977)"
