,Text in Florian_Galatee,Text in B,Location in Florian_Galatee,Location in B
Anonyme_Etourdi_0,"pé comme d'un coup de foudre, JE PARTIS SUR-LE-CHAMP POUR ALLER M'INFORMER moi-même de tous mes malheurs"," me laisser voir mes devoirs. JE PARTIS SUR LE CHAMP POUR ALLER JOINDRE mon père. 
cherche des yeux, ","(103424, 103468)","(27989, 28030)"
Anonym_Suzon_0,"ous avoue, aimables bergères, QUE JE NE PUS M'EMPÊCHER DE RIRE à ce récit entrecoupé de sang","es, à faire renaître ma joie, QUE JE NE PUS M'EMPÊCHER DE RIRE à quelques-unes de ses folies","(34068, 34100)","(9551, 9583)"
Beauharnais_Lettres_0,". 
Je le serrai dans mes bras EN VERSANT DES LARMES DE JOIE; MAIS je payai bien cher le plaisir"," à Miss Clarence. 
(1) C'est, EN VERSANT DES LARMES DE JOIE, QUE je m'empresse à remettre le c","(63687, 63722)","(58024, 58058)"
bible_0,frais sur des bancs de pierre QUI ÉTAIENT À LA PORTE DE LA MAISON. Le vieux Mœris voulut conter,"te d’éblouissement les hommes QUI ÉTAIENT À LA
PORTE DE LA MAISON, depuis le plus petit jusqu’a","(111363, 111398)","(66841, 66876)"
Constant_Laure1_0, une vaine réconnaissance est TOUT CE QUE JE PUIS VOUS OFFRIR. Vous pouvez nous raconter vo,"Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(61181, 61212)","(40664, 40693)"
Constant_Laure2_0,", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOus dire; il faut bien vous lai","(61177, 61205)","(78630, 78658)"
Cottin_Claire_0,"mpêche de rapporter à ton ami TOUT CE QUI VIENT DE SE PASSER, en mettant le nom de celle q",i-même... Je voulais t'écrire TOUT CE QUI VIENT DE SE PASSER ; mais je ne le puis : ma mai,"(71461, 71491)","(110485, 110515)"
Crebillon_Atheniennes_0," me nommant perfide, ingrate; ET JE CROIS POUVOIR VOUS RÉPONDRE QUE vous ne le reverrez plus. 
Vo","s appellent des ménagements ; ET JE CROIS POUVOIR VOUS RÉPONDRE QUE, si vous avez quelque chôse à","(44892, 44929)","(496795, 496832)"
Crebillon_Nuit_0," la fontaine; son front était APPUYÉ SUR UNE DE SES MAINS, ET de l'autre elle caressait le ","ns un grand fauteuil, la tête APPUYÉE SUR UNE DE SES MAINS, ET tout-à-fait dans l'attitude d","(90975, 91006)","(143402, 143434)"
Diderot_Religieuse_0,t aisé de lire sur mon visage CE QUI SE PASSAIT DANS MON ÂME; MAIS TOUT le monde était occupé de l'ét,osais la regarder. Je ne sais CE QUI SE PASSAIT DANS MON ÂME ; MAIS TOUT à coup je me jetai à ses pied,"(35371, 35412)","(47695, 47737)"
Ducray_Cinquante_0,"coute, on rit tout à la fois: TOUT LE MONDE EST CONTENT, TOUT LE MONDE est heureux; on croirait que ","félicitations réciproques, et TOUT LE MONDE EST CONTENT. 
TOUT LE MONDE!... ai-je pu généraliser ains","(54888, 54928)","(291669, 291710)"
Fievee_Dot_0," déjà. 
Il était aisé de lire SUR MON VISAGE CE QUI SE PASSAIT DANS mon âme; mais tout le monde é","ités, tremblante qu'on ne lût SUR MON VISAGE CE QUI SE PASSAIT DANS le fond de mon âme. J'étais v","(35356, 35393)","(67658, 67695)"
Florian_Estelle_0,"au tout ce qu'elle contenait; DES LARMES DE JOIE COULENT DE SES YEUX: et la bergère, embarrassée d","le fidèle Médor. A cette vue, DES LARMES DE JOIE COULENT DE SES YEUX; son cœur palpite avec tant d","(29651, 29689)","(90242, 90280)"
Fourqueux_Zely_0,", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","“retenez bien mes conseils, c'EST TOUT “CE QUE JE PUIS VOUS laisser. Je vous “ai enlevé d","(61177, 61205)","(14294, 14323)"
