,Text in Gorjy_Voyage,Text in B,Location in Gorjy_Voyage,Location in B
Arnaud_Sentiment_0,"s finissions de goûter, parut UNE JEUNE PERSONNE DE QUINZE OU SEIZE ans, mais qui, au lieu d'avoi",Salvini; il donnait la main à UNE JEUNE PERSONNE DE QUINZE OU SEIZE ans: le peintre reste interdi,"(12958, 12995)","(843097, 843134)"
bible_0,"l'inquiétude.--Moi, Monsieur! EST-CE QUE JE NE SAIS PAS „faire des guêtres“? 
Dès le ","t ce que je dois
souhaiter, c’EST CE QUE JE NE SAIS PAS.

23 Car je suis pressé des d","(39307, 39332)","(4384785, 4384810)"
Cottin_Claire_0,nt le courage et „l'adresse d'EXÉCUTER CE QUE JE VAIS „VOUS PRESCRIRE; je vous réponds „que l'évène,"ns deux jours vous n'avez pas EXÉCUTÉ CE QUE JE VAIS VOUS PRESCRIRE, Claire aura cessé de vous es","(92000, 92039)","(106759, 106796)"
Diderot_Religieuse_0," habit, je me rendis chez lui OÙ JE TROUVAI UNE ASSEMBLÉE ASSEZ NOMBREUSE. Après dîner, le comte me pri","me rendis chez la supérieure, OÙ JE TROUVAI UNE ASSEMBLÉE ASSEZ NOMBREUSE des religieuses les plus jeun","(29850, 29893)","(295824, 295867)"
Duclos_Acajou_0,"mais obtenir la bienveillance NI DES UNS, NI DES AUTRES, ET les qualités les plus rares l", elle ne put lui faire goûter NI DES UNES NI DES AUTRES : ELLE les donna à un Voyageur comme,"(46647, 46676)","(9862, 9894)"
Genlis_Adele_0," du limonadier nous écoutait. SES YEUX SE REMPLIRENT DE LARMES..... „ETRE ainsi abandonnée, “dit-elle! ","ur succéda l'attendrissement, SES YEUX SE REMPLIRENT DE LARMES; ET se tournant vers M D'Aimeri: ","(36808, 36851)","(443347, 443383)"
Genlis_Chevaliers_0,"t une contenance respectueuse QUE JE NE LUI AVAIS JAMAIS VUE; et, m'abordant, en tenant le",da avec une sorte de timidité QUE JE NE LUI AVAIS JAMAIS VUE. J'avais composé mon visage d,"(38886, 38916)","(148023, 148053)"
Mercier_An_0,"iseaux..... Dès que je parus, IL SE FIT UN MOMENT DE SILENCE.... „Vlà c'que c'est, dit la ","es songes légers gracieux ». 
IL SE FIT UN MOMENT DE SILENCE. Le père de famille bénit les","(51873, 51903)","(351127, 351157)"
Mirabeau_Conversion_0,"re cet “embarras, ce silence? AH! JE NE “LE VOIS QUE TROP; tout est perdu! “Ma rivale a","endez donc, mademoiselle ?... AH JE NE LE VOIS QUE TROP, vous me confondez dans la fo","(88398, 88425)","(31292, 31317)"
Montesquieu_Arsace_0," du limonadier nous écoutait. SES YEUX SE REMPLIRENT DE LARMES..... „ETRE ainsi abandonnée, “dit-elle! "," et encore plus d'y répondre. SES YEUX SE REMPLIRENT DE LARMES, ET l'eunuque en fut attendri. So","(36808, 36851)","(2923, 2959)"
Prevost_Manon_0,"hapeau de paille. Elle courut AU DEVANT DE MOI AVEC UN AIR ÉPANOUI, et m'engagea à prendre part ","entendu rentrer, ne fût venue AU-DEVANT DE MOI AVEC UN AIR D'IMPATIENCE et des plaintes de ma lenteur","(11506, 11542)","(190182, 190223)"
Retif_Paysanne_0,rêt..... Ses yeux se levaient DE TEMPS EN TEMPS VERS LE CIEL. . . . . Des larmes venaient ,"remuant les lèvres, et jetant DE TEMPS EN TEMPS VERS LE CIEL ses yeux, d'où coulaient des ","(37908, 37938)","(175486, 175516)"
Rousseau_Emile_0," Monsieur, „de vous déranger. NE VOYEZ-VOUS „PAS QUE C'EST UN homme saoul„? 
“Qu'importe? E","Voisine, gardez-vous-en bien. NE VOYEZ VOUS PAS QUE C'EST UN petit libertin qu'on a chassé","(64557, 64588)","(267405, 267435)"
Sade_120_0,"t ses sujets en père, “vivant DANS LE SEIN DE SA FAMILLE “COMME un simple citoyen, donnant à ","e pensionnaires de qualité ou DANS LE SEIN DE SA FAMILLE, ET d'une famille de distinction ","(24997, 25030)","(71461, 71491)"
Sade_Infortunes_0,rage et „l'adresse d'exécuter CE QUE JE VAIS „VOUS PRESCRIRE; JE vous réponds „que l'évènement,servez surtout rigoureusement CE QUE JE VAIS VOUS PRESCRIRE. AVEZ-vous un ami sûr dans cette au,"(92009, 92043)","(252795, 252830)"
Sade_Philosophie_0,"urais „de l'inquiétude.--Moi, MONSIEUR! EST-CE QUE JE NE SAIS pas „faire des guêtres“? 
Dès","es belles fesses. 
AUGUSTIN : MONSIEUR, EST-CE QUE JE NE POURRIONS pas baiser cette demoiselle q","(39297, 39328)","(165914, 165950)"
Segur_Correspondance_0,"hapeau de paille. Elle courut AU DEVANT DE MOI AVEC UN AIR épanoui, et m'engagea à prend","er dans sa chambre, elle vint AU-DEVANT DE MOI AVEC UN AIR de gaîté extraordinaire, et m","(11506, 11534)","(83544, 83572)"
Souza_Adele_0,"ait sa fille qui lui aidait à FAIRE LES HONNEURS DE SA MAISON. ELLE avait quatorze ans, et, quoiq"," pas voulu danser, pour mieux FAIRE LES HONNEURS DE SA MAISON; ELLE qui avait refusé tous les aut","(7307, 7344)","(172872, 172909)"
