,Text in Lagrave_Zabeth,Text in B,Location in Lagrave_Zabeth,Location in B
Anonyme_Etourdi_0,"t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle "," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(46741, 46772)","(62685, 62716)"
Arnaud_Epoux_0,"t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE la vieille femme chez laquell","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST QUE mes yeux ne s'arrêtaient que ","(285896, 285936)","(93940, 93980)"
Arnaud_Epoux_1,"..--Eh! point de remercîmens; JE VOUS L'AI DÉJÀ DIT, JE NE les aime pas. Allons voir ce ","t de peines...mais, monsieur, JE VOUS L'AI DÉJÀ DIT, JE NE me suis point présentée ici d","(313164, 313192)","(93940, 93980)"
Arnaud_Matinees_0,"les croisées de l'appartement DE SON PÈRE ET DE SA MÈRE. Ces lieux, témoins de son en","vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","(30424, 30449)","(3890, 3915)"
Arnaud_Matinees_1,"peu d'inclination. Zabeth fut SE JETER DANS LES BRAS DE SON PÈRE, et l'embrassa tendrement: ce","uple si malheureux se chérissaIT PLUS QUE JAMAIS. .."" .. 
JE TE LE redis souvent, (en se jetant ","(89460, 89494)","(3890, 3915)"
Arnaud_Matinees_2," et tomba age-{??}ouillée, en LA COUVRANT DE BAISERS ET DE LARMES. Mademoiselle de Fermon pouss"," se débattant, en quelque sortE, CONTRE LA MORT !-MA FILLE! (EN Se précipitant sur elle, et la ","(199141, 199176)","(3890, 3915)"
Arnaud_Sentiment_0,"peu d'inclination. Zabeth fut SE JETER DANS LES BRAS DE SON PÈRE, et l'embrassa tendrement: ce",nte: elle fait un effort pour SE JETER DANS LES BRAS DE SON PÈRE; elle s'écrie: eh bien! Mon p,"(89460, 89494)","(62552, 62586)"
Arnaud_Sentiment_1,"e. Zabeth soupira, et se jeta DANS LES BRAS DE SON PÈRE, QUI éprouva, dans ce moment, un b","peut dire davantage, et tombe DANS LES BRAS DE SON PÈRE QUI était resté immobile d'étonne","(211713, 211743)","(62552, 62586)"
Arnaud_Sentiment_2,e..... Je ne puis rendre tout CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"(349756, 349785)","(62552, 62586)"
Arnaud_Sentiment_3,"orbleu! et tant qu'il coulera UNE GOUTTE DE SANG DANS LES VEINES du père et du fils, elle serv"," mon père... tant que j'aurai UNE GOUTTE DE SANG DANS LES VEINES, réplique Daumal en élevant l","(352064, 352098)","(62552, 62586)"
Arnaud_Sentiment_4,"s seuls que je puisse suivre. IL FAUT QUE JE LA VOIE, QUE JE me jette à ses pieds, et que ","se relève de cet accablement:-IL FAUT QUE JE LA VOIE, QUE JE voie Batilde; Edmond, conduis","(360626, 360656)","(62552, 62586)"
Beauharnais_Lettres_0,elle de Fermon à son château. LA PLUS GRANDE PARTIE DE SA FORTUNE venait de sa femme; et il éta,"i en faisait perdre le prix. 
LA PLUS GRANDE PARTIE DE SA FORTUNE était déjà dissipée, et l'aut","(4326, 4361)","(11675, 11710)"
Beckford_Vathek_0,"t de rire général: la Dupuis, POUR LA PREMIÈRE FOIS DE SA VIE, se trouva déconcertée. Elle ","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(46741, 46772)","(77351, 77382)"
Beckford_Vathek_1,"mais d'autre qu'elle. Zabeth, POUR LA PREMIÈRE FOIS DE SA VIE, rougit, et sentit palpiter s"," profonde où elle se trouvait POUR LA PREMIÈRE FOIS DE SA VIE, le calme imposant de la nuit","(128668, 128699)","(77351, 77382)"
Benoist_Elisabeth_0," mère, patience et constance. VOUS NE VOUDRIEZ PAS FAIRE LE MALHEUR d'une fille aimable qui mérit"," puis le promettre, vous même VOUS NE VOUDRIEZ PAS FAIRE LE MALHEUR de ma vie, en me forçant d'ép","(168045, 168082)","(194468, 194505)"
Benoist_Elisabeth_1,", vont être punis. L'une sera ENFERMÉE POUR LE RESTE DE SES JOURS, et l'autre va partir pour le","ui protestoit qu'il le ferait ENFERMER POUR LE RESTE DE SES JOURS. 
Le chevalier effrayé que l'","(290566, 290601)","(194468, 194505)"
Benoist_Elisabeth_2,tourne..... Je ne puis rendre TOUT CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","(349751, 349785)","(194468, 194505)"
Benouville_Pensees_0,"frais et touffus, offraient à-LA-FOIS LES PLAISIRS DE LA SOCIÉTÉ et des promenades agréables. ","des, qui veulent avoir tout à LA FOIS LES PLAISIRS DE LA VOLUPTÉ, et la gloire de la vertu, se","(142089, 142123)","(6059, 6093)"
Benouville_Pensees_1,"ur cette dernière demeure{?K} QUI NOUS MET À L'ABRI DE TOUS LES maux .... Les hommes, avec in","l n'y a donc que l'indifférencE QUI NOUS METTE À L'ABRI DE TOUS Ces maux, pourquoi la regarder ","(154248, 154281)","(6059, 6093)"
Benouville_Pensees_2,"alheur d'une fille charmante. JE NE PUIS, NI NE VEUX ÊTRE plus long-temps témoin des od",le sans me rendre plus heureux; JE NE PUIS NI NE VEUX ÊTre son Sujet. Ainsi il faut do,"(242196, 242223)","(6059, 6093)"
Bernardin_Chaumiere_0,"peine avait-il parlé, que des CRIS DE JOIE SE FIRENT ENTENDRE DE tous les côtés. Tous les pays","ais ces réflexions, de grands CRIS DE JOIE SE FIRENT ENTENDRE DANS toute la place, et je vis pas","(298223, 298257)","(50562, 50598)"
Bernardin_Paul_0,e ce que la santé de sa tante NE LUI PERMETTAIT PAS DE FAIRE UN voyage qui lui aurait été bie,"r en France ; ou, si sa santé NE LUI PERMETTAIT PAS DE FAIRE UN si long voyage, elle lui enjo","(125697, 125730)","(223139, 223172)"
Berquin_Enfants_0,"plongea dans mille réflexions PLUS AMÈRES LES UNES QUE LES AUTRES. 
Elle compta à ces bons dome",je ne sais combien de drogues PLUS AMÈRES LES UNES QUE LES AUTRES. Le pauvre Henri les trouvait,"(31061, 31096)","(63744, 63779)"
Berquin_Enfants_1,"nseils de sa mère, de façon à SE FAIRE AIMER DE TOUT LE MONDE. Mais le moment où elle se li","'avait d'autre plaisir que de SE FAIRE AIMER DE TOUT LE MONDE. 
Vraiment oui, en me tournan","(66243, 66274)","(63744, 63779)"
