,Text in Louvet_Annee,Text in B,Location in Louvet_Annee,Location in B
Anonyme_Etourdi_0,"ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n"," parler, sa voix s'éteint. Et POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(567848, 567879)","(62685, 62716)"
Arnaud_Epoux_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, C'EST qu'hier au soir, vous sortiez","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST que mes yeux ne s'arrêtaient ","(144267, 144303)","(93940, 93976)"
Arnaud_Epoux_1,iens; je jure que je verserai JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG pour chasser de la Pologne de,"es larmes: je voudrais donner JUSQU'À LA DERNIÈRE GOUTTE DE MON SANG, ma vie, et racheter votre bo","(323944, 323982)","(93940, 93976)"
Arnaud_Matinees_0,urs. Elle m'avait quitté pour SE JETER DANS LES BRAS DE SON père; le cruel vit ma douleur,"uple si malheureux se chérissaIT PLUS QUE JAMAIS. .."" .. 
JE te le redis souvent, (en se j","(143277, 143306)","(145198, 145228)"
Arnaud_Matinees_1,"mais quand je leur ai demandé DE VOS NOUVELLES ET DE CELLES DE mademoiselle votre sœur, ils ","eux!-J'implore une seule faveuR DE VOTRE AMITIÉ, JE VOUS ÉCRIRai, et vous me donnerez de vos","(407927, 407959)","(145198, 145228)"
Arnaud_Sentiment_0,toujours. Elle m'avait quitté POUR SE JETER DANS LES BRAS DE SON PÈRE; le cruel vit ma douleur amèr,xpirante: elle fait un effort POUR SE JETER DANS LES BRAS DE SON PÈRE; elle s'écrie: eh bien! Mon p,"(143272, 143311)","(62547, 62586)"
Arnaud_Sentiment_1,"ore comment elle a fait; mais CE QUE JE SAIS BIEN, C'EST QU'ELLE s'est échappée; je n'ai pas e","n'ai jamais vu mon papa; tout CE QUE JE SAIS BIEN, C'EST QUE c'est lui qui nous a tous ren","(160540, 160574)","(62547, 62586)"
Arnaud_Sentiment_2,nce. Ma belle maîtresse avait UNE DE MES MAINS DANS LES SIENNES; l'espiègle soubrette occupa ,"outer. Il continue, en tenant UNE DE MES MAINS DANS LES SIENNES: je voulais m'imposer silence","(195862, 195895)","(62547, 62586)"
Beauharnais_Lettres_0,"u se présente dans mon palais ET DEMANDE À ME PARLER SANS TÉMOINS. DÈS QUE mes gens se sont retirés, il ","dé. Il m'aborda avec mystère, ET DEMANDA À ME PARLER SANS TÉMOINS. DÈS QUE nous fûmes seuls, ses larmes ","(137669, 137713)","(37133, 37177)"
Beaumont_Clarice_0,"Et c'est vous qui la répétez! NE VOUS AI-JE PAS DIT QUE JE ne vous croyais pas? -mais, m","s que du beau côté, et d'oubliER CE QUI POURRAIT DIMINUER La bonne opinion que vous avez ","(37330, 37358)","(344159, 344188)"
Beckford_Vathek_0,"ur! Un jeune parisien, engagé POUR LA PREMIÈRE FOIS DE SA VIE dans une promenade sur mer, n","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(567848, 567879)","(77351, 77382)"
Berquin_Enfants_0,toujours. Elle m'avait quitté POUR SE JETER DANS LES BRAS DE son père; le cruel vit ma dou,"n, Priscille, Agathe. Fabien, COURANT SE JETER DANS LES BRAS DE Prosper et de Casimir . 
Ah! ","(143272, 143302)","(123750, 123783)"
bible_0, vous dois? ...-sans doute; n'EST-CE PAS MOI QUI VOUS AI fait connaître la marquise? I,"uez-le, ne craignez
point ; n’EST-CE PAS MOI QUI VOUS L’AI commandé ? fortifiez-vous et
","(107247, 107273)","(1309012, 1309040)"
Cazotte_Diable_0,"se, Mademoiselle Du Portail a PASSÉ UNE PARTIE DE LA NUIT AU bal, et l'autre partie chez m","e jour ne me forçaient pas de PASSER UNE PARTIE DE LA NUIT AU milieu de la campagne, ou dan","(46520, 46550)","(93201, 93232)"
Charriere_Lausanne_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(144267, 144296)","(141417, 141446)"
Chevrier_Colporteur_0,"s "" ; et la prenant doucement PAR LE BRAS, IL LA FORÇA DE s'asseoir; ensuite il prit ma"," et la prenant assez rudement PAR LE BRAS, IL LA FORÇA DE sortir et d'entrer dans un fi","(100223, 100250)","(51804, 51831)"
Constant_Laure1_0,rochait depuis quelques jours LA VIE TRANQUILLE ET RETIRÉE QUE JE menais: devais-je à mon âge m, fort mal dans le monde. Dans LA VIE TRANQUILLE ET RETIRÉE QUE JE mène depuis le commencement d,"(19057, 19092)","(184885, 184920)"
Constant_Laure2_0,"e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous "," heureux qui se présente, c'esT TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(144267, 144296)","(78634, 78663)"
Cottin_Claire_0,"avez dits en partant! Ingrat! VOUS NE SAVEZ PAS LE MAL QUE VOUS m'avez fait! Revenez à moi, m"," au nom du ciel, laissez-moi, VOUS NE SAVEZ PAS LE MAL QUE VOUS me faites. » Mon mari est ren","(240715, 240748)","(104138, 104171)"
Crebillon_Atheniennes_0,"upe sans doute avec nous? Lui DIT-ELLE, DE L'AIR DU MONDE LE PLUS flatteur.-si cela ne vous emb","er d'émotion, assurément! 
me DIT-ELLE DE L'AIR DU MONDE LE PLUS dédaigneux, il faut convenir ","(82330, 82365)","(292927, 292961)"
