,Text in Marmontel_Belisaire,Text in B,Location in Marmontel_Belisaire,Location in B
Beauharnais_Lettres_0, prince attentif et présent à TOUT CE QUI SE PASSE DANS SON empire. Mais le détail en est,"itude: c'est en lui apprenant TOUT CE QUI SE PASSE DANS SON cœur, que je le forcerai de s","(126057, 126086)","(139962, 139991)"
Beaumont_Clarice_0,"stinien, le premier mouvement DE LA NATURE, DANS LE CŒUR DE la fille de Bélisaire, fut le","irs de mettre fin à celles de MA MÈRE, QUI ME L'INS-PIRE. Qu'est-ce qui s'est opposé aux ","(229966, 229995)","(202278, 202307)"
Crebillon_Atheniennes_0,"ros, cet excès de compassion: JE NE SUIS PEUT-ÊTRE PAS AUSSI malheureux qu'il vous semble.","nserver, qu'à une vanité dont JE NE SUIS, PEUT-ÊTRE, PAS AUSSI susceptible que vous le pense","(59703, 59733)","(389935, 389967)"
Diderot_Neveu_0,"l ne s'ennuie; mais, mon ami, JE NE VOUS AI PAS DIT QUE régner fût un passe-temps. Pe",persécuter un homme de génie. JE NE VOUS AI PAS DIT QUE le génie fût indivisiblement ,"(171848, 171873)","(13484, 13509)"
Diderot_Religieuse_0,"i soit digne de lui. Théodore LUI FIT SIGNE DE SE LEVER, ET lui répondit avec un front de",une et l'autre. La supérieure LUI FIT SIGNE DE SE LEVER ET de se placer où elle voudrait,"(38889, 38918)","(301288, 301316)"
Genlis_Adele_0,"ent pour lui, après la vertu, LE PLUS PRÉCIEUX DE TOUS LES BIENS; que le soin de cette existen","la mort, daignez me conserver LE PLUS PRÉCIEUX DE TOUS LES BIENS! ... Sauvez-moi l'honneur! ..","(175999, 176033)","(1074085, 1074119)"
Genlis_Chevaliers_0,"me à la source de la sagesse, DE LA GLOIRE ET DE LA VERTU. Vous honorez trop ma vieille","ime et fidèle, l'enthousiasme DE LA GLOIRE ET DE LA VERTU, où trouverai-je des modèles ","(54872, 54899)","(1138, 1165)"
Kimber_Thompson_0,"la parole de vos ancêtres, en ATTENDANT QUE VOUS SOYEZ EN ÉTAT DE faire honneur à vos garants. ","prenant ce qui s'est passé, j'ATTENDRAI QUE VOUS SOYEZ EN ÉTAT DE me rendre cet argent. Ce poid","(61015, 61050)","(176790, 176825)"
Laclos_Liaisons_0, l'ingratitude vous attendent PEUT-ÊTRE AU BOUT DE LA CARRIÈRE; mais la gloire y est avec el, destin ; il faut le suivre : PEUT-ÊTRE AU BOUT DE LA CARRIÈRE nous rencontrerons-nous encor,"(67557, 67589)","(20158, 20190)"
Laclos_Liaisons_1,"sin, dit Bélisaire, on dirait QUE VOUS AVEZ PASSÉ VOTRE VIE À LA cour, tant vous en savez le l"," il me suffirait de vous dire QUE VOUS AVEZ PASSÉ VOTRE VIE À LA rendre nécessaire, et que pou","(136812, 136846)","(20158, 20190)"
Marmontel_Contes_0,"mpereur; et ces mots échappés AVEC UN SOUPIR, FURENT SUIVIS D'UN LONG SILENCE. Sa cour essaya, mais envain ","homme; et ces mots, prononcés AVEC UN SOUPIR, FURENT SUIVIS D'UN LONG SILENCE. Vous avez à vous plaindre! R","(86004, 86051)","(324652, 324699)"
Marmontel_Incas_0,"e, il fut surpris d'entendre, LE VOILÀ, C'EST LUI, C'EST LUI-MÊME . Qu'est-ce? Demanda-t-il: c'","rut; les cris redoublèrent: "" LE VOILÀ! C'EST LUI: C'EST LUI-MÊME. Il est libre. Il nous est re","(27442, 27477)","(367491, 367526)"
Nerciat_Aphrodites_0,"et la faiblesse de ses murs n'EST PAS CE QUI M'AFFLIGE LE PLUS. À ROME, les lois qui regnaient au de", mille louis sont bien perdus: CE N'EST PAS CE QUI L'AFFLIGE LE PLUS. Chacun des sept gagnans reçoit,"(115683, 115723)","(269152, 269192)"
Prevost_Monde_0,"l'industrie, fouler aux pieds TOUTES LES LOIS DE LA NATURE ET DE l'équité, et chercher dans la", dans la composition desquels TOUTES LES LOIS DE LA NATURE ET DE la raison sont anéanties.Vous,"(25784, 25818)","(263192, 263226)"
Retif_Paysanne_0,"s, dès le point du jour, ont éTÉ SUR LE SEUIL DE LA PORTE. à la fin nous vous possédons","ar la main. Et dès qu'elle a éTÉ SUR LE SEUIL DE LA PORTE, avec cette grâce que tu lui ","(30495, 30522)","(39545, 39572)"
Retif_Paysanne_1," la séduction. Il ne voit que CE QUI L'APPROCHE; ET TOUT CE QUI l'approche, lui répète sans c",on mari et sur ta santé. Tout CE QUI M'APPROCHE ET TOUT CE QUI a rapport à moi s'en est aper,"(99576, 99609)","(39545, 39572)"
Sade_Aline_0,croît au milieu des douleurs. IL EN EST DE MÊME DE LA vertu. Pour attirer les cœurs,n le nourrit ainsi en détail. IL EN EST DE MÊME DE LA table des chefs et des prêtes,"(87319, 87342)","(449881, 449904)"
Sade_Philosophie_0,"l'industrie, fouler aux pieds TOUTES LES LOIS DE LA NATURE ET de l'équité, et chercher dans","même, puisque cela est contre TOUTES LES LOIS DE LA NATURE, ET que son seul organe doit diri","(25784, 25815)","(253673, 253705)"
Senac_Emigre_0,u'on attribue aux courtisans; IL N'EN EST PAS UN QUI NE soit connu comme s'il était l, bien insensibles ; eh bien ! IL N'EN EST PAS UN QUI NE se fût fait tuer aux pieds du,"(150176, 150201)","(77280, 77305)"
Senac_Emigre_1, Tel est le riche fainéant au SEIN DU LUXE ET DE LA MOLLESSE. Objet continuel des soins et,"rançais diront sans doute qu'aU SEIN DU LUXE ET DE LA MOLLESse, le feu divin de la liberté","(160424, 160454)","(77280, 77305)"
