,Text in Merard_Bergeries,Text in B,Location in Merard_Bergeries,Location in B
Arnaud_Matinees_0,", âme „des cœurs sensibles, c'EST POUR LA „DERNIÈRE FOIS QUE JE viens t'importuner; daigne ne",y a-t-il qualité pareilled celLELÀ ? SONGEZ QUE C'EST POUR LA dernière fois que je vous comm,"(35274, 35307)","(61716, 61748)"
Arnaud_Sentiment_0,"e la bergère. Il veut parler, LA PAROLE MEURT SUR SES LÈVRES; IL en a trop à dire pour pouvoir"," il veut ouvrir la bouche, et LA PAROLE MEURT SUR SES LÈVRES; IL lui était échappé un soupir; ","(12869, 12903)","(509870, 509904)"
Arnaud_Sentiment_1,", âme „des cœurs sensibles, c'EST POUR LA „DERNIÈRE FOIS QUE JE viens t'importuner; daigne ne","ez... que vous me plaignez. C'EST POUR LA DERNIÈRE FOIS QUE JE vous vois, que je vous répète","(35274, 35307)","(509870, 509904)"
Arnaud_Sentiment_2,s quelque chose dans le monde BIEN AU-DESSUS DE CE QUE VOUS vantez avec tant de complaisa, que ce présent serait encore BIEN AU-DESSOUS DE CE QUE VOUS méritez! J'étais le plus heur,"(40806, 40835)","(509870, 509904)"
Benouville_Pensees_0,"Marton; repasse en ton esprit TOUT CE QUE JE VIENS DE TE DIRE. 
marton, seule. 
Ah! pour le", tu dois être déjà convaincu dE TOUT CE QUE JE VIENS DE TE DIre; aussi j'en parle moins pou,"(100828, 100859)","(173729, 173760)"
Charriere_Lausanne_0,"i je ne t'ai pas avoué plutôt CE QUI SE PASSAIT DANS MON CŒUR, c'est que je craignais tes r","z-vous, s'il se peut, madame, CE QUI SE PASSAIT DANS MON CŒUR. À la fin je me mis à ses pie","(95713, 95744)","(185261, 185292)"
Chevrier_Colporteur_0,"z „heureuses, âmes sensibles! LES TRAITS „QUE JE VIENS DE VOUS lancer allumeront la flamme q","e colporteur, que malgré tous LES TRAITS QUE JE VIENS DE VOUS rapporter de cet homme, il y ","(58795, 58827)","(65218, 65249)"
Constant_Laure1_0,"ie! Après t'avoir offensée... IL EST VRAI QUE JE N'AI JAMAIS cessé de t'aimer. L'ambition,", ai un peu froncé le sourcil; IL EST VRAI QUE JE N'AI JAMAIS rien entendu dire sur ma rais,"(13257, 13287)","(15849, 15879)"
Crebillon_Conte_0,son congé. Tu ne croirais pas QUE J'EUS TOUTES LES PEINES DU MONDE à m'en débarrasser; j'avais b,"'autruche, vous concevez bien QUE J'EUS TOUTES LES PEINES DU MONDE à la croire vraie; car, enfin","(23711, 23747)","(323115, 323151)"
Crebillon_Nuit_0,"Marton; repasse en ton esprit TOUT CE QUE JE VIENS DE TE dire. 
marton, seule. 
Ah! po"," propose... 
CIDALISE. 
Après TOUT CE QUE JE VIENS DE VOUS dire, ce serait à moi une ass","(100828, 100854)","(51203, 51231)"
Diderot_Neveu_0,"jour arrive enfin; et Philis, AVANT QUE DE SE RENDRE AU LIEU où s'assemblent ses compagnes"," je glanais un peu là-dessus. AVANT QUE DE SE RENDRE AU LIEU du supplice, il fallait se ch","(31325, 31355)","(105147, 105177)"
Fourqueux_Zely_0,"érir! 
Silvie. 
J'en jure par CE QUE J'AI DE PLUS CHER, PAR mon amour. 
colin. 
Je puis d","r pour “mon Epoux pour sauver CE QUE J'AI “DE PLUS CHER AU monde. 
“Madame, dit Zély, j'","(45302, 45331)","(78546, 78574)"
Genlis_Adele_0," fuir avec moi, j'effectuerai LA PROMESSE QUE JE VOUS AI FAITE. 
m LLE de villebrun. 
Ah! Fr","point oublié, mon cher baron, LA PROMESSE QUE JE VOUS AI FAITE de vous envoyer une descripti","(106127, 106159)","(498382, 498414)"
Genlis_Chevaliers_0,"ssent, un soupir lui échappe; ELLE VEUT PARLER, LA PAROLE EXPIRE SUR SES LÈVRES, ses forces l'abandonnent, el","du jardin: Célanire s'arrête; ELLE VEUT PARLER, LA PAROLE EXPIRE SUR SES LÈVRES: elle lève vers le ciel ses m","(28961, 29010)","(165702, 165751)"
Lagrave_Sophie_0,"i je ne t'ai pas avoué plutôt CE QUI SE PASSAIT DANS MON CŒUR, c'est que je craignais tes r",esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASsait dans mon cœur; il m'en co,"(95713, 95744)","(147099, 147130)"
Lesuire_Crime_0,ngé. Tu ne croirais pas que j'EUS TOUTES LES PEINES DU MONDE À M'EN débarrasser; j'avais beau cha,"e cour est charmante, qu'elle A EU TOUTES LES PEINES DU MONDE À S'en détacher. 
Elle a déjà, aut","(23717, 23754)","(324658, 324694)"
Lesuire_Crime_1,"érir! 
Silvie. 
J'en jure par CE QUE J'AI DE PLUS CHER, PAR mon amour. 
colin. 
Je puis d","s, des auteurs de mes jours, dE CE QUE J'AI DE PLUS CHER au monde; mais par qui, bon Di","(45302, 45331)","(324658, 324694)"
