,Text in Montesquieu_Arsace,Text in B,Location in Montesquieu_Arsace,Location in B
Anonyme_Zoloe_0,"s belle personne de l'Orient. IL N'EN FALLUT PAS DAVANTAGE POUR LE DÉTERMINER à me l'enlever. Une nuit, une"," et les quolibets du public : IL N'EN FALLUT PAS DAVANTAGE POUR LE DÉTERMINER. 
Dès le même jour, dans les ","(45230, 45277)","(49762, 49809)"
bible_0,nérale que nous trouvons dans TOUS CEUX QUI SONT AUTOUR DE NOUS peut rendre plus heureux que ,"ton peuple sont en opprobre à
TOUS CEUX QUI SONT AUTOUR DE NOUS.

17 Ecoute donc maintenant, ","(43247, 43280)","(3356638, 3356671)"
Dulaurens_Imirce_0,s effrayante que mille morts. JE N'AVAIS D'AUTRE PARTI À PRENDRE QUE DE RETOURNER auprès d'elle. Vous serez éto," point, je n'écoutai qu'eux. 
JE N'AVAIS D'AUTRE PARTI À PRENDRE QUE DE RETOURNER à Saint-Quentin. Je passai à ","(27824, 27875)","(213959, 214010)"
Genlis_Adele_0," et encore plus d'y répondre. SES YEUX SE REMPLIRENT DE LARMES, ET l'eunuque en fut attendri. So","ur succéda l'attendrissement, SES YEUX SE REMPLIRENT DE LARMES; ET se tournant vers M D'Aimeri: ","(2923, 2959)","(443347, 443383)"
Gorjy_Voyage_0," et encore plus d'y répondre. SES YEUX SE REMPLIRENT DE LARMES, ET l'eunuque en fut attendri. So"," du limonadier nous écoutait. SES YEUX SE REMPLIRENT DE LARMES..... „ETRE ainsi abandonnée, “dit-elle! ","(2923, 2959)","(36808, 36851)"
Loaisel_Ainsi_0,"ont à peine entendus; ce lieu OÙ RÈGNENT LA TRISTESSE ET LA MAGNIFICENCE, OÙ TOUT ce qui est inanimé est riant,","ité me conduit dans ce palais OÙ RÈGNE LA TRISTESSE ET LA MAGNIFICENCE, OÙ TOUT se meut avec le maître et tou","(8451, 8502)","(50649, 50698)"
Loaisel_Ainsi_1,"e qui a de la vie est sombre, OÙ TOUT SE MEUT AVEC LE MAÎTRE, ET TOUT S'ENGOURDIT AVEC LUI. Je fus présenté le même jour","tristesse et la magnificence, OÙ TOUT SE MEUT AVEC LE MAÎTRE ET TOUT S'ENDORT AVEC LUI, je pense à l'étrange folie d","(8572, 8632)","(50649, 50698)"
Loaisel_Ainsi_2,"délices, on trouve toujours l'IDÉE D'UNE RIVALE; ET LORSQU'ON Y JOUIT DE CE QU'ON AIME, PLUS ON AIME, et plus on est alarmé. Mais ","n ne trouve pas quelquefois l'IDÉE D'UN RIVAL, ET LORSQU'ON Y JOUIT DE CE QU'ON AIME, PLUS ON AIME, plus on est alarmé. Ici je n","(15633, 15703)","(50649, 50698)"
Loaisel_Ainsi_3,"ucune défiance; le cœur était ASSURÉ DU CŒUR. IL SEMBLE QU'UN TEL AMOUR DONNE UN AIR RIANT À TOUT CE QUI NOUS ENTOURE; ET QUE, PARCE QU'UN OBJET NOUS PLAÎT, IL ORDONNE À TOUTE LA NATURE DE NOUS PLAIRE; IL SEMBLE QU'UN TEL AMOUR SOIT CETTE ENFANCE AIMABLE, DEVANT QUI TOUT SE JOUE, ET QUI SOURIT TOUJOURS. Je sens une espèce de douceu"," aucune défiance; le cœur est ASSURÉ DU CŒUR. IL SEMBLE QU'UN TEL AMOUR AIT UNE SORTE D'INFLUENCE CHARMANTE SUR TOUT CE QUI NOUS ENTOURE, ET QUE PARCE QU'UN OBJET NOUS PLAÎT, IL ORDONNE À TOUTE LA NATURE DE NOUS PLAIRE; IL SEMBLE QU'UN TEL AMOUR SOIT CETTE ENFANCE AIMABLE DEVANT QUI TOUT SE JOUE, ET QUI SOURIT TOUJOURS. Nous faisons souvent d'assez","(15781, 16054)","(50649, 50698)"
Loaisel_Ainsi_4,"rdais Ardasire dans les bois, ET JE LA RETROUVOIS AUX ACCENTS DE SA VOIX CHARMANTE. ELLE SE PARAIT DES FLEURS QUE JE CUEILLOIS; JE ME PAROIS DE CELLES qu'elle avait cueillies. Le c","bscurité d'un bosquet touffu, ET JE LA RETROUVE AUX ACCENT DE SA VOIX CHARMANTE: ELLE SE PARE DES FLEURS QUE JE CUEILLE; JE ME PARE DE CELLES qu'elle a cueillies. L'aspect","(16182, 16302)","(50649, 50698)"
