,Text in Popeliniere_Daira,Text in B,Location in Popeliniere_Daira,Location in B
Anonym_Suzon_0," secours: parlez, mon enfant, LUI DIS-JE, JE NE VEUX QUE vous servir, disposez de tout","faire votre curiosité. Tenez, LUI DIS-JE, JE NE VEUX PAS vous faire languir davantage ","(18111, 18137)","(18815, 18841)"
Arnaud_Sentiment_0,e etamp; presque détruite par TOUS LES MAUX QUE VOUS M'AVEZ CAUSÉS. Considérez que les tristes s," Dans quel état! ... J'oublie TOUS LES MAUX QUE VOUS M'AVEZ CAUSÉS; tenez, partagez ce morceau d","(95005, 95041)","(605410, 605446)"
Beaumont_Clarice_0,"eille: je le vis en cet état, SANS AVOIR LA FORCE DE LUI PARLER... Daïra, me dit-il, après un",", je m'étais jetée aux pieds dE MA MÈRE, ET JE BAIGNOIS SES HABits de mes larmes, sans avoir ","(48451, 48484)","(161988, 162021)"
Beaumont_Clarice_1,"e part du monde qu'il habite, LE PLUS INFORTUNÉ DE TOUS LES HOMMES, j'ai cru mieux faire, de fla",ui „ faisait il y a un mois le SEUL OBJET „ DE MES DÉSIRS NE M'EMPÊChe pas „ d'être jusqu'au tombe,"(80135, 80171)","(161988, 162021)"
Benoist_Elisabeth_0, etamp; où je me rappelle que TOUT CE QUI SE PASSA DANS MON âme pendant même un nombre de,"que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON cœur, comme Dieu même. Sois d","(83638, 83667)","(204768, 204797)"
Charriere_Lausanne_0," plus rien à vous céler après CE QUE JE VIENS DE VOUS DIRE, etamp; qu'il faut indispensa","rte que vive, elle me raconta CE QUE JE VIENS DE VOUS DIRE.-Mais, maman, disait-elle, co","(80618, 80646)","(90357, 90385)"
Chevrier_Colporteur_0," plus rien à vous céler après CE QUE JE VIENS DE VOUS DIRE, etamp; qu'il faut indispensa","ettes. Concluez, mon fils, de CE QUE JE VIENS DE VOUS DIRE, que vous ne devez pas imiter","(80618, 80646)","(234893, 234921)"
Cottin_Claire_0, etamp; où je me rappelle que TOUT CE QUI SE PASSA DANS MON âme pendant même un nombre de,"u'il m'a vue, mais qu'il sait TOUT CE QUI SE PASSE DANS MON cœur. J'avais espéré pourtant","(83638, 83667)","(140010, 140039)"
Crebillon_Atheniennes_0,Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT À REDIRE les mêmes choses; je ne l'int,idice à Alcibiade. J'ai pâssé LA PLUS GRANDE PARTIE DE LA NUIT À FAIRE des réflexions qui m'ont d'au,"(43782, 43823)","(529031, 529071)"
Crebillon_Conte_0,Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,"ai dans le camp, où je passai LA PLUS GRANDE PARTIE DE LA NUIT à les haranguer, et à tâcher ","(43782, 43814)","(327531, 327563)"
Crebillon_Nuit_0,Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,"hommes, qui sont ici, a passé LA PLUS GRANDE PARTIE DE LA NUIT dans ma chambre ? Auriez-vous","(43782, 43814)","(14956, 14988)"
Diderot_Religieuse_0,"e n'ai plus rien à vous céler APRÈS CE QUE JE VIENS DE VOUS DIRE, etamp; qu'il faut indispensa"," rien faire... S'il arrivait, APRÈS CE QUE JE VIENS DE VOUS DIRE, que j'eusse le courage..., e","(80612, 80646)","(140856, 140890)"
Dorat_Sacrifices_0," plus rien à vous céler après CE QUE JE VIENS DE VOUS DIRE, etamp; qu'il faut indispensa","tageais vos vœux? ... Oubliez CE QUE JE VIENS DE VOUS DIRE; oubliez tant d'abaissement, ","(80618, 80646)","(379070, 379098)"
Florian_Galatee_0,"ue j'en frémis, etamp; que je CRAIGNIS DE N'AVOIR PAS LE TEMPS DE le sauver. Je le mis sur mon ","n qu'il ne pouvait guérir; et CRAIGNANT DE N'AVOIR PAS LE TEMPS DE finir son ouvrage, il augment","(14980, 15015)","(12502, 12538)"
Fourqueux_Zely_0,"épliquer. Fille! continua-il, JE N'AI PLUS QU'UN MOT À VOUS DIRE, etamp; ce mot seul doit vous","m, et soyez-moi plus fidèle. “JE N'AI PLUS QU'UN MOT À VOUS DIRE: “vous m'aimez, je n'en puis ","(76772, 76806)","(82447, 82481)"
Genlis_Adele_0, etamp; de nouvelles douleurs QUE JE N'AUROIS PAS LA FORCE DE supporter; elles seraient auj,", je l'avoue, et je sens même QUE JE N'AUROIS PAS LA FORCE DE vous dire moi-même une chose ","(83451, 83482)","(670554, 670585)"
Genlis_Adele_1, etamp; où je me rappelle que TOUT CE QUI SE PASSA DANS MON âme pendant même un nombre de," ... Vous ne pouvez concevoir TOUT CE QUI SE PASSE DANS MON cœur, non; quoique vous le co","(83638, 83667)","(670554, 670585)"
Genlis_Chevaliers_0,Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,niquement le reste du jour et LA PLUS GRANDE PARTIE DE LA NUIT; je me promis à moi-même de r,"(43782, 43814)","(109479, 109511)"
Gerard_Comte_0,"er de mon appartement, etamp; DE LA MAISON DE MON PÈRE OÙ j'étais. 
Je ne l'entendis pl",e commander: voilà le tableau DE LA MAISON DE MON PÈRE. CE n'était plus sa faute en un s,"(27550, 27577)","(279119, 279147)"
Gerard_Comte_1,quelque nouvelle catastrophe! JE NE SAIS SI JE N'AUROIS PAS mieux fait de ne point surviv,"ion eût duré plus long-temps, JE NE SAIS SI JE N'AUROIS PAS eu à craindre pour l'état où ","(221493, 221522)","(279119, 279147)"
Jacquin_Parisiennes_0,"a vie. Mon premier soin fut d'ALLER ME JETER AUX PIEDS DE MON PÈRE; je parcourus le Château, le "," davantage dans le précipice: ALLER ME JETER AUX PIEDS DE MON PÈRE, pour lui découvrir la cause ","(214269, 214305)","(192201, 192237)"
Kimber_Thompson_0,"er de mon appartement, etamp; DE LA MAISON DE MON PÈRE OÙ j'étais. 
Je ne l'entendis pl","ux chez un fermier à un mille DE LA MAISON DE MON PÈRE, OÙ je fus reconnu avec joie etam","(27550, 27577)","(211872, 211900)"
Kimber_Thompson_1,Nous passames elle etamp; moi LA PLUS GRANDE PARTIE DE LA NUIT à redire les mêmes choses; je,sse d'amour pour nous occuper LA PLUS GRANDE PARTIE DE LA NUIT à parler ensemble de notre bo,"(43782, 43814)","(211872, 211900)"
