,Text in Prevost_Manon,Text in B,Location in Prevost_Manon,Location in B
Arnaud_Epoux_0,"l'honneur de voir ici souvent MONSIEUR, AJOUTA-T-IL EN SE TOURNANT VERS moi ; faites bien votre profi","era funeste à tous deux! Oui, MONSIEUR, AJOUTA-T-IL, EN SE TOURNANT DE mon côté, vous serez, n'en do","(113357, 113398)","(139473, 139513)"
Arnaud_Sentiment_0,e manière qui me fit juger de CE QUI SE PASSAIT DANS SON CŒUR. « Mais quel moyen prendrons-,"ir que, si elle eût découvert CE QUI SE PASSAIT DANS SON CŒUR, on l'aurait traitée de femme","(265275, 265306)","(298728, 298759)"
Beauharnais_Lettres_0,"je me suis figuré que c'était LA LETTRE QUE JE VOUS AI ÉCRITE sous les yeux de M. G M , et ","ir .... Je ne me rappelle, de LA LETTRE QUE JE VOUS AI ÉCRITE, que le serment d'aimer, d'id","(231815, 231846)","(148792, 148823)"
Beaumont_Clarice_0,"n si violente qu'elle me rend LE PLUS INFORTUNÉ DE TOUS LES HOMMES. J'ai tout employé, à Paris, ",ui „ faisait il y a un mois le SEUL OBJET „ DE MES DÉSIRS NE M'EMPÊChe pas „ d'être jusqu'au tombe,"(5045, 5081)","(208628, 208666)"
Beckford_Vathek_0,", qui en ignoraient la cause, SE REGARDAIENT LES UNS LES AUTRES AVEC autant de frayeur que de surp",upart des gens de Vathek; ils SE REGARDAIENT LES UNS LES AUTRES AVEC effroi. Dès la nuit même pres,"(127237, 127275)","(172418, 172456)"
Benouville_Pensees_0,ignes de notre sort jouissent DE TOUTES LES FAVEURS DE LA FORTUNE ! » Ces réflexions me pénétra,"er de la modération au milieu DE TOUTES LES FAVEURS DE LA FORTUNE! 
(C 2) Je n'avais garde de l","(256266, 256301)","(44797, 44832)"
bible_0,"« J'irai à Paris, lui dis-je, JE METTRAI LE FEU À LA MAISON DE B***, et je le brûlerai tout ","avec des herses de fer.

4 Et JE METTRAI LE FEU À LA MAISON DE Hazaël, et ce feu dévorera le","(46649, 46681)","(3417541, 3417573)"
Charriere_Lausanne_0, deux mains pour y développer CE QUI SE PASSAIT DANS MON CŒUR. Je n'osais rappeler ce que j,"z-vous, s'il se peut, madame, CE QUI SE PASSAIT DANS MON CŒUR. À la fin je me mis à ses pie","(29222, 29253)","(185261, 185292)"
Constant_Laure2_0,"s ainsi tout occupé d'elle, j'ENTENDIS LE BRUIT DE PLUSIEURS PERSONNES QUI montaient l'escalier. On frap",on entrait dans une chambre où NOUS ENTENDIONS LE BRUIT DE PLUSIEURS PERSONNes qui en secourent une autre;,"(33363, 33407)","(146273, 146319)"
Crebillon_Atheniennes_0,"on cher Chevalier, me dit-il, JE NE VOUS DIS RIEN QUI NE SOIT solidement vrai, et dont je n","er: soyez sûr, seulement, que JE NE VOUS DIS RIEN QUI NE SOIT dans la plus éxacte vérité. N","(48827, 48858)","(118794, 118825)"
Crebillon_Atheniennes_1,"ces paroles. 
Un cœur de père EST LE CHEF-D'ŒUVRE DE LA NATURE ; elle y règne, pour ainsi pa","our la sottise, et la beauté, EST LE CHEF D'ŒUVRE DE LA NATURE; mais si jamais femme n'eût m","(264830, 264862)","(118794, 118825)"
Crebillon_Conte_0,ée qui arrêta mon désespoir : JE CRUS QU'IL NE ME SERAIT PAS IMPOSSIBLE de cacher notre perte à Manon,"ilité la peur de mes soldats, JE CRUS QU'IL NE SERAIT PAS MAL de mettre, à la première occa","(73883, 73924)","(329719, 329750)"
Diderot_Religieuse_0,"secret de vos affaires ; mais SI JE PUIS VOUS ÊTRE UTILE À QUELQUE CHOSE, je m'offre volontiers à vous","ible. 
« Madame, ajouta-t-il, SI JE PUIS VOUS ÊTRE UTILE À QUELQUE CHOSE, disposez de moi. Je verrai l","(6759, 6801)","(199940, 199982)"
Diderot_Religieuse_1," qui sera plus fidèle.---Ah ! SI VOUS AVEZ QUELQUE BONTÉ POUR MOI, lui dis-je, c'est elle qu'il","et je lui dis : « Chère mère, SI VOUS AVEZ QUELQUE BONTÉ POUR MOI, pardonnez à ma sœur Thérèse ","(45440, 45475)","(199940, 199982)"
Ducray_Cinquante_0,"u fait. » Elle m'apprit alors TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS qu'elle avait trouvé G M , qu",jeûna; puis Jeannette raconta TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS sa séparation de Cécile. Les ,"(232476, 232511)","(326207, 326242)"
Fievee_Dot_0," perfidies. Oui, continuai-je EN VERSANT DES LARMES DE DÉPIT, JE vois bien que je ne suis qu'u","gence, madame, me répondit-il EN VERSANT DES LARMES DE DÉPIT, ET vous me traitez comme un mons","(46394, 46428)","(36335, 36369)"
Florian_Galatee_0,"u fait. » Elle m'apprit alors TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS qu'elle avait trouvé G M , qu","ule, et leur fit le détail de TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS leur séparation. Ce récit fut","(232476, 232511)","(102615, 102650)"
Genlis_Adele_0,ire ma félicité. Je me trouve LE PLUS MALHEUREUX DE TOUS LES HOMMES par cette même constance dont,"eu calmé: je suis, me dit-il, LE PLUS MALHEUREUX DE TOUS LES HOMMES, j'ai manqué à mes résolution","(25100, 25137)","(719074, 719111)"
Genlis_Adele_1,ver fort risible. Vous verrez QUE CE N'EST PAS SANS RAISON QUE JE me suis étendu sur cette ridi,"jugez bien, mon cher vicomte, QUE CE N'EST PAS SANS RAISON QUE JE me fais autant prier d'une ch","(114948, 114983)","(719074, 719111)"
Genlis_Adele_2,"-il témoin que j'ai pour vous TOUS LES SENTIMENTS DU FILS LE PLUS TENDRE et le plus respectueux. 
Mais","uvé la vie, puisque j'ai pour TOI LES SENTIMENT DU FILS LE PLUS TENDRE! ... Mon père, quel est mon b","(279144, 279186)","(719074, 719111)"
Genlis_Chevaliers_0, deux mains pour y développer CE QUI SE PASSAIT DANS MON CŒUR. Je n'osais rappeler ce que j,"nd homme connut aisément tout CE QUI SE PASSAIT DANS MON CŒUR, il en parut vivement touché;","(29222, 29253)","(140577, 140608)"
Genlis_Chevaliers_1,"r tous mes maux par la mort. 
CEPENDANT JE CONSERVAI ASSEZ DE PRÉSENCE D'ESPRIT POUR vouloir examiner auparavant s", sentis mes forces défaillir; CEPENDANT JE CONSERVAI ASSEZ DE PRÉSENCE D'ESPRIT POUR connaître toute l'horreur de ,"(73706, 73760)","(140577, 140608)"
Genlis_Chevaliers_2,"e je n'en avais pas à perdre, JE REPRIS LA PAROLE POUR LUI DIRE que j'étais touché de toutes ", et je vis couler ses larmes; JE REPRIS LA PAROLE POUR LUI DIRE tout ce que l'amour peut insp,"(147267, 147300)","(140577, 140608)"
Gerard_Comte_0,ire ma félicité. Je me trouve LE PLUS MALHEUREUX DE TOUS LES HOMMES par cette même constance dont,"ture serait le moins libre et LE PLUS MALHEUREUX DE TOUS LES HOMMES. Crois-en, cher Valmont, la t","(25100, 25137)","(462886, 462923)"
Gorjy_Voyage_0,"entendu rentrer, ne fût venue AU-DEVANT DE MOI AVEC UN AIR D'IMPATIENCE et des plaintes de ma lenteur","hapeau de paille. Elle courut AU DEVANT DE MOI AVEC UN AIR ÉPANOUI, et m'engagea à prendre part ","(190182, 190223)","(11506, 11542)"
Jacquin_Parisiennes_0,ire ma félicité. Je me trouve LE PLUS MALHEUREUX DE TOUS LES HOMMES par cette même constance dont,nçai plus à me regarder comme LE PLUS MALHEUREUX DE TOUS LES HOMMES: abandonné à la plus vive dou,"(25100, 25137)","(110807, 110844)"
Kimber_Thompson_0,minuer beaucoup ma tristesse. JE RETOURNAI SUR-LE-CHAMP AU LOGIS. J'embrassai Manon avec ma te,"s de quel côté il était allé, JE RETOURNAI SUR LE CHAMP AU LOGIS, etamp; sans entrer dans la m","(31746, 31780)","(305303, 305337)"
Kimber_Thompson_1,lui raconter sans déguisement CE QUI M'ÉTAIT ARRIVÉ DEPUIS MON DÉPART de Saint-Sulpice. Je le satis,"au Mont-Chrétien, etamp; tout CE QUI M'ÉTAIT ARRIVÉ DEPUIS MON DÉPART précipité de chez mon père. J","(83915, 83954)","(305303, 305337)"
Kimber_Thompson_2,"ma confiance, je lui racontai LE DÉTAIL DE TOUT CE QUI ÉTAIT ARRIVÉ à Manon et à moi. « Vous voye"," Bellair, à Miss Suckey, avec LE DÉTAIL DE TOUT CE QUI M'ÉTAIT ARRIVÉ; je le leur recommandai comme","(154509, 154546)","(305303, 305337)"
Laclos_Liaisons_0,"vaise chère que j'avais faite DEPUIS PRÈS DE TROIS MOIS. 
JE NE pus néanmoins m'y livrer au p","façon de voir ; et parce que, DEPUIS PRÈS DE TROIS MOIS, JE NE vous vois plus, nous ne somme","(150047, 150080)","(550142, 550174)"
Laclos_Liaisons_1,"u fait. » Elle m'apprit alors TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS QU'ELLE avait trouvé G M , qui l'atte"," avec beaucoup de détail, sur TOUT CE QUI LUI ÉTAIT ARRIVÉ DEPUIS QU'ELLE était au couvent, où elle ne ","(232476, 232519)","(550142, 550174)"
Lagrave_Sophie_0, deux mains pour y développer CE QUI SE PASSAIT DANS MON CŒUR. Je n'osais rappeler ce que j,esse. J'ai senti la nécessité DE LUI DISSIMULER CE QUI SE PASsait dans mon cœur; il m'en co,"(29222, 29253)","(147099, 147130)"
