,Text in Prevost_Monde,Text in B,Location in Prevost_Monde,Location in B
Arnaud_Epoux_0," belle résolution. Mais ce n'éTAIT RIEN, EN COMPARAISON DU SPECTACLE QUI suivit. Le bailli, reparoissa","us ces objets si déchirant n'éTAIENT RIEN EN COMPARAISON DU SPECTACLE QUI m'accablait: Agathe, Agathe d","(65753, 65795)","(236317, 236360)"
Arnaud_Matinees_0,"qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","vec avidité sur les portraits DE SON PÈRE ET DE SA MÈRE , elle les pressait contre so","(187423, 187448)","(3890, 3915)"
Arnaud_Sentiment_0,"qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p","es agréments de Julie; adorée DE SON PÈRE ET DE SA MÈRE, elle les aimait de même.On s","(187423, 187448)","(250164, 250189)"
Arnaud_Sentiment_1,"j'entends, pour ne pas être l'OBJET DE MA HAINE ET DE MON INDIGNATION. Il avait fait signe alors, a","ns: ceux-ci sur-tout sont les OBJETS DE MA HAINE ET DE MON INDIGNATION, eux qui se prétendent éclair","(549262, 549301)","(250164, 250189)"
Beauharnais_Lettres_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'","itude: c'est en lui apprenant TOUT CE QUI SE PASSE DANS SON cœur, que je le forcerai de s","(337284, 337312)","(139962, 139991)"
Beaumont_Clarice_0,"ux tuteur de Mlle Tekely, que JE N'AI PAS ENCORE EU L'OCCASION DE nommer, m'était venu voir le ",fidèle complaisant de mes caprICES; JE N'AI PAS ENCORE EU L'OCCASion de tâter de ce plaisir; en,"(419262, 419297)","(38767, 38802)"
Benoist_Elisabeth_0,"urprend dans ses caresses, et TOUT CE QUI SE PASSE DANS CE cœur volage. Proprement il n'","que amie, que tu dois sçavoir TOUT CE QUI SE PASSE DANS MON cœur, comme Dieu même. Sois d","(337284, 337312)","(204768, 204797)"
Bernardin_Paul_0," quai du grand sérail, un peu AU-DESSUS DE LA PORTE DE LA marine. Un reste de jour, qui","és champêtres » Et cet autre, AU-DESSUS DE LA PORTE DE LA cabane de madame de la Tour, ","(669229, 669256)","(186009, 186036)"
bible_0,"qu'elle voyait, par l'exemple DE SON PÈRE ET DE SA MÈRE, qu'il était bien triste de p"," Mériba.

9 C’est lui qui dit DE SON PÈRE ET DE SA MÈRE : Je ne l’ai point vu, et
qui","(187423, 187448)","(875212, 875237)"
Cazotte_Ollivier_0,"rès le départ de madame, il a PASSÉ LE RESTE DE LA NUIT DANS la plus violente agitation. I","as, rentre dans la cabane, et PASSE LE RESTE DE LA NUIT DANS l'agitation. Il fut entendu p","(8306, 8336)","(18800, 18830)"
