,Text in Puttelange_Roi,Text in B,Location in Puttelange_Roi,Location in B
Benoist_Elisabeth_0,"de si belles choses, disaita iL AU ROI, SON CONFRÈRE; QUE NE DEvez vous pas attendre de la su","ng qui coule dans mes veines: QUE NE DEVEZ-VOUS PAS ATTENDRE DE ma reconnaissance, de mon res","(128849, 128882)","(198060, 198093)"
bible_0,"rois secondes, trois tierces, IL SE FIT UN GRAND TREMBLEMENT DE TERRE, que tous les peuples en géné"," pour voir
le sépulcre.

2 Et IL SE FIT UN GRAND TREMBLEMENT DE TERRE, car un ange du Seigneur
desc","(230, 269)","(3680127, 3680166)"
Cazotte_Ollivier_0,"ontre tout, c'est avoir tort. IL N'EST PAS HORS DE PROPOS DE marquer ici, que la gent sace",ait Zaman: nouvel acteur dont IL N'EST PAS HORS DE PROPOS DE donner une légère idée. C'éta,"(14393, 14423)","(247901, 247931)"
Crebillon_Conte_0,res pour l'exercer dignement. SON PREMIER SOIN FUT DE FAIRE ENTERRER le roi défunt. Les seigneurs ,"i paraissait si honteuse, que SON PREMIER SOIN FUT DE FAIRE ÉVANOUIR le fantôme qui lui avait caus","(27646, 27684)","(28680, 28718)"
Genlis_Adele_0,"avaient la réputation d'être, DE TOUS LES PEUPLES DE LA TERRE, celui qui sût le plus exacte","oire générale et particulière DE TOUS LES PEUPLES DE LA TERRE, depuis la création du monde ","(2568, 2599)","(339363, 339394)"
Genlis_Adele_1," qualités font les grands sois, AUSSI BIEN ET PEUT ÊTRE MIEUX ; Que les vastes projets d'une am",ère en état d'élever son fils AUSSI-BIEN ET PEUT-ÊTRE MIEUX QUE le meilleur père ou le plus h,"(79791, 79826)","(339363, 339394)"
Gerard_Comte_0,"la première jeunesse tous les CHARTES DE LA FIGURE, TOUTES LES GRÂCES du corps, avec la justesse, l","a naïve simplicité, joint aux CHARMES DE LA FIGURE TOUTES LES GRÂCES de l'esprit et tout le bon se","(68944, 68983)","(2590, 2628)"
Kimber_Thompson_0,"avait déjà crevé trois chevaux, LUI PASSA SON ÉPÉE AU TRAVERS DU CORps. Lorsque le roi, étonné de ","olère, il fut sur le point de LUI PASSER SON ÉPÉE AU TRAVERS DU CORPS; mais vu l'indignité du sujet","(83382, 83420)","(764373, 764412)"
LaPlace_Collection_0,une objet féminin? Bagatelle m'ENCHANTAIT. TOUS LES JOURS JE ne manquais pas de lui dire l,"e de ce cher bien-faiseur, et JE NE MANQUAI PAS DE LUI APPRENDRE les obligations que j'avais à","(135601, 135631)","(507087, 507121)"
Lesuire_Aventurier_0,eigneurs du royaume. Son père AVAIT EU LE MALHEUR DE SE LAISSER entraîner par un prince du sa," de la grande Chartreuse, qui AVAIT EU LE MALHEUR DE SE LAISSER donner le nom de S. Bruno, de","(69372, 69405)","(1154514, 1154547)"
Mirabeau_Conversion_0,"ité rétablie dans ses états à LA PLUS GRANDE GLOIRE DE DIEU, ET en plus grand avantage de son","fermer, périr, tout cela pour LA PLUS GRANDE GLOIRE DE DIEU, ET le barbare idiot, que je brid","(39576, 39609)","(171021, 171054)"
Nerciat_Aphrodites_0,"enchantait. Tous les jours je NE MANQUAIS PAS DE LUI DIRE LES PLUs jolies choses du monde, et d","ait s'empêcher de dire à mes cOLLINES LES PLUS JOLIES CHOSES DU Monde, et même de les baiser en","(135632, 135667)","(391598, 391633)"
