,Text in Retif_AntiJustine,Text in B,Location in Retif_AntiJustine,Location in B
Arnaud_Sentiment_0,. à mon insatiable con... que JE SUIS VOTRE FILLE... JE LE SENS AU plaisir... que me fait la cél,"st-ce à vous à m'accabler? Ah!JE SUIS VOTRE FILS; JE LE SENS AU respect, à la tendresse qui m","(164629, 164665)","(127490, 127523)"
Benoist_Elisabeth_0,"moi ce que tu désires ? Tout, TOUT CE QUI SERA EN MON POUVOIR va t'être accordé...---Oh ! t",r à moi. Comptez que je ferai TOUT CE QUI SERA EN MON POUVOIR pour vous rendre heureuse. Je,"(17379, 17410)","(85594, 85625)"
Diderot_Jacques_0,"is, dit froidement Vitnègre à SON AMI, NE T'AVAIS-JE PAS BIEN DIT qu'elle avait le poil du con ","e en prison.--Eh bien reprit ÉSOPE, NE L'AVAIS-JE PAS BIEN DIT que je ne savais où j'allais ","(37473, 37508)","(81162, 81194)"
Dorat_Sacrifices_0,sement avec un infâme. Ce fut CE QUE J'AI EU TANT DE PEINE à lui pardonner !... Mais la , exigiez la moindre preuve de CE QUE J'AI EU TANT DE PEINE à vous cacher. Ah! Pourquoi v,"(29139, 29167)","(181213, 181241)"
Genlis_Adele_0,"s seuls qui ne payerez pas. » EN ACHEVANT CES MOTS, IL SE PROSTERNA devant moi, en me traitant de","euse, et terminer ses peines. EN ACHEVANT CES MOTS, IL SE PROSTERNE aux pieds de Blanche, et lui ","(226976, 227013)","(531064, 531101)"
Kimber_Thompson_0,"ent. Elle se ressouvint alors DE CE QUE JE LUI AVAIS DIT, qu'elle pourrait se laisser ",quit entièrement de la vérité DE CE QUE JE LUI AVAIS DIT. Il m'en félicita; mais en mê,"(100637, 100663)","(614148, 614174)"
LaPlace_Collection_0,"ain tiède. 
Mon amoureux père NE ME DONNA PAS LE TEMPS DE RÉFLÉCHIR. Dès qu'une serviette fine eu",e de confusion. Le commandeur NE ME DONNA PAS LE TEMPS DE RÉFLÉCHIR sur une nouvelle si imprévue;,"(192193, 192230)","(200089, 200126)"
Prevost_Manon_0,"lle aura pour ses épingles. » JE LES LUI DONNAI SUR-LE-CHAMP, et nous partîmes... Vous sav","ce de me demander deux louis. JE LES LUI DONNAI SUR-LE-CHAMP. 
« Mais prenez garde, lui di","(72067, 72097)","(8249, 8279)"
Riccoboni_Histoire_0,me par une fente... Conquette SE JETA DANS LES BRAS DE TIMORI. Mais il était malade. La bel,"e, en finissant cette lettre, SE JETA DANS LES BRAS DE SON mari, et, le serrant avec une","(101063, 101094)","(86876, 86904)"
Sade_120_0,"ne, en se mettant sur le dos, LE VIT DANS LE CUL DE LA belle jusqu'à la garde ; son ","vrai,---qu'il s'était endormi LE VIT DANS LE CUL DE LA Duclos, qu'on pouvait approfo","(143764, 143788)","(633508, 633532)"
Sade_Aline_0,"mettez de vous le mettre ici, SUR LE PIED DU LIT DE VOTRE père ?... 
Consentez-y ! » Je","elle était déjà toute alarmée SUR LE PIED DU LIT DE SA mère, quand le président peu ","(195221, 195248)","(175851, 175875)"
Sade_Justine_0,"hez mon père, je lui racontai TOUT CE QUE JE VENAIS DE FAIRE. « Il ne faut pas, me dit-il,",le avait été la récompense de TOUT CE QUE JE VENAIS DE FAIRE pour ce malheureux ; et porta,"(228157, 228187)","(104245, 104275)"
Sade_Philosophie_0,"ché.---Ah ! céleste fouteuse, QUE JE LE BAISE, QUE JE LE baise !---Point de ces mots-l","ctuaire... Quel cul divin ... QUE JE LE BAISE, QUE JE LE lèche mille et mille fois. Ti","(170316, 170342)","(172825, 172851)"
Segur_Correspondance_0," moi et Timori ?---J'ai aussi BIEN DES CHOSES À VOUS DIRE LÀ-DESSUS, mon ange, mais nous allons s","que dix-huit ans. Il y aurait BIEN DES CHOSES À VOUS DIRE LÀ-DESSUS. 
Il y a deux ans qu'il mouru","(79694, 79731)","(100414, 100451)"
