,Text in Rosny_Firmin,Text in B,Location in Rosny_Firmin,Location in B
Anonyme_Etourdi_0,", le cri de la reconnaissance EXPIRA SUR MES LÈVRES, ET MON SILENCE fut, je crois, plus expressif","mes questions, mais la parole EXPIRA SUR MES LÈVRES, ET MON SILENCE parla d'une manière bien conf","(149020, 149057)","(172915, 172952)"
Anonyme_Zoloe_0,"te enfin étend ses droits sur TOUTES LES CLASSES DE LA SOCIÉTÉ, ET sans certain voyage qu'il est","llait bénignement, protégeait TOUTES LES CLASSES DE LA SOCIÉTÉ ; ET plus d'un prince Italien, d'u","(125321, 125357)","(81396, 81433)"
Arnaud_Epoux_0," ne saurait toucher mon cœur, IL N'EST PLUS EN MON POUVOIR DE reconnaître son amour...---Un","e à moi! Pour le mien, hélas! IL N'EST PLUS EN MON POUVOIR DE le donner à un autre... mon s","(25030, 25061)","(98133, 98164)"
Arnaud_Sentiment_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,rouble vous instruit assez de CE QUI SE PASSE DANS MON CŒUR. Il y a long-temps que je brû,"(58607, 58636)","(304195, 304224)"
Benoist_Elisabeth_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"mie, que tu dois sçavoir tout CE QUI SE PASSE DANS MON CŒUR, comme Dieu même. Sois donc i","(58607, 58636)","(204773, 204802)"
Boufflers_Reine_0,"llement lui paraître suspect, JE LUI DONNAI LE PEU D'ARGENT QUE J'AVAIS SUR MOI, ET ce dernier moyen de séduction",sir vaut mieux que l'honneur. JE LUI DONNAI LE PEU D'ARGENT QUE J'AVAIS SUR MOI ET un anneau d'or que je portais,"(43803, 43856)","(5173, 5225)"
Chevrier_Colporteur_0,"ait de l'enlever, et il avait RENDU LE DERNIER SOUPIR EN PRONONÇANT LE NOM de mademoiselle de Stainville","es qu'il venait d'acheter, il RENDIT LE DERNIER SOUPIR, EN PRONONÇANT LE NOM du malheureux qui venait de l","(73511, 73555)","(133169, 133215)"
Cottin_Claire_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"m'a vue, mais qu'il sait tout CE QUI SE PASSE DANS MON CŒUR. J'avais espéré pourtant l'ar","(58607, 58636)","(140015, 140044)"
Diderot_Religieuse_0,"ue tous les remèdes de l'art. ELLE PASSAIT LES JOURS ET LES NUITS au chevet de son lit, et quoi","le avait perdu le sommeil, et ELLE PASSAIT LES JOURS ET LES NUITS à méditer et à écrire : elle ","(135482, 135517)","(86783, 86818)"
Dorat_Malheurs_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,sister toujours? Je frémis de CE QUI SE PASSE DANS MON CŒUR. Que mon sentiment est tyrann,"(58607, 58636)","(182626, 182655)"
Fievee_Dot_0,"émoigna toute sa satisfaction DE LA MANIÈRE LA PLUS AVANTAGEUSE, ET pendant le reste du jour il n"," Sa taille s'était développée DE LA MANIÈRE LA PLUS AVANTAGEUSE, ET prêtait une grâce particulièr","(13144, 13181)","(24712, 24749)"
Genlis_Adele_0,r ; il était dit que j'allais TOUCHER À L'ÉPOQUE LA PLUS INTÉRESSANTE DE MA VIE ; mais hélas ! qui peut parer,"n de mes soins. Cependant, je TOUCHAIS À L'ÉPOQUE LA PLUS INTÉRESSANTE DE MA VIE, j'approchois du moment de ma","(7633, 7682)","(870215, 870265)"
Genlis_Adele_1,œur est à vous depuis le jour OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,"lle a quinze ans, c'est l'âge OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS; elle vous retrace tout ce qu","(26428, 26464)","(870215, 870265)"
Genlis_Adele_2,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"Vous ne pouvez concevoir tout CE QUI SE PASSE DANS MON CŒUR, non; quoique vous le connais","(58607, 58636)","(870215, 870265)"
Genlis_Chevaliers_0, est à vous depuis le jour où JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,premier objet que j'aie aimé; JE VOUS VIS POUR LA PREMIÈRE FOIS à votre retour de la Lombardi,"(26431, 26464)","(650449, 650482)"
Genlis_Chevaliers_1,"cieuses ! mon adorable Sophie DAIGNA OUBLIER LA DISTANCE QUI NOUS SÉPARAIT, pour ne s'occuper que de mon","avec indignité une femme qui, DAIGNANT OUBLIER LA DISTANCE QUI NOUS SÉPARAIT, me préférait aux plus illust","(27864, 27908)","(650449, 650482)"
Gerard_Comte_0,s rien vu de si beau : toutes LES GRÂCES DE LA JEUNESSE ET DE LA beauté se trouvaient réunies ,", mais qui n'avait rien perdu DES GRÂCES DE LA JEUNESSE ET DE LA vigueur de l'âge mûr. Sans êt","(8531, 8565)","(158348, 158382)"
Kimber_Thompson_0,"èce de désert que j'habitais, JE N'AVAIS JAMAIS RIEN VU DE SI beau : toutes les grâces de l",t si chargées de diamants que JE N'AVAIS JAMAIS RIEN VU DE SI riche. Mais ces ornement au l,"(8485, 8516)","(241654, 241685)"
Kimber_Thompson_1," 
Ici je lui fis, à mon tour, LE DÉTAIL DE TOUT CE QUI M'ÉTAIT ARRIVÉ depuis notre séparation, et j"," Bellair, à Miss Suckey, avec LE DÉTAIL DE TOUT CE QUI M'ÉTAIT ARRIVÉ; je le leur recommandai comme","(175112, 175151)","(241654, 241685)"
Laclos_Liaisons_0,s rien vu de si beau : toutes LES GRÂCES DE LA JEUNESSE ET DE la beauté se trouvaient réuni,"e d'être excepté ; il n'a que LES GRÂCES DE LA JEUNESSE, ET NON la frivolité. Sa grande réser","(8531, 8562)","(545438, 545471)"
Laclos_Liaisons_1,"epuis un siècle ; vos charmes ONT FAIT SUR MON CŒUR UNE BLESSURE SI profonde, que les temps ne po","e charmes, ai-je donc repris, ONT FAIT SUR MON CŒUR UNE IMPRESSION SI profonde, tant de vertus n'en","(118173, 118210)","(545438, 545471)"
Lagrave_Sophie_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"r. 
Je ne puis te dire, mon amIE, CE QUI SE PASSE DANS MON cœur à cette idée; il semble q","(58607, 58636)","(55158, 55187)"
Lagrave_Zabeth_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,e..... Je ne puis rendre tout CE QUI SE PASSE DANS MON CŒUR! cœur! Pauvre Zabeth!... La t,"(58607, 58636)","(349756, 349785)"
LaPlace_Collection_0,"e sur son compte ; il y avait LONG-TEMPS QUE JE N'AVAIS REÇU DE ses nouvelles, lorsqu'un jour","vie commune. 
Il y avait déjà LONG-TEMPS QUE JE N'AVAIS REÇU DE lettres du chevalier de Beaub","(51372, 51405)","(553957, 553990)"
Lesuire_Aventurier_0,"m'avoir condamné. Faut-il, me DISAIS-JE EN MOI-MÊME, QUE JE ne sois que Firmin, fils de T"," sexe. Tu mériterois bien, me DISAIS-JE EN MOI-MÊME, QUE JE découvrisse mon sexe à ta Maî","(9287, 9316)","(740937, 740966)"
Loaisel_Lucile_0," sur très-beau papier, fig. À PARIS, CHEZ LEPRIEUR, LIBRAIRE, RUE DE SAVOIE, No. 12. 
L'Observateur Senti","re, 
et la raison se taît. 
A PARIS, CHEZ 
LEPRIEUR, 
LIBRAIRE, RUE DE SAVOIE, n°. 12. 
L'an second de la R","(209431, 209476)","(150, 197)"
Louvet_Annee_0,"'eusse sur la terre. Le Comte SENSIBLE AU SERVICE IMPORTANT QUE JE VENAIS DE LUI RENDRE, avait converti sa haine en t","é des infortunes de sa fille, SENSIBLE AU SERVICE IMPORTANT QUE JE VENAIS DE LUI RENDRE, il embrassait Lodoïska; et m","(58758, 58815)","(321830, 321887)"
Louvet_Fin_0,"ez vous une visite exacte, et VOUS N'AVEZ PAS DE TEMPS À PERDRE, SI vous voulez échapper aux pour","lorville! à cheval, à cheval! VOUS N'AVEZ PAS DE TEMPS À PERDRE.—QU'APPELEZ-vous du temps à perdre? s'écr","(65637, 65674)","(207868, 207913)"
Marmontel_Contes_0,"leurs, celle de mon père qui, DÈS CE MOMENT, RÉSOLUT DE NE PLUS nous quitter, était encore pl","qu'elle ne mérite pas.Rodope, DÈS CE MOMENT, RÉSOLUT DE NE PLUS voir Alcibiade; et, plus elle","(205200, 205233)","(26501, 26534)"
Mercier_Jezennemours_0,œur est à vous depuis le jour OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,"ouvenir du temps et des lieux OÙ JE VOUS VIS POUR LA PREMIÈRE FOIS; changez mon cœur, comme vous","(26428, 26464)","(365788, 365824)"
Nerciat_Etourdi_0,", le cri de la reconnaissance EXPIRA SUR MES LÈVRES, ET MON SILENCE fut, je crois, plus expressif","mes questions, mais la parole EXPIRA SUR MES LÈVRES, ET MON SILENCE parla d'une manière bien conf","(149020, 149057)","(172915, 172952)"
Prevost_Monde_0,s rien vu de si beau : toutes LES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ se trouvaient réunies à celle,"le sang de Tekely, décoré par LES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ, n'eussent pas droit de comma","(8531, 8572)","(697411, 697452)"
Reveroni_Pauliska_0,s rien vu de si beau : toutes LES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ se trouvaient réunies à celle,"é et hideux, me semblait paré DES GRÂCES DE LA JEUNESSE ET DE LA BEAUTÉ ? Le Baron parut jouir un ins","(8531, 8572)","(62198, 62239)"
Riccoboni_Histoire_0,"lainval pressait sur son cœur UNE DE SES MAINS, DONT IL S'ÉTAIT emparé. Cette vue redoubla ma","x ne voulait point abandonner UNE DE SES MAINS DONT IL S'ÉTAIT saisi, qu'ellen'eût prononcé ","(34123, 34156)","(40620, 40652)"
Riccoboni_LettresFanni_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR lorsque je reçus les témoigna,"vilain visage qui décèle tout CE QUI SE PASSE DANS MON CŒUR; ma joie me trahiroit, on la ","(58607, 58636)","(113921, 113950)"
Rousseau_Julie_0, est à vous depuis le jour où JE VOUS VIS POUR LA PREMIÈRE FOIS. J'ai cru devoir vous laisser,"Il y a six ans à peu près que JE VOUS VIS POUR LA PREMIÈRE FOIS; vous étiez jeune, bien fait,","(26431, 26464)","(660335, 660368)"
Sade_Aline_0,arrassai fort peu des suites. JE NE M'OCCUPAI QUE DES MOYENS DE réussir. J'ai déjà dit que Ca,"puis que nous étions à table, JE NE M’OCCUPAIS QUE DES MOYENS DE la placer dans son verre. Éto","(55644, 55677)","(1177941, 1177975)"
Sade_Justine_0,"ettre son projet à exécution. LES SERVICES QUE JE LUI AVAIS RENDUS, et la position où nous nous ","x, j'osai lui rappeler encore LES SERVICES QUE JE LUI AVAIS RENDUS... Je m'aperçus que je l'irri","(60824, 60860)","(494891, 494927)"
Senac_Emigre_0,; souvent un hommage tacite a PLUS DE PRIX À MES YEUX QUE LES fades compliment des jeunes é,"e sermons éloquent, n'avait paS PLUS DE PRIX À MES YEUX, QUE Les dossiers de livres faits po","(24758, 24789)","(423441, 423473)"
Tiphaigne_Galligenes_0,ut avoir aimé pour se figurer CE QUI SE PASSA DANS MON CŒUR LORSQUE je reçus les témoignages de r, ne puis-je „t'expliquer tout CE QUI SE PASSE DANS „MON CŒUR; MAIS je ne le conçois pas „moi-mêm,"(58607, 58644)","(52539, 52575)"
