,Text in Rousseau_Julie,Text in B,Location in Rousseau_Julie,Location in B
Anonyme_Etourdi_0,"gis comme une lionne irritée; JE SUIS CAPABLE DE TOUT, HORS DE RENONCER À TOI, et il n’y a rien, non, rien ","tir le pistolet sur la gorge. JE SUIS CAPABLE DE TOUT, HORS DE RENONCER À TOI. "" Cette lettre, qui me fut r","(126708, 126755)","(33053, 33100)"
Anonyme_Etourdi_1," de faire penser à autrui; et LE ZÈLE APPARENT DE LA VÉRITÉ N’EST JAMAIS EN EUX QUE LE MASQUE DE L’INTÉRÊT. 
Vous croiriez que le gens i",". Il en est ainsi des hommes. LE ZÈLE APPARENT DE LA VÉRITÉ N'EST JAMAIS EN EUX QUE LE MASQUE DE L'INTÉRÊT, ou si tu veux ils ressemblen","(429292, 429368)","(33053, 33100)"
Anonyme_Etourdi_2,"eur caractère; elle les peint FRIVOLES, RUSÉES, ARTIFICIEUSES, ÉTOURDIES, VOLAGES, PARLANT BIEN, MAIS NE PENSANT POINT, SENTANT ENCORE MOINS ET DÉPENSANT AINSI TOUT LEUR MÉRITE EN VAIN BABIL. Tout cela me paraît à moi le","femmes, elles sont en général FRIVOLES, RUSÉES, ARTIFICIEUSES, ÉTOURDIES, VOLAGES, PARLANT BIEN, MAIS NE PENSANT POINT, SENTANT ENCORE MOINS, ET DÉPENSANT TOUT LEUR MÉRITE EN VAIN BABIL, ne connaissant ni le vrai am","(528216, 528376)","(33053, 33100)"
Anonyme_Etourdi_3," sentir que je lui convenois, ET POUR LA PREMIÈRE FOIS DE SA VIE il prit un attachement. Ce go","eut parler, sa voix s'éteint. ET POUR LA PREMIÈRE FOIS DE SA VIE elle reçoit et donne mille ba","(728344, 728378)","(33053, 33100)"
Arnaud_Epoux_0,"aisir féroce de contempler me LARMES. QUE DIS-JE, HÉLAS! IL N’EST point coupable; c’est moi seu"," mon père, les arroser de mes LARMES? QUE DIS-JE? HÉLAS! IL N'EST plus de père pour moi! Plus d","(134537, 134572)","(237040, 237075)"
Arnaud_Matinees_0,". Je ne suis plus le même, et NE TE VOIS PLUS LA MÊME. JE NE te vois plus comme autrefois ",envie d'avoir avec toi un entrETIEN DES PLUS IMPORTANTS. JE ne te le cacherai point; je ne,"(71299, 71329)","(249917, 249947)"
Arnaud_Matinees_1," chère Julie, et sur le récit DE CE QUI VIENT DE SE PASSER, connais, et partage les sent","e. Le vieillard est, livré à lA FUREUR. BEDMER S'EMPRESSE de raconter en peu de mots tou","(277674, 277702)","(249917, 249947)"
Arnaud_Sentiment_0,"ant d’elle, puisqu’aussi bien IL NE LUI EST PLUS PERMIS DE vous voir, ou si vous aimez m",à l'amour demande à s'égarer. IL NE LUI EST PLUS PERMIS DE douter que Sélicourt ne soit ,"(325422, 325450)","(635421, 635449)"
Arnaud_Sentiment_1,"x que le bruit, et la voix de TOUT CE QUI T’ENVIRONNAIT. JE VIS QUE tu l’avais reconnu; et malgré","s, je jetai un coup d'œil sur TOUT CE QUI M'ENVIRONNAIT: JE VIS QUE tout était ou trompeur ou tro","(645499, 645536)","(635421, 635449)"
Arnaud_Sentiment_2,"n m’écriant hors d’haleine: C’EN EST FAIT, JE NE LA VERRAI PLUS! Il s’éveille en sursaut, il ","lle qui me sépare de Julie; c'EN EST FAIT, JE NE LA VERRAI PLUS! Non, je ne la verrai plus! C","(1272149, 1272182)","(635421, 635449)"
Beauharnais_Lettres_0," s’élança sur ta pauvre amie: POUR LA PREMIÈRE FOIS DE MA VIE, JE reçus un soufflet qui ne fut ","père! c'en est donc fait! ... POUR LA PREMIÈRE FOIS DE MA VIE, JE suis profondément triste. L'e","(303643, 303678)","(50402, 50437)"
Beauharnais_Lettres_1, nouvelles avec impatience et JE N’AI PAS BESOIN DE VOUS DIRE combien vos lettres ont fait ,"cher Dom Lope, adieu. 
P. S. 
JE N'AI PAS BESOIN DE VOUS DIRE que le secret de Sidley est l","(1277242, 1277273)","(50402, 50437)"
Beaumont_Clarice_0," N’est-ce pas toi qui nourris DANS MON ÂME LE GOÛT DE LA VERTU, même après que je l’ai perdu","dont les sages conseils ont faIT NAÎTRE DANS MON ÂME LE GOÛT De la vertu; mais, pourquoi le ","(174512, 174544)","(67270, 67302)"
Beaumont_Clarice_1,"e les travaux. Les dimanches, TOUS LES GENS DE LA MAISON ET même les voisins, hommes et f",", parce qu'elle avait aidé à sA JEUNE MAÎTRESSE À ENFONCER Des armoires pour emporter des ","(916635, 916664)","(67270, 67302)"
Beaumont_Clarice_2,aujourd’hui de ma prévoyance. JE NE SUIS PLUS EN ÉTAT DE penser ni de résoudre; je ne ,"olidité de votre amitié ne m'a POINT SURPRISE, NON PLUS que l'adresse avec laquelle vo","(1496089, 1496115)","(67270, 67302)"
Beckford_Vathek_0," s’attendrisse, en te voyant, POUR LA PREMIÈRE FOIS DE SA VIE; que toute une famille t’idol","proches amers au calife, qui, POUR LA PREMIÈRE FOIS DE SA VIE, entendit la vérité. Alors, i","(364590, 364621)","(77351, 77382)"
Benoist_Elisabeth_0,"e je réserve, et je vous dois CE QUE JE NE VOUS AI PAS donné. Ah! si les dons de l’a","s satisfaire à cet égard; est-CE QUE JE NE VOUS L'AI PAS détaillée, il n'y a rien de p","(75992, 76016)","(368744, 368770)"
