,Text in Sade_Aline,Text in B,Location in Sade_Aline,Location in B
Anonym_Suzon_0,"larmes coulent dans le sein l’UNE DE L’AUTRE, ET NOUS NOUS JURONS de nous aimer et de ne mourir"," la partie, très-satisfaits l'UN DE L'AUTRE ; ET NOUS NOUS PROMÎMES de recommencer le lendemain. ","(67326, 67361)","(90310, 90347)"
Arnaud_Epoux_0,", faite à peindre … hélas! c’éTAIT LA PREMIÈRE FOIS QUE JE L’ENTENDAIS dire, je n’imaginais pas que ",! Qu'elle était touchante! C'éTAIT LA PREMIÈRE FOIS QUE JE M'ENTENDAIS répéter que j'étais aimé; mai,"(88743, 88783)","(84445, 84485)"
Arnaud_Epoux_1,"sés à des collatéraux … c’est TOUT CE QUE JE PUIS VOUS DIRE, QUI que ce fut que vous interroge","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, C'EST que mes yeux ne s'arrêtaient ","(273080, 273114)","(84445, 84485)"
Arnaud_Epoux_2,"bilité est un des plus cruels PRÉSENT QUE NOUS AIT FAIT LA NATURE; en ce moment, cet exès fait ","ne; peut-être est-ce l'unique PRÉSENT QUE NOUS AIT FAIT LA NATURE, qui soit pur et sans mélange","(275274, 275309)","(84445, 84485)"
Arnaud_Epoux_3,"s plus maîtresse de mon cœur; IL NE M’EST PAS POSSIBLE DE VOUS le refuser. … Ensuite, pour g","te Laurence? ... mademoiselle,IL NE M'EST PAS POSSIBLE DE VOUS obéir; demandez ma vie: mais ","(1172324, 1172356)","(84445, 84485)"
Arnaud_Matinees_0,"enez plus, mais écrivez-nous. UNE AFFAIRE DE LA PLUS GRANDE IMPORTANCE enchaînera le Président à Par",e.... Je ne vois point mon marI!.. QUEL TROUBLE VOUS AGITE ?-MADAME... madame... j'ai une affaire de,"(10711, 10751)","(159418, 159458)"
Arnaud_Matinees_1,"s vous offrir pour le présent QUE CE QUE JE VIENS DE VOUS dire, acceptez-le, croyez-moi","?-Mistriss, je le désirerais sI C'EST SON AVANTAGE, MAIS pour moi j'ai réglé ma destiné","(82797, 82824)","(159418, 159458)"
Arnaud_Sentiment_0,t…. Je ne sais quelle voix se FAIT ENTENDRE AU FOND DE MON CŒUR…. Je ne sais quel organe secr,"une amitié qui s'est toujours FAIT ENTENDRE AU FOND DE MON CŒUR. 
Elles se renouvellent leurs","(12232, 12265)","(724147, 724180)"
Arnaud_Sentiment_1,t aussi simple que naturelle: LE PÈRE ET LA MÈRE DU JEUNE HOMME le conduisaient à la maison d,"ntence allait être prononcée. LE PÈRE ET LA MÈRE DU JEUNE HOMME accourent, tombent aux genoux","(663912, 663945)","(724147, 724180)"
Beauharnais_Lettres_0,"ginez pas, continua-t-il, que LES SENTIMENT QUE VOUS AVEZ FAIT NAÎTRE EN moi puissent me permettre ce ","rité de ses offres, la vérité DES SENTIMENT QUE VOUS AVEZ FAIT NAÎTRE EN elle. Je vous ai entretenue d","(791597, 791639)","(75583, 75625)"
Beaumont_Clarice_0," la veille également de celui OÙ J’AI EU LE BONHEUR DE VOUS rencontrer, pendant qu’elle m","ts que vous m'avez inspirés au MOMENT OÙ J'AI EU LE BONHEUR de vous connaître. 
( Lady Ha","(106537, 106566)","(47947, 47976)"
Beaumont_Clarice_1,"x pieds sans y prendre garde, EST LE PLUS CHER OBJET DE LEURS désirs; pour l’arracher des e","ouvrir le tien, et sois persuaDÉE QUE TON BONHEUR EST LE PLus cher objet de mes désirs. E","(516564, 516595)","(47947, 47976)"
Beaumont_Clarice_2,"e certaines gens m’inspirent, JE NE SAIS SI JE N’AIMERAIS PAS autant ceux qui, comme ma chè"," grosse, et en vérité ce n'est PAS UNE CHOSE FORT AMUSANTE. Je ne sais si je n'aimerais pas","(1305696, 1305727)","(47947, 47976)"
Beckford_Vathek_0," nous avions cassé la veille, ET APRÈS LUI AVOIR DONNÉ UN BAISER…. Baiser délicieux, dont l’ef","dant que tout dormait encore, ET, APRÈS LUI AVOIR DONNÉ UN BAISER, elle suivit le bord du lac, ","(311884, 311918)","(134877, 134912)"
Benoist_Elisabeth_0,d’autre lien que l’honneur… . JE N’AI PAS BESOIN DE TE DIRE ce que toute cette charmante , en le prenant de ce côté-là. JE N'AI PAS BESOIN DE TE DIRE que si c'était un vice qu'il ,"(735167, 735196)","(92719, 92748)"
Benouville_Pensees_0,"r la première fois de ma vie, JE NE SAIS PAS MÊME SI JE vous obéirois, à supposer que"," n'est d'aucun poids là-dessus; JE NE SAIS PAS MÊME SI je la désir, cette liberté, je","(1430316, 1430341)","(156441, 156466)"
Bernardin_Paul_0,s moi … envers moi qui aurais MIEUX AIMÉ PERDRE LA VIE QUE DE lui manquer en quoi que ce fû,ur conserver ma foi ; et j'ai MIEUX AIMÉ PERDRE LA VIE QUE DE violer la pudeur. Le ciel a t,"(254694, 254725)","(340844, 340875)"
