,Text in Sade_Philosophie,Text in B,Location in Sade_Philosophie,Location in B
Anonyme_Etourdi_0,"u n'as pas d'idée, cher ange, DU TORRENT DE DÉLICES DANS LEQUEL JE me suis plongée de cette mani",x pavots de Morphée la source DU TORRENT DE DÉLICES DANS LEQUEL JE paraissais nager encore. Mais,"(86258, 86294)","(3103, 3139)"
Anonyme_Zoloe_0,"ré lui dans ses traits ; il a LES PLUS BELLES DENTS DU MONDE, UN peu de mollesse dans la taill",n voisin les ris pour montrer LES PLUS BELLES DENTS DU MONDE. PEU-à-peu l'âme usée de Fessinot ,"(4368, 4402)","(38120, 38155)"
Arnaud_Epoux_0,"ors de moi... Je ne sais plus CE QUE JE DIS, NI CE QUE JE fais... quelle ivresse s'empa"," Je ne sais, réplique-t-elle, CE QUE JE DIS, NI CE QUE JE veux! Je sais... que je suis ","(34368, 34395)","(85222, 85249)"
Arnaud_Epoux_1,"us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","ous éclaireroit sur l'avenir? TOUT CE QUE JE PUIS VOUS DIRE, c'est que mes yeux ne s'arrê","(343588, 343617)","(85222, 85249)"
Arnaud_Matinees_0,"ller mes idées sur tout cela, DITES-MOI, JE VOUS PRIE, DE QUEL œil vous voyez l'objet qui se"," mon cher monsieur Dolimon , vOUS TENEZ-LÀ UN LANGAGE BIEN NEUF pour mon oreille! Eh! dites-m","(332796, 332828)","(138674, 138707)"
Beauharnais_Lettres_0,"e t'en rassasierai. 
EUGÉNIE, SE PRÉCIPITANT DANS LES BRAS DE MME de Saint-Ange : Oh ma bonne, ","Almanza de se joindre à elle, SE PRÉCIPITANT DANS LES BRAS DE MADAME de Céléria, dont les pleurs s","(72183, 72218)","(94741, 94779)"
Benoist_Elisabeth_0,"une société de gens faux Or s'IL EST VRAI, COMME ON LE PRÉTEND, QUE les vertus saient de quelque ","user des remors. Cependant, s'IL EST VRAI, COMME ON LE PRÉTEND, QUE la passion la sagesse soient ","(121917, 121954)","(67503, 67540)"
Bernardin_Chaumiere_0,"ller mes idées sur tout cela, DITES-MOI, JE VOUS PRIE, DE QUEL ŒIL vous voyez l'objet qui sert v","rassure mieux que la science. DITES-MOI, JE VOUS PRIE, DE QUELLE SECTE vous êtes; car vous n'êtes d'","(332796, 332832)","(32396, 32436)"
Cazotte_Ollivier_0,"e qui, pour se réveiller, met EN USAGE TOUTES LES RESSOURCES DE LA cruauté, qu'il est peu de gen","l'on met, de part et d'autre, EN USAGE TOUTES LES RESSOURCES DE LA tactique pour attaquer et pou","(143588, 143624)","(311360, 311396)"
Charriere_Lausanne_0,"us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(343588, 343617)","(141417, 141446)"
Constant_Laure2_0,"e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","ment heureux qui se présente, C'EST TOUT CE QUE JE PUIS VOUS DIre; il faut bien vous laisser ","(343584, 343617)","(78630, 78663)"
Cottin_Claire_0,"ôtre est plus petit, Dolmancé QUE CE SOIT À VOUS QUE JE DOIVE cette opération, je vous en c","e travail me rende mon amie ; QUE CE SOIT À VOUS QUE JE DOIVE son retour ici, afin que chaq","(214745, 214776)","(130428, 130459)"
Crebillon_Atheniennes_0," cette portion de sensibilité QUE NOUS AVONS REÇUE DE LA NATURE, c'est l'anéantir que de l'ét",ous ne l'avons pas laissé tel QUE NOUS L'AVONS REÇU DE LA NATURE. Il nous suffisait de plaire:,"(60765, 60798)","(622302, 622336)"
Crebillon_Conte_0,"EUGÉNIE, d'abord à Dolmancé : JE NE PUIS VOUS DIRE À QUEL POINT vous me persuadez ; (s'adress","dées et de mes sentiment, que JE NE PUIS VOUS DIRE À QUEL POINT je suis surprise, et choquée ","(131646, 131679)","(173442, 173475)"
Diderot_Jacques_0,"élérate, viens dans mes bras, JE N'Y PUIS PLUS TENIR ; IL FAUT QUE ton charmant derrière soit le","une âme en peine. 
LE MARQUIS JE N'Y PUIS PLUS TENIR, IL FAUT QUE je vous dise tout. J'ai été v","(110700, 110736)","(239046, 239081)"
Diderot_Religieuse_0,"sque nous voulons raisonner ; JE NE SAIS CE QUE C'EST QUE LE cœur, moi, je n'appelle ainsi"," ne vous disaient rien ? 
--- JE NE SAIS CE QUE C'EST QUE LE langage des sens. 
---Ils en ","(329907, 329937)","(279370, 279400)"
Dorat_Malheurs_0,"ors de moi... Je ne sais plus CE QUE JE DIS, NI CE QUE JE fais... quelle ivresse s'empa","en plains! Je ne sais plus ni CE QUE JE DIS, NI CE QUE JE veux; je suis bien digne de p","(34368, 34395)","(149063, 149090)"
Dorat_Sacrifices_0,"uve... Je suis hors de moi... JE NE SAIS PLUS CE QUE JE DIS, ni ce que je fais... quelle ",pétition d'opéra-comique! ... JE NE SAIS PLUS CE QUE JE DIS; je ne sais trop ce que je de,"(34352, 34381)","(16531, 16560)"
Florian_Galatee_0,"e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS dire ; elle va suivre ma lett",", et une vaine réconnaissance EST TOUT CE QUE JE PUIS VOUS offrir. Vous pouvez nous raco","(343584, 343612)","(61177, 61205)"
Fourqueux_Zely_0,"e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS dire ; elle va suivre ma lett","“retenez bien mes conseils, c'EST TOUT “CE QUE JE PUIS VOUS laisser. Je vous “ai enlevé d","(343584, 343612)","(14294, 14323)"
Genlis_Adele_0,"cture de l'histoire des mœurs DE TOUS LES PEUPLES DE LA TERRE, en vous faisant voir que cet","oire générale et particulière DE TOUS LES PEUPLES DE LA TERRE, depuis la création du monde ","(131414, 131445)","(339363, 339394)"
Genlis_Chevaliers_0,"u'on va promulguer. 
Français VOUS ÊTES TROP ÉCLAIRÉS POUR NE PAS SENTIR qu'un nouveau gouvernement va","ouverains. Pour vous, prince, VOUS ÊTES TROP ÉCLAIRÉ POUR NE PAS SENTIR qu'il n'existe de roi légitim","(248108, 248150)","(312613, 312654)"
Gorjy_Voyage_0,"es belles fesses. 
AUGUSTIN : MONSIEUR, EST-CE QUE JE NE POURRIONS pas baiser cette demoiselle q","urais „de l'inquiétude.--Moi, MONSIEUR! EST-CE QUE JE NE SAIS pas „faire des guêtres“? 
Dès","(165914, 165950)","(39297, 39328)"
Lagrave_Zabeth_0,"us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","t: je ne puis vous en donner. TOUT CE QUE JE PUIS VOUS DIRE, c'est que la vieille femme c","(343588, 343617)","(285896, 285925)"
LaPlace_Collection_0," ; je ne l'envisage, moi, que COMME LA PLUS GRANDE DE TOUTES LES duperies ; elle accoutume le ","oué ce que je regardais alors COMME LA PLUS GRANDE DE TOUTES LES faiblesses, me rendit aussi c","(57394, 57428)","(322416, 322450)"
Lesuire_Aventurier_0," de plus ridicule que de voir UNE JEUNE FILLE DE QUINZE OU SEIZE ans, brûlée par des désirs qu","? comment avais-je pu prendre UNE JEUNE FILLE DE QUINZE OU SEIZE ans, pour un Confesseur? C'es","(65198, 65232)","(229541, 229575)"
Lesuire_Crime_0,"uve... Je suis hors de moi... JE NE SAIS PLUS CE QUE JE dis, ni ce que je fais... que","du bon sens furent éteintes, oÙ JE NE SAIS PLUS CE QUE je fis moimême; qui l'eût cru,","(34352, 34377)","(426219, 426244)"
Lesuire_Crime_1,"ent-elles ? 
DOLMANCÉ : Parce QUE LES LOIS NE SONT PAS FAITES POUR le particulier, mais pour le ","Juges penser comme moi, sen“tiR QUE LES LOIS NE SONT PAS FAITES POur “outrager la vertu!“ 
Tout-","(207505, 207541)","(426219, 426244)"
Louvet_Annee_0,"us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de","e absolument, me répondit-il: TOUT CE QUE JE PUIS VOUS DIRE, c'est qu'hier au soir, vous ","(343588, 343617)","(144267, 144296)"
Louvet_Fin_0," l'éprouve... Je suis hors de MOI... JE NE SAIS PLUS CE QUE JE dis, ni ce que je fais... que","tesse,… vous vous ferez mal,… MON AMI… JE NE SAIS PLUS CE QUE JE vous disais.—Que vous vous ét","(34345, 34377)","(289235, 289269)"
Marmontel_Belisaire_0,"même, puisque cela est contre TOUTES LES LOIS DE LA NATURE, ET que son seul organe doit diri","l'industrie, fouler aux pieds TOUTES LES LOIS DE LA NATURE ET de l'équité, et chercher dans","(253673, 253705)","(25784, 25815)"
Marmontel_Contes_0,"e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de",uis encore plus malheureux: c'EST TOUT CE QUE JE PUIS VOUS DIRE. Ne vous offensez pas de mon ,"(343584, 343617)","(331121, 331154)"
Merard_Bergeries_0,"che et l'immoralité, comme si LA PLUS HEUREUSE DE TOUTES LES FEMMES ne devait pas être incontesta","se: aimée de Franval, je suis LA PLUS HEUREUSE DE TOUTES LES FEMMES. 
SCENE VII. 
Mme DE VILLEBRU","(351886, 351923)","(93387, 93424)"
Mirabeau_Conversion_0,"uve... Je suis hors de moi... JE NE SAIS PLUS CE QUE JE dis, ni ce que je fais... que"," tous mes sens... Je tremble, JE NE SAIS PLUS CE QUE JE chante... Allons donc, me dit","(34352, 34377)","(63159, 63184)"
Nerciat_Aphrodites_0,"uve... Je suis hors de moi... JE NE SAIS PLUS CE QUE JE DIS, ni ce que je fais... quelle ","t expiré. ( bas à elle-même ) JE NE SAIS PLUS CE QUE JE DIS. 
Alfonse. 
J'apprenais le co","(34352, 34381)","(201926, 201955)"
Nerciat_Etourdi_0,"u n'as pas d'idée, cher ange, DU TORRENT DE DÉLICES DANS LEQUEL JE me suis plongée de cette mani",x pavots de Morphée la source DU TORRENT DE DÉLICES DANS LEQUEL JE paraissais nager encore. Mais,"(86258, 86294)","(3103, 3139)"
Puttelange_Roi_0,"cture de l'histoire des mœurs DE TOUS LES PEUPLES DE LA TERRE, en vous faisant voir que cet","avaient la réputation d'être, DE TOUS LES PEUPLES DE LA TERRE, celui qui sût le plus exacte","(131414, 131445)","(2568, 2599)"
Retif_AntiJustine_0,"ieux quand je l'épousai ; dès LA PREMIÈRE NUIT DE SES NOCES, IL me prévint de ses fantaisies,",écouvrit que Guaé avait vendu LA PREMIÈRE NUIT DE SES NOCES. IL arriva furieux. Il me demanda,"(83932, 83965)","(252917, 252950)"
Retif_Paysanne_0,"us ferez sera bienfait, c'est TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de"," jamais d'entrer par lettre ; TOUT CE QUE JE PUIS VOUS DIRE, c'est que si j'ai fait manqu","(343588, 343617)","(18833, 18862)"
Riccoboni_LettresFanni_0,"s de la combattre. 
EUGÉNIE : JE TROUVE DANS MON CŒUR LA PREUVE de ce que tu me dis, ma bonne"," plus violentes douleurs, que JE TROUVE DANS MON CŒUR LA FORCE de vous écrire, malgré l'abat","(38182, 38215)","(96386, 96418)"
Rousseau_Emile_0,"ont elles sont pénétrées pour TOUT CE QUI NE TIENT PAS AU culte admis... Eh, dis-moi, m","son sexe etamp; du nôtre. 
En TOUT CE QUI NE TIENT PAS AU sexe, la femme est homme elle","(5965, 5992)","(992041, 992068)"
Rousseau_Emile_1,nge ces chaînes ? Et y a-t-il RIEN DE PLUS RIDICULE QUE DE VOIR UNE jeune fille de quinze ou seiz,; folâtres jeux. Je n'imagine RIEN DE PLUS RIDICULE QUE DE VOIR UN vieux maître à danser ou à ch,"(65164, 65201)","(992041, 992068)"
Rousseau_Emile_2,"bientôt fatal à vos plaisirs. LES FEMMES NE SONT PAS FAITES POUR un seul homme, c'est pour tou","voit partir comme un oiseau. 
LES FEMMES NE SONT PAS FAITES POUR courir; quand elles fuient, c","(203916, 203950)","(992041, 992068)"
Rousseau_Julie_0,"ifs ; en partant de ce point, IL NE S'AGIT PAS DE SAVOIR SI nos procédés plairont ou dépl",crets qui déchirent mon cœur. IL NE S’AGIT PAS DE SAVOIR SI j’ai droit de disposer de moi,"(136140, 136169)","(374571, 374600)"
Sade_120_0,"uissance, est de se coucher à PLAT VENTRE SUR LE BORD DU LIT, les fesses bien écartées, la","dut se placer tout de suite à PLAT VENTRE SUR LE BORD DU LIT, notre libertin, homme d'envi","(93350, 93380)","(235457, 235487)"
Sade_120_1,"ans mes bras, en lui exposant TES BELLES FESSES DANS LE PLUS GRAND ÉCARTEMENT POSSIBLE... oui, c'est cela : nous pou","e et tenant de ses deux mains CES BELLES FESSES DANS LE PLUS GRAND ÉCARTEMENT POSSIBLE, et sa langue et sa bouche en","(170775, 170831)","(235457, 235487)"
Sade_120_2,il devient donc incontestable QUE NOUS AVONS REÇU DE LA NATURE le droit d'exprimer nos vœux ,"dégrade tout à fait la fierté QUE NOUS AVONS REÇUE DE LA NATURE, avec tous les défauts \[dis-","(275794, 275826)","(235457, 235487)"
Sade_120_3,"e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de"," le faire rouer, messieurs, c'EST TOUT CE QUE JE PUIS VOUS DIRE, indépendamment de billets cl","(343584, 343617)","(235457, 235487)"
Sade_Aline_0,"ifs ; en partant de ce point, IL NE S'AGIT PAS DE SAVOIR SI nos procédés plairont ou dépl"," pas un jour, arrive l’autre; IL NE S’AGIT PAS DE SAVOIR SI ma fille doit se croire heure","(136140, 136169)","(193760, 193789)"
Sade_Aline_1,"e vous ferez sera bienfait, c'EST TOUT CE QUE JE PUIS VOUS DIRE ; elle va suivre ma lettre de"," passés à des collatéraux … c’EST TOUT CE QUE JE PUIS VOUS DIRE, qui que ce fut que vous inte","(343584, 343617)","(193760, 193789)"
Sade_Aline_2,"s... Ah l'insolente créature, JE N'AI JAMAIS RIEN VU DE SEMBLABLE. 
MME DE SAINT-ANGE : C'est d",s gigantesques proportions! … JE N’AI JAMAIS RIEN VU DE SEMBLABLE. Il n’y a pas de filles en Eu,"(345288, 345323)","(193760, 193789)"
Sade_Infortunes_0,"ille d'un certain Mistival, l'UN DES PLUS RICHES TRAITANTS DE LA CAPITALE, âgé d'environ trente-six ans","i m'arriva chez M. Dubourg, l'UN DES PLUS RICHES TRAITANTS DE LA CAPITALE. On m'avait adressée à lui co","(14101, 14144)","(23732, 23775)"
Sade_Justine_0,"ille d'un certain Mistival, l'UN DES PLUS RICHES TRAITANTS DE LA CAPITALE, âgé d'environ trente-six ans","qui m'arriva chez M. Dubourg, UN DES PLUS RICHES TRAITANTS DE LA CAPITALE. La femme chez qui je logeais","(14101, 14144)","(27270, 27313)"
Sade_Justine_1," cette portion de sensibilité QUE NOUS AVONS REÇUE DE LA NATURE, c'est l'anéantir que de l'ét","de de la sorte d'organisation QUE NOUS AVONS REÇUE DE LA NATURE Cela posé, je le demande, de ","(60765, 60798)","(27270, 27313)"
Segur_Correspondance_0,"'un empereur chinois, n'avait PAS DE PLUS GRAND PLAISIR QUE DE voir exécuter des criminels s","TRE III. 
Paris, 1726 Je n'ai PAS DE PLUS GRAND PLAISIR QUE DE causer avec vous; et, comme j","(145509, 145541)","(421539, 421571)"
