,Text in Segur_Correspondance,Text in B,Location in Segur_Correspondance,Location in B
Anonyme_Etourdi_0,lheureuse d'en être éloignée. JE NE SAIS CE QUE JE VEUX. Pourquoi ma passion n'est-el,"rsées. Je ne suis plus à moi, JE NE SAIS CE QUE JE VEUX. Suspendue entre deux mouveme","(558326, 558351)","(144034, 144059)"
Anonyme_Zoloe_0,"s raisons sont si bonnes, que JE NE DOUTE PAS QUE JE NE l'obtienne. J'ai vu une lettr",e m'inspire de la confiance ; JE NE DOUTE PAS QUE JE NE trouve chez vous de quoi oubl,"(150136, 150161)","(479, 504)"
Anonym_Suzon_0,e Villars que c'était à lui à SE METTRE EN DEVOIR DE FAIRE LES honneurs; la suivante se reti,"sse, la patine, la claque, et SE MET EN DEVOIR DE FAIRE BAISER son énorme patêne à son voisi","(33941, 33973)","(174454, 174486)"
Arnaud_Epoux_0,"Espagne! Mais il est plaisant QUE JE VOUS FASSE LE PORTRAIT DE la reine. 
Cette galerie est ","es esprits. Il est nécessaire QUE JE VOUS FASSE LE PORTRAIT DE ma femme. Je vous l'avouerai,","(12585, 12617)","(5456, 5488)"
Arnaud_Matinees_0,"nnuie? Oubliez-vous le tendre INTÉRÊT QUE JE PRENDS À TOUT CE QUI VOUS REGARDE? vos malheurs me désespèrent,","ation inattendue. Vous ne deveZ PAS DOUTER DU VIF INTÉRÊT QUE JE PRENDS À TOUT ce qui vous regarde. 
Mademoi","(497589, 497637)","(35184, 35232)"
Arnaud_Sentiment_0,"ns sentir qu'elle pourra; car IL N'EST PAS EN MON POUVOIR DE la gâter, en la flattant de s","-votre bonheur! Ah! Monsieur! IL N'EST PAS EN MON POUVOIR DE faire votre bonheur, ni le mi","(63785, 63815)","(184098, 184128)"
Arnaud_Sentiment_1,"et, pour changer de discours, JE VOUS AVOUERAI QUE, DEPUIS QUELQUE TEMPS JE SUIS moins empressée de mon retour"," si dénaturé par son alliage! JE VOUS AVOUERAI QUE, DEPUIS QUELQUE TEMPS, JE SUIS bien fatigué, bien excédé de ","(126300, 126350)","(184098, 184128)"
Arnaud_Sentiment_2," pour le cardinal de Fleuri ; JE NE DOUTE POINT QUE VOUS NE la trouviez bien. 
Monseigneu","Julie, peuvent enfin éclater. JE NE DOUTE POINT QUE VOUS NE soyez instruite des raisons q","(442339, 442368)","(184098, 184128)"
Arnaud_Sentiment_3,lheureuse d'en être éloignée. JE NE SAIS CE QUE JE VEUX. Pourquoi ma passion n'est-el,"faites?-De quoi me parles-tu? JE NE SAIS CE QUE JE VEUX, à quel sentiment obéir, ce q","(558326, 558351)","(184098, 184128)"
Beaumont_Clarice_0,"rien de ce que je désire, que JE N'AI PU TROUVER LE MOMENT DE VOUS remercier de la dernière lett","stions, lorsqu'il m'a quittée, EN ME RECOM-MANDANT LE SECRET ET LA diligence. Je n'ai pu trouver","(235963, 235999)","(152767, 152803)"
Beaumont_Clarice_1," d'aller courir les rues, m'a FORT PRIÉE DE VOUS ASSURER DE SES respects. Je ne puis vous dir","endue que les miens. Restez doNC CHEZ MON AMIE, JUSQU'À CE QUE j'aie examiné si vous pouvez v","(258599, 258632)","(152767, 152803)"
Benoist_Elisabeth_0,"ns sentir qu'elle pourra; car IL N'EST PAS EN MON POUVOIR DE la gâter, en la flattant de s","e j'ai su inspirer à Luzan. S'IL N'EST PAS EN MON POUVOIR DE rendre son amour éternel, au ","(63785, 63815)","(333074, 333104)"
Benoist_Elisabeth_1,"madame de Béthune en Pologne. VOUS NE SAURIEZ COMPRENDRE À QUEL POINT JE désire votre retour, madame. "," essentiellement, lui dis-je; VOUS NE SAURIEZ COMPRENDRE À QUEL POINT JE m'intéresse à la santé de mad","(247337, 247379)","(333074, 333104)"
Benoist_Elisabeth_2,"age, ou si c'est tout de bon; MAIS, CE QU'IL Y A DE CERTAIN, C'EST QUE personne ne la plaint, et bie","r deviner un être chimérique; MAIS CE QU'IL Y A DE CERTAIN, C'EST QUE vous devez songer sérieusemen","(586641, 586681)","(333074, 333104)"
Benouville_Pensees_0,"brasse de tout mon cœur; et c'EST TOUT CE QUE JE PUIS FAIRE, affligée comme je le suis. 
"," de ne m'en point offenser, c'EST TOUT CE QUE JE PUIS FAIRE pour le service du Public. Au","(56493, 56522)","(1115, 1144)"
Charriere_Lausanne_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","ule dont je sois susceptible. TOUT CE QUE JE PUIS VOUS DIRE, madame, touchant milord, c'e","(59642, 59671)","(141417, 141446)"
Chevrier_Colporteur_0," de la discrétion toute pure. IL EST VRAI, MADAME, QUE VOUS ÊTES bien exposée aux grandeurs de"," être à deux pas de chezelle. IL EST VRAI, MADAME, QUE VOUS N'ÊTES point fort éloignée de votre ","(248156, 248190)","(31514, 31550)"
Constant_Laure1_0,". 
Madrid, premier mai 1680. 
TOUT CE QUE JE PUIS VOUS DIRE de la reine, c'est qu'elle co","Omment, ma chère amie! malgré TOUT CE QUE JE PUIS VOUS DIRE, vous avouez tout uniment que","(59642, 59671)","(40664, 40693)"
Constant_Laure1_1,tes aujourd'hui la coqueluche DE TOUT LE MONDE; IL EST VRAI QUE votre mérite n'est pas postic,ageais la joie et le plaisirs DE TOUT LE MONDE; IL EST VRAI QUE je fus payée de ma peine par ,"(323298, 323331)","(40664, 40693)"
Constant_Laure2_0,"ur, ce sera juego de cagnas ; JE NE SAIS PAS TROP CE QUE c'est; on jette des cannes en",", je voudrais être seule, ou pLUTÔT JE NE SAIS PAS TROP ce que je veux; est-ce que cel","(27164, 27190)","(163908, 163934)"
Constant_Laure2_1,"es chez madame de Richelieu ; IL EST AIMÉ DE TOUT LE MONDE presque'autant que de moi. 
M","r être un de nos premiers magiSTRATS, IL EST AIMÉ DE TOUT le monde, mais il est loin d'ê","(147184, 147212)","(163908, 163934)"
Cottin_Claire_0," pas venir faire un tour ici? CE SERAIT POUR MOI LE PLUS GRAND succès de la paix. 
LETTRE IX","oire ! j'en suis si loin, que CE SERAIT POUR MOI LE PLUS GRAND des malheurs ; car ce serait ","(359776, 359808)","(96176, 96208)"
Crebillon_Atheniennes_0,se qu'il commande loin d'ici. CE N'EST PAS QUE JE NE SOIS une ingrate cette année; car ," la tête de votre république, CE N'EST PAS QUE JE NE SOIS très-convaincu que je ne conn","(180787, 180814)","(436596, 436623)"
