,Text in Loaisel_Comtesse,Text in B,Location in Loaisel_Comtesse,Location in B
Loaisel_Lucile_0,"AVOIS REVU MA PATRIE, J'AVAIS RETROUVÉ PARMI DES BOIS ET DES ROCHERS, CETTE PROFONDEUR DE SENTIMENT, CE CALME DE L'ÂME QUE L'ON DOIT AU SILENCE DE LA RETRAITE; ET MALGRÉ L'INDULGENCE DU PUBLIC POUR MES FAIBLES ESSAIS, J'AVAIS ABANDONNÉ UNE CARRIÈRE SI DIFFICILE À PARCOURIR, OÙ J'AVAIS À PEINE FAIT QUELQUES PAS, ET DONT LE BUT GLORIEUX ME PARAISSAIT SI ÉLOIGNÉ. Dégoûté des voluptés tristes","n second de la République. 
J'AVAIS 
REVU MA PATRIE, J'AVAIS RETROUVÉ PARMI DES BOIS ET DES ROCHERS, CETTE PROFONDEUR DE SENTIMENT, CE CALME DE L'ÂME QUE L'ON DOIT AU SILENCE DE LA RETRAITE; ET MALGRÉ L'INDULGENCE DU PUBLIC POUR MES FAIBLES ESSAIS, J'AVAIS ABANDONNÉ UNE CARRIÈRE SI 
DIFFICILE À PARCOURIR, OÙ J'AVAIS À PEINE FAIT QUELQUES PAS, ET DONT LE BUT GLORIEUX ME PARAISSAIT SI ÉLOIGNÉ. J'avais refermé les livres d","(3, 364)","(241, 604)"
Loaisel_Lucile_1,"anxiétés de l'amour-propre, j'AVAIS REFERMÉ LES LIVRES DE NOS MAÎTRES, OÙ JE PUISAI L'AMOUR DES BEAUX-ARTS, QUE JE DÉVORAIS AUTREFOIS; MAIS QUI DEPUIS QUEL-QUE TEMPS FAISAIENT NAÎTRE DANS MON ÂME, À CÔTÉ D'UNE CONTINUELLE ADMIRATION, LA MÉFIANCE DE MES FORCES, ET LE DÉSESPOIR DE ne pouvoir jamais égaler ces ","x me paraissait si éloigné. J'AVAIS REFERMÉ LES LIVRES DE NOS MAÎTRES, OÙ JE PUISAI L'AMOUR DES BEAUX ARTS, QUE JE DÉVORAIS AUTREFOIS; MAIS QUI, DEPUIS QUELQUE TEMPS, 
FAISAIENT NAÎTRE 
DANS MON ÂME, À CÔTÉ D'UNE CONTINUELLE ADMIRATION, LA MÉFIANCE DE MES FORCES ET LE DÉSESPOIR DE jamais égaler ces fameux modè","(485, 734)","(608, 859)"
Loaisel_Lucile_2,"et le désespoir de ne pouvoir JAMAIS ÉGALER CES FAMEUX MODÈLES. 
OCCUPÉ DE LA SEULE ÉTUDE DE MOI-MÊME, JE CHERCHAIS À DEVENIR HOMME SOUS LES YEUX DE LA NATURE, ET NE SONGEAIS PLUS QU'À M'ASSIMILER AUX BONS HUMAINS QUI PEUPLENT LES CAMPAGNES DE MA PROVINCE. UN INCIDENT ME RAMÈNE À PARIS, ET LA MAUDITE INFLUENCE DU SOL ME REMET LA PLUME À LA MAIN. DES IDÉES TRISTES ONT FERMENTÉ DANS MA TÊTE, ET DANS L'ESSOR IMPÉTUEUX D'UNE IMAGINATION presque toujours abandonnée à","mes forces et le désespoir de JAMAIS ÉGALER CES FAMEUX MODÈLES. 
OCCUPÉ DE LA SEULE ÉTUDE DE MOI-MÊME, JE CHERCHAIS À DEVENIR HOMME SOUS LES YEUX DE LA NATURE, ET NE SONGEAIS PLUS QU'À M'ASSIMILER AUX BONS HUMAINS QUI PEUPLENT LES CAMPAGNES DE MA PROVINCE. UN ÉVÈNEMENT ME RAMÈNE À PARIS, ET LA MAUDITE 
INFLUENCE DU SOL ME REMET LA PLUME À LA MAIN. DES IDÉES TRISTES ONT FERMENTÉ DANS MA TÊTE; ET DANS L'ESSOR IMPÉTUEUX D'UNE IMAGINATION 
ardente et presque toujours ","(746, 1152)","(860, 1268)"
Loaisel_Lucile_3,"r impétueux d'une imagination PRESQUE TOUJOURS ABANDONNÉE À ELLE-MÊME, J'AI ÉCRIT L'ANECDOTE QU'ON VA LIRE. 
NOS FRIVOLISTES PLAISANT, NOS CHERCHEURS D'ÉTINCELLES, VONT CRIER ENCORE: À L'HOMME NOIR, À L'ESPRIT VAPOREUX; MAIS COMME JE NE PRÉTENDS POINT LES FAIRE TOMBER EN SINCOPE, NI MÊME ALTÉRER EN RIEN LES VIBRATIONS DOUCES ET RÉGLÉES DE LEURS FIBRES DÉLICATES, JE LES PRÉVIENS QUE JE N'ÉCRIS QUE POUR CEUX QUI N'AIMENT PAS TOUJOURS À RIRE, ET LES AVERTIS DE SE BORNER AU COUP D'ŒIL RAPIDE DE CET AVANT-PROPOS, ET DE LAISSERLÀ MON LIVRE, SI LE HASARD LE MET DANS LEURS MAINS. 
SI D'APRÈS CET AVIS ILS ONT LE COURAGE DE ME LIRE, ET L'INJUSTICE DE ME CRITIQUER(*), JE LEUR RÉPONDRAI: Messieurs les agréables, vou","d'une imagination 
ardente et PRESQUE TOUJOURS ABANDONNÉE À ELLE-MÊME, J'AI ÉCRIT L'ANECDOTE QU'ON VA LIRE. 
NOS FRIVOLISTES PLAISANT, NOS CHERCHEURS D'ÉTINCELLES, VONT CRIER ENCORE: À L'HOMME NOIR, À L'ESPRIT VAPOREUX; MAIS COMME JE NE PRÉTENDS POINT LES FAIRE TOMBER EN 
SINCOPE, 
NI MÊME ALTÉRER EN RIEN LES VIBRATIONS DOUCES ET RÉGLÉES DE LEURS FIBRES DÉLICATES, JE LES PRÉVIENS QUE JE N'ÉCRIS QUE POUR CEUX QUI N'AIMENT PAS TOUJOURS À RIRE, ET LES AVERTIS DE SE BORNER AU COUP-D'ŒIL RAPIDE DE CET AVANT-PROPOS; 
ET DE LAISSER LÀ MON LIVRE, SI LE HASARD LE MET DANS LEURS MAINS. 
SI D'APRÈS CET AVIS ILS ONT LE COURAGE DE ME LIRE, ET L'INJUSTICE DE ME CRITIQUER, JE LEUR RÉPONDRAI: pourquoi proscrire tous les ","(1153, 1806)","(1281, 1935)"
Loaisel_Lucile_4,"s, ou du moins bien prévenus. SI JE PRÉFÈRE LA MARGUERITE QUE VOUS N'AIMEZ PAS, À LA TUBEREUSE QUE VOUS AIMEZ; SI VOTRE VOISIN, APRÈS UNE LECTURE RÉFLÉCHIE D'UN MORCEAU D'YOUNG, PART LA NUIT, EN POSTE, POUR ALLER RÊVER SEUL DANS LA FORÊT DE FONTAINEBLEAU; QUAND, AU SORTIR D'UN SOUPER DÉLICIEUX, VOUS DESCENDEZ AVEC UN GROUPE DE NYMPHES, DANS LES JARDINS DU PALAISROYAL, IL EST ABSURDE DE LE TROUVER MAUVAIS, ET DE VOUS EN FÂCHER. 
EH! MESSIEURS, SOYEZ TOLÉRANS; IL EST SI BEAU DE L'ÊTRE. JE VOUS LAISSE VOS GOÛTS, LAISSEZ-MOI LES MIENS; LAISSEZ-MOI PRÉFÉRER LES MUSETTES DE MON VILLAGE À L'ORCHESTRE DE L'OPÉRA. Pardonnez-moi même la fantai","s qui ne sont pas les vôtres? SI JE PRÉFÈRE LA MARGUERITE QUE VOUS N'AIMEZ PAS, À LA TUBEREUSE QUE VOUS AIMEZ; SI 
VOTRE VOISIN, APRÈS UNE LECTURE RÉFLÉCHIE D'UN MORCEAU D'YOUNG, PART LA NUIT EN POSTE, POUR ALLER RÊVER SEUL DANS LA FORÊT DE FONTAINEBLEAU; QUAND, AU SORTIR D'UN SOUPER DÉLICIEUX, VOUS DESCENDEZ AVEC UN GROUPE DE NYMPHES, DANS 
LES JARDINS DU PALAIS-ROYAL, IL EST ABSURDE DE LE TROUVER MAUVAIS, ET DE VOUS EN FÂCHER. 
EH! MESSIEURS, SOYEZ TOLÉRANS; IL EST SI BEAU DE L'ÊTRE. JE VOUS LAISSE VOS GOÛTS, LAISSEZ-MOI LES MIENS; LAISSEZ-MOI PRÉFÉRER LES MUSETTES DE MON VILLAGE À L'ORCHESTRE DE L'OPÉRA; et songezbien qu'il me serai","(1999, 2580)","(1999, 2582)"
Loaisel_Lucile_5,"aire imprimer; et songez bien QU'IL ME SERAIT AUSSI DIFFICILE DE M'AMUSER DES SALES POÉSIES DE GRECOURT ET DES PLATES FARCES DE VADÉ, QU'IL VOUS SERAIT MAL-AISÉ DE RENONCER À RIRE, ET DE MÉDITER PASCAL. 
SI JE VOULAIS JUSTIFIER MON GENRE, JE pourrais entrer dans des disc","tre de l'opéra; et songezbien QU'IL ME SERAIT AUSSI DIFFICILE DE M'AMUSER DES 
SALES POÉSIES DE GRECOURT ET DES PLATES FARCES DE VADÉ, QU'IL VOUS SERAIT MAL-AISÉ DE RENONCER À RIRE, ET DE MÉDITER PASCHAL. 
SI JE VOULAIS JUSTIFIER MON GENRE, JE pourrais prouver par 
des exe","(2687, 2898)","(2598, 2811)"
Loaisel_Lucile_6,"oir qu'une sorte de pinceaux. JE POURRAIS PROUVER PAR DES EXEMPLES QUE LES ÂMES HUMAINES ONT BESOIN DE SECOUSSES, QUE LA DOULEUR ET LA PITIÉ LES DISPOSE, LES AMÈNE PAR DEGRÉ, À CETTE PHILOSOPHIE DE L'HOMME RÉFLÉCHISSANT, QUI L'ÉCLAIRE ET LE GUIDE DANS LE CHAOS DES ÉVÉNEMENTS DE LA VIE; QUE L'HÉLOÏSE DE JEAN-JACQUES A GUÉRI PLUS D'UN CŒUR, DE PASSIONS TERRESTRES, POUR L'ÉLEVER AUX TRANSPORTS SACRÉS DU VÉRITABLE AMOUR, QU'ENFIN LE TÉLÉMAQUE, LES chef-d'œuvres de Richardson, "," voulais justifier mon genre, JE POURRAIS PROUVER PAR 
DES EXEMPLES QUE LES ÂMES HUMAINES ONT BESOIN DE SECOUSSES, QUE LA DOULEUR ET LA PITIÉ LES DISPOSE, LES AMÈNE PAR DEGRÉ À CETTE PHILOSOPHIE DE L'HOMME RÉFLÉCHISSANT, QUI L'ÉCLAIRE ET LE GUIDE DANS LE CHAOS DES ÉVÉNEMENTS DE LA VIE; QUE L'HÉLOÏSE DE 
JEAN-JACQUES A GUÉRI PLUS D'UN CŒUR, DE PASSIONS TERRESTRES, POUR L'ÉLEVER AUX TRANSPORTS SACRÉS DU VÉRITABLE AMOUR; QU'ENFIN LE TÉLÉMAQUE, LES chef- d'œuvres de Richardson,","(3038, 3455)","(2809, 3227)"
Loaisel_Lucile_7,"rs des hors-d'œuvre indécent, OÙ L'ON VOITÀ TRAVERS LES EXPRESSIONS REBATTUES DE MODESTIE ET D'INSUFFISANCE, QUE L'AUTEUR PREMIER JUGE ET PREMIER PRÔNEUR DE SON OUVRAGE, N'EST OCCUPÉ QU'À INDIQUER SON MÉRITE, DE PEUR SANS DOUTE, QUE LE PUBLIC N'AIT PAS L'ESPRIT DE L'APERCEVOIR. 
DES SENTIMENT VRAIS, DES TABLEAUX VIGOUREUSEMENT TOUCHÉS, ET D'UN TON DE COULEUR PIQUANTE, CET ENSEMBLE HEUREUX QUI intéresse; un bon livre enfin","toujours des discours déplacés, OÙ L'ON VOIT À 
TRAVERS LES EXPRESSIONS REBATTUES DE MODESTIE ET D'INSUFFISANCE, QUE L'AUTEUR, PREMIER JUGE ET PREMIER PRÔNEUR DE SON OUVRAGE, N'EST OCCUPÉ QU'À INDIQUER SON MÉRITE, DE PEUR SANS DOUTE QUE LE PUBLIC N'AIT PAS L'ESPRIT DE L'APERCEVOIR. 
DES SENTIMENT VRAIS, DES TABLEAUX VIGOUREUSEMENT TOUCHÉS, 
ET D'UN TON DE COULEUR PIQUANTE, CET ENSEMBLE HEUREUX Qui plaît et intéresse; un bon ","(4076, 4441)","(3641, 4009)"
Loaisel_Lucile_8,"TIMENT, ANECDOTE FRANÇOISE. 
„JE NE VOUS ENVIE PLUS, FANTÔMES DE “L'ORGUEIL, QUE J'AI VAINEMENT ET FOLLEMENT “POURSUIVIS; DIGNITÉS ILLUSOIRES, FAUX BIENS, “IDOLES ET TYRANS DE MES SEMBLABLES; NON, JE “NE VOUS ENVIE PLUS. VOUS ÊTES LE PARTAGE DE “L'INTRIGUE RAMPANTE, ET DU VICE ADROIT; POURRIEZ-VOUS ÊTRE LA RÉCOMPENSE DE LA VERTU? “ENTOUREZ, ACCABLEZ VOS HEUREUX ADORATEURS; “SANS VOUS JE VEUX GOÛTER LA PAIX. DEMEURE “CHAMPÊTRE! SEUL ET PRÉCIEUX HÉRITAGE DE MES “PÈRES, JE VIENS DANS VOTRE SEIN, ABJURER MES “ERREURS À LA FACE DE LA NATURE PAISIBLE, ET LUI “DEMANDER PARDON D'AVOIR SI LONG-TEMPS DÉDAIGNÉ “CES SIMPLES RETRAITES“. 
AINSI S'EXPRIMAIT LE VIEUX CHEVALIER DE SAINT-FLOUR EN SE PROMENANT SOUS UN BOIS DE PEUPLIERS. 
DERNIER REJETONS D'UNE famille très-ancienne de la P"," DU SENTIMENT. 
ANECDOTE (1). 
„JE NE VOUS ENVIE PLUS, FANTÔMES “DE L'ORGUEIL, QUE J'AI VAINEMENT ET “FOLLEMENT POURSUIVIS; DIGNITÉS ILLUSOIRES, FAUX BIENS, IDOLES ET TYRANS “DE MES SEMBLABLES; NON, JE NE VOUS “ENVIE PLUS. VOUS ÊTES LE PARTAGE DE “L'INTRIGUE RAMPANTE, ET DU 
VICE “ADROIT; POURRIEZ - VOUS ÊTRE LA RÉCOMPENSE DE LA VERTU? ENTOUREZ, “ACCABLEZ VOS HEUREUX ADORATEURS, 
“SANS VOUS JE VEUX GOÛTER LA PAIX. DEMEURE CHAMPÊTRE! SEUL ET PRÉCIEUX “HÉRITAGE DE MES PÈRES, JE VIENS DANS “VOTRE SEIN ABJURER MES ERREURS À LA “FACE DE LA NATURE PAISIBLE, ET LUI “DEMANDER PARDON D'AVOIR SI LONG-TEMPS DÉDAIGNÉ CES SIMPLES 
RETRAITES. 
AINSI S'EXPRIMAIT LE VIEUX EDMONT DE SAINT-FLOUR, EN SE PROMENANT SOUS UN BOIS DE PEUPLIERS. 
DERNIER REJETONS D'Une famille de la Provence, aut","(5089, 5810)","(4170, 4892)"
Loaisel_Lucile_9,"vait été long-temps illustre, MAIS QUE LA MAUVAISE FORTUNE POURSUIVAIT DEPUIS PRÈS D'UN SIÈCLE; IL AVAIT CONSTAMMENT VÉGÉTÉ DANS DES EMPLOIS SUBALTERNES, LORSQUE sa naissance et son mérite lu","utrefois riche et considérable, MAIS QUE LA MAUVAISE FORTUNE POURSUIVAIT DEPUIS PRÈS D'UN SIÈCLE; IL AVAIT CONSTAMMENT VÉGÉTÉ DANS DES EMPLOIS SUBALTERNES, LORSQue son mérite et sa vertu lui ","(5884, 6015)","(4950, 5081)"
