filename	au-name	image	field of work	sex or gender	title EN	Wikidata ID	title FR	genre	main subject	image2	au-gender	firsted-yr	printSource-yr	form	spelling	data-capture	token count	size	bgrf
Abbes_Voyage	Abbes de Cabreroles, Guillaume				Voyage dans les espaces						M	1758	1758	autodiegetic	historical	double keying	5601	short	58.5
Anonym_Suzon	Anonym				Mémoires de Suzon, soeur de Dom Bougre						X	1778	1778	autodiegetic	modern	semi-automatic transcription	32993	short	83.9
Anonyme_Zoloe	Anonym				Zoloé et ses deux acolythes	Q72044301	Zoloé et ses deux acolythes	erotic literature			U	1800	1800	heterodiegetic	modern	semi-automatic transcription	18091	short	00.37
Arnaud_Epoux	François-Thomas-Marie de Baculard d'Arnaud	François de baculard d'arnaud 03330.jpg		male	Les époux malheureux, ou Histoire de monsieur ou madame de La Bédoyère.						M	1783	1803	autodiegetic	modern	semi-automatic transcription	76729	medium	83.15
Arnaud_Matinees	François-Thomas-Marie de Baculard d'Arnaud	François de baculard d'arnaud 03330.jpg		male	Les matinées						M	1798	1799	heterodiegetic	historical	semi-automatic transcription	80007	medium	99.43
Arnaud_Sentiment	François-Thomas-Marie de Baculard d'Arnaud	François de baculard d'arnaud 03330.jpg		male	Epreuves Du Sentiment						M	1774	unknown	heterodiegetic	historical	semi-automatic transcription	218200	long	70.21
Barthelemy_Voyage	Jean-Jacques Barthélemy				Travels of Anacharsis the younger in Greece	Q4010942	Voyage du jeune Anacharsis en Grèce	diary			M	1788	1788	heterodiegetic	modern	semi-automatic transcription	457852	long	88.27
								imaginary voyage											
Beauharnais_Lettres	Fanny de Beauharnais	Fanny de Beauharnais (1737–1813).jpg	poetry	female	Lettres de Stéphanie, roman historique						F	1778	1778	epistolary	historical	double keying	38364	short	78.1
Beauharnais_Lettres_all_2_needs_to_be_corrected	Fanny de Beauharnais	Fanny de Beauharnais (1737–1813).jpg	poetry	female	Lettres de Stéphanie, roman historique						F	1778	1778	epistolary	historical	double keying, semi-automatic transcription	131047	long	78.1
Beaumont_Clarice	Jeanne-Marie Leprince de Beaumont	Jeanne-Marie Leprince de Beaumont.jpg		female	La nouvelle Clarice, histoire véritable						F	1767	1767	epistolary	historical	double keying	135346	long	67.36
Beckford_Vathek	William Beckford				Vathek	Q54548	Vathek	Gothic novel		Vathek 1786 title page.jpg	M	1787	1787	heterodiegetic	modern	semi-automatic transcription	35145	short	87.25
								fantasy literature											
								Oriental fantasy											
Benoist_Elisabeth	Françoise-Albine Benoist	Portait of Françoise-Albine Benoist.png		female	Elisabeth: Roman Par Madame ***						F	1766	1766	epistolary	historical	double keying	84714	medium	66.11
Benouville_Pensees	Bonne-Charlotte de Bénouville				Les pensées errantes ; avec quelques lettres d'un Indien						F	1758	1758	epistolary	historical	double keying	39063	short	58.8
Bernardin_Chaumiere	Jacques-Henri Bernardin de Saint-Pierre	Portrait of Bernardin de Saint-Pierre (by Paul Carpentier, after Elizabeth Harvey - copy of Versailles).jpg	botany	male	La Chaumière indienne	Q30741197					M	1791	1829	heterodiegetic	modern	semi-automatic transcription	13551	short	91.43
Bernardin_Paul	Jacques-Henri Bernardin de Saint-Pierre	Portrait of Bernardin de Saint-Pierre (by Paul Carpentier, after Elizabeth Harvey - copy of Versailles).jpg	botany	male	Paul et Virginie	Q2293012	Paul et Virginie	romance novel		Bernardin saint-pierre jardin plantes.jpg	M	1787	1787	homodiegetic	modern	semi-automatic transcription	64366	medium	88.101
										Paul et Virginie, scene 6.jpg									
Berquin_Enfants	Arnaud Berquin	BerquinEnfans.jpg		male	L'ami des Enfants						M	1782-1783	1845	mixed	modern	semi-automatic transcription	38322	short	82.14
Boufflers_Reine	Stanislas de Boufflers	Boufflers, Stanislas de.jpg		male	La Reine de Golgonde						M	1761	1761	homodiegetic	modern	semi-automatic transcription	4444	short	61.6
Cazotte_Diable	Jacques Cazotte				Le Diable amoureux	Q68784342					M	1772	1871	autodiegetic	modern	semi-automatic transcription	26069	short	72.17
Cazotte_Honneur	Jacques Cazotte				L'Honneur perdu et recouvré						M	1788	1817	heterodiegetic	modern	semi-automatic transcription	14964	short	88.41
Cazotte_Ollivier	Jacques Cazotte				Ollivier	Q1443989					M	1763	1817	heterodiegetic	historical	semi-automatic transcription	59530	medium	63.19
Charriere_Femmes	Isabelle de Charrière	Isabelle Agneta van Tuyll van Serooskerken, by Maurice Quentin de La Tour.jpg		female	Trois Femmes						F	1796	unknown	heterodiegetic	modern	semi-automatic transcription	40363	short	96.18
Charriere_Lausanne	Isabelle de Charrière	Isabelle Agneta van Tuyll van Serooskerken, by Maurice Quentin de La Tour.jpg		female	Lettres écrites de Lausanne						F	1785	1845	autodiegetic	modern	semi-automatic transcription	53753	short	85.24
Chevrier_Colporteur	François-Antoine Chevrier	Francois-Antoine Chevrier.jpg		male	Le Colporteur : histoire morale et critique						M	1761	1761	heterodiegetic	modern	semi-automatic transcription	42998	short	62.11
Constant_Laure1	Samuel de Constant de Rebecque				Laure, ou Lettres de quelques personnes de Suisse, Partie 1						M	1787	1787	epistolary	historical	double keying	36333	short	86.27
Constant_Laure2	Samuel de Constant de Rebecque				Laure, ou Lettres de quelques personnes de Suisse, Partie 2						M	1787	1787	epistolary	historical	double keying	39154	short	86.27
